"","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
"peak476",109,92,92,126,182,225,80,57,102,118,194,249
"peak477",119,77,36,14,15,2,113,47,47,15,23,6
"peak478",596,542,405,260,243,190,484,383,321,275,239,183
"peak479",203,183,150,112,107,87,187,183,144,126,108,70
"peak480",95,89,67,12,20,15,91,61,65,41,15,20
"peak481",19,71,72,101,125,203,20,32,71,60,104,237
"peak482",784,713,680,384,348,35,668,608,594,490,363,52
"peak483",64,31,39,27,55,109,39,22,19,31,41,186
"peak484",19,20,59,76,133,195,27,18,43,100,144,182
"peak485",140,109,35,7,14,9,112,64,26,26,7,11
"peak486",141,91,38,10,5,2,128,83,45,16,7,12
"peak487",224,122,35,11,11,8,162,97,73,16,4,10
"peak488",185,142,65,26,29,16,132,89,72,44,19,11
"peak489",122,148,91,35,51,10,147,96,72,52,45,21
"peak490",266,224,157,50,68,49,232,159,114,60,48,69
"peak491",168,72,53,25,16,10,135,91,45,41,17,16
"peak492",269,162,72,23,12,20,230,135,73,33,15,14
"peak493",647,551,311,129,116,72,561,370,276,193,133,60
"peak494",63,57,57,59,87,275,64,41,30,53,91,307
"peak495",162,109,35,15,13,12,133,45,39,20,11,14
"peak496",170,149,130,72,71,14,161,148,80,63,37,23
"peak497",189,186,96,33,21,4,137,104,70,27,11,11
"peak498",1530,1721,1638,1386,1827,1536,1310,1359,1274,1211,1491,1385
"peak499",9,16,22,46,89,204,5,8,18,37,76,196
"peak500",270,226,158,131,232,378,238,159,117,143,212,412
"peak501",665,404,250,139,125,58,521,267,204,160,114,64
"peak502",173,95,63,23,24,14,138,86,57,40,26,16
"peak503",35,39,66,94,101,87,21,41,46,109,135,98
"peak504",140,113,89,77,136,210,122,94,60,96,138,302
"peak505",211,180,181,191,399,499,175,177,125,173,313,609
"peak506",170,74,39,27,32,20,134,58,46,36,13,10
"peak507",36,42,30,49,41,114,46,45,47,40,45,111
"peak508",457,254,120,41,28,12,374,199,112,48,33,42
"peak509",1099,1193,1129,690,464,114,1039,1004,973,715,485,64
"peak510",155,125,90,42,23,22,147,103,84,36,31,38
"peak511",97,61,54,16,6,22,84,72,37,19,22,11
"peak512",296,221,96,46,43,26,280,147,105,35,24,70
"peak513",174,152,89,22,25,12,132,78,59,27,15,20
"peak514",628,503,236,45,20,36,506,447,215,56,15,16
"peak515",12,3,12,23,72,138,12,7,13,20,47,158
"peak516",507,415,279,143,135,111,414,310,256,173,121,92
"peak517",1163,937,832,512,595,429,973,771,684,572,652,486
"peak518",279,184,136,85,59,18,198,132,128,71,65,13
"peak519",243,169,70,30,14,33,187,85,68,30,30,59
"peak520",151,120,78,38,36,24,96,82,51,33,30,43
"peak521",79,88,94,88,159,282,83,54,85,114,174,297
"peak522",131,101,33,11,10,11,84,60,33,11,21,13
"peak523",17,16,13,16,51,157,11,13,22,19,47,219
"peak524",125,98,81,22,30,11,130,67,40,56,18,22
"peak525",218,239,208,131,63,12,261,188,170,136,94,19
"peak526",103,79,50,28,19,18,94,46,41,33,12,17
"peak527",136,92,41,13,40,27,92,62,36,28,29,33
"peak528",56,83,122,163,180,155,51,63,132,159,174,172
"peak529",218,185,104,55,40,28,218,148,113,73,54,23
"peak530",239,235,188,130,119,28,217,205,139,149,106,16
"peak531",106,94,78,48,31,22,72,84,52,53,24,16
"peak532",83,93,113,125,216,241,65,55,102,129,208,213
"peak533",483,452,360,146,89,14,413,388,291,146,70,25
"peak534",12,8,25,49,89,103,4,13,27,35,62,166
"peak535",153,126,69,34,13,8,114,64,54,20,12,14
"peak536",45,57,48,47,43,87,39,39,27,21,61,129
"peak537",261,213,117,64,24,9,256,129,126,48,29,26
"peak538",140,116,82,70,35,20,139,107,93,62,25,32
"peak539",23,26,65,105,130,24,38,41,42,92,124,30
"peak540",318,184,76,17,8,5,184,105,73,42,20,9
"peak541",252,184,80,23,15,20,239,127,81,34,14,15
"peak542",102,105,128,110,171,216,85,95,104,113,137,196
"peak543",353,470,370,318,445,260,387,405,360,321,454,315
"peak544",23,13,30,17,40,84,32,9,21,33,41,120
"peak545",19,35,43,50,113,136,19,31,35,65,80,220
"peak546",487,395,248,63,53,19,475,308,213,67,32,43
"peak547",769,798,777,565,619,641,703,594,644,555,655,563
"peak548",273,245,188,146,159,116,251,200,184,126,150,110
"peak549",136,125,72,31,18,35,142,90,46,33,22,31
"peak550",609,430,334,200,223,121,418,355,288,193,186,156
"peak551",194,120,84,40,21,17,127,87,66,37,32,11
"peak552",185,130,53,28,24,26,154,77,67,31,29,21
"peak553",388,326,228,126,77,50,320,208,189,140,82,47
"peak554",31,59,117,118,155,290,36,41,59,100,157,384
"peak555",1085,1124,1163,859,1247,962,997,877,918,909,1168,932
"peak556",254,166,49,18,24,19,174,106,66,17,13,17
"peak557",207,100,50,14,10,7,104,86,49,10,20,24
"peak558",243,135,72,39,49,15,229,112,44,43,39,21
"peak559",179,143,80,17,16,11,159,90,35,19,20,20
"peak560",261,175,107,38,41,19,292,149,85,44,29,51
"peak561",429,323,193,46,22,9,334,222,149,65,13,18
"peak562",133,113,39,16,12,4,107,51,34,23,8,9
"peak563",183,118,43,33,20,21,122,81,46,7,8,14
"peak564",175,98,43,15,13,12,138,69,37,25,9,18
"peak565",39,49,81,79,112,97,55,47,78,50,87,144
"peak566",252,157,71,27,15,8,189,100,63,20,27,10
"peak567",319,202,76,21,13,10,275,144,72,19,17,9
"peak568",761,672,361,113,67,17,696,538,319,144,62,11
"peak569",288,195,140,78,71,11,263,180,120,74,55,16
"peak570",1685,1746,1561,1191,1597,1428,1470,1311,1176,1179,1447,1261
"peak571",283,197,77,29,26,29,245,110,75,29,30,47
"peak572",563,545,409,285,365,342,586,456,387,306,377,419
"peak573",332,329,145,9,31,49,334,311,144,50,48,50
"peak574",383,302,165,53,43,8,315,270,144,53,41,23
"peak575",163,106,92,45,20,4,111,100,48,58,25,16
"peak576",269,182,88,30,48,29,264,151,64,45,44,71
"peak577",112,84,73,48,61,27,122,69,74,30,48,55
"peak578",431,481,388,123,34,7,421,390,318,106,36,14
"peak579",142,92,71,35,13,32,124,84,51,33,20,30
"peak580",138,123,52,22,33,22,116,78,41,18,8,27
"peak581",364,254,98,23,21,16,239,145,91,30,13,22
"peak582",335,193,106,32,34,18,276,125,127,44,38,11
"peak583",214,137,58,31,7,15,178,58,52,17,10,10
"peak584",147,100,76,41,15,16,147,89,72,72,26,19
"peak585",426,309,154,56,49,18,332,231,148,85,46,5
"peak586",94,97,81,79,148,179,128,74,57,76,134,241
"peak587",61,48,58,75,96,106,66,30,40,68,133,133
"peak588",47,75,79,81,150,257,51,52,52,78,138,314
"peak589",60,61,57,54,75,117,45,34,43,41,79,164
"peak590",151,109,56,40,36,16,98,73,47,41,22,15
"peak591",329,176,135,67,74,31,192,166,120,50,47,23
"peak592",1277,1368,1248,1052,1412,994,1082,1143,1121,1171,1337,921
"peak593",100,53,76,52,104,163,73,67,43,76,88,176
"peak594",298,176,102,41,18,21,234,117,91,54,16,21
"peak595",76,79,85,130,191,248,75,45,67,117,188,336
"peak596",316,329,274,144,156,50,273,281,245,189,114,33
"peak597",51,35,59,54,107,112,40,36,62,48,82,150
"peak598",41,47,68,77,110,125,39,43,60,72,117,135
"peak599",284,243,133,84,41,9,211,119,96,75,60,12
"peak600",164,137,93,46,47,46,112,91,67,42,30,82
"peak601",171,122,68,21,16,27,136,89,44,20,16,20
"peak602",154,114,95,160,276,446,111,83,77,111,248,409
"peak603",95,73,47,53,30,8,86,78,56,38,34,11
"peak604",38,45,36,48,79,126,36,15,37,48,103,142
"peak605",242,178,114,14,15,9,176,132,79,32,17,19
"peak606",245,138,86,48,34,41,144,109,71,48,21,29
"peak607",61,37,40,15,13,18,55,28,15,21,24,26
"peak608",201,148,52,19,24,5,169,110,43,22,18,15
"peak609",190,185,120,35,36,13,181,152,80,65,44,20
"peak610",932,963,928,632,957,731,879,797,663,657,924,650
"peak611",51,58,63,40,53,150,65,46,41,45,42,182
"peak612",1015,932,995,821,1215,1027,878,718,801,845,1067,851
"peak613",223,129,69,39,37,22,171,97,67,36,28,19
"peak614",236,197,109,24,16,13,201,161,103,39,30,23
"peak615",138,96,84,51,57,106,68,57,54,53,65,140
"peak616",50,66,93,111,85,65,45,46,71,88,98,62
"peak617",59,56,39,38,80,152,74,36,49,26,103,160
"peak618",130,107,57,25,12,9,126,66,64,27,19,18
"peak619",233,173,99,47,52,18,203,151,114,27,38,33
"peak620",205,193,89,27,13,14,185,143,92,39,26,26
"peak621",169,124,70,39,25,29,151,90,58,37,25,55
"peak622",141,113,80,29,25,5,135,76,71,39,30,18
"peak623",43,52,53,94,92,149,39,30,40,74,120,167
"peak624",212,136,80,42,55,21,202,102,91,62,42,31
"peak625",65,100,106,119,218,200,109,78,101,119,167,225
"peak626",326,276,142,43,20,7,266,207,130,46,19,12
"peak627",281,220,137,55,39,30,257,186,119,80,47,41
"peak628",73,66,83,81,116,163,46,49,57,87,89,208
"peak629",47,62,78,90,150,129,47,55,72,125,139,175
"peak630",158,159,72,49,29,16,169,97,64,60,33,15
"peak631",408,467,306,172,146,76,370,326,253,148,113,35
"peak632",126,51,80,57,76,66,123,72,54,51,81,75
"peak633",291,200,118,40,37,17,169,130,84,41,26,9
"peak634",112,49,24,15,11,30,112,42,19,9,18,14
"peak635",411,356,244,88,38,47,343,263,197,93,49,65
"peak636",19,19,53,25,54,114,15,17,14,35,44,138
"peak637",182,164,118,38,28,13,163,106,94,50,22,25
"peak638",134,112,58,45,19,19,122,92,71,37,21,45
"peak639",173,96,54,9,9,11,152,111,41,14,14,6
"peak640",170,118,81,28,11,7,151,82,83,25,17,11
"peak641",216,139,67,41,43,29,193,120,53,43,21,51
"peak642",267,238,140,72,35,22,268,181,117,46,34,39
"peak643",94,182,333,336,447,430,122,187,276,380,402,483
"peak644",2119,2248,2267,2083,3008,2457,1799,1816,1898,1737,2751,2476
"peak645",75,51,61,76,213,161,80,42,34,77,161,218
"peak646",733,611,343,136,94,33,586,502,325,156,112,29
"peak647",141,122,214,224,414,387,130,126,155,181,385,507
"peak648",315,339,203,98,105,49,261,301,247,156,113,34
"peak649",251,180,136,66,65,65,183,141,109,64,49,64
"peak650",1684,1830,1953,1519,2063,1653,1549,1452,1596,1514,1909,1575
"peak651",574,547,373,157,90,48,466,396,344,151,76,43
"peak652",148,108,97,47,41,31,127,93,58,72,62,36
"peak653",57,49,37,14,33,29,51,37,38,27,25,30
"peak654",165,190,117,56,23,36,130,121,82,56,34,41
"peak655",80,62,70,52,77,141,75,55,49,55,91,151
"peak656",344,231,86,59,35,4,252,154,81,44,53,18
"peak657",327,188,89,33,33,32,262,141,83,35,31,17
"peak658",724,598,390,186,197,70,677,451,373,243,194,74
"peak659",246,189,168,110,139,108,155,145,113,121,132,137
"peak660",526,455,261,89,103,51,453,340,242,119,94,21
"peak661",225,187,121,50,45,27,160,117,93,49,13,15
"peak662",339,291,217,170,131,27,292,216,173,136,122,28
"peak663",132,119,122,65,71,16,128,109,101,76,61,16
"peak664",167,140,110,37,19,10,160,108,71,43,19,4
"peak665",155,115,82,43,27,21,159,94,70,42,17,22
"peak666",412,376,311,147,141,73,390,279,222,177,144,80
"peak667",296,231,162,75,117,110,258,149,107,95,89,135
"peak668",133,110,74,31,52,14,87,58,52,48,50,14
"peak669",195,149,79,49,39,26,130,107,67,50,42,44
"peak670",299,232,149,103,104,40,190,136,114,95,69,42
"peak671",61,57,58,54,97,111,45,38,73,79,75,131
"peak672",1183,1057,890,598,734,529,931,788,712,603,720,586
"peak673",169,121,68,23,19,23,141,85,61,39,19,25
"peak674",12,41,98,152,229,405,16,18,65,143,251,601
"peak675",17,16,23,17,49,122,29,14,15,14,40,135
"peak676",185,106,69,34,29,26,133,58,36,27,37,15
"peak677",151,73,43,8,10,8,134,90,41,12,10,11
"peak678",38,49,46,36,114,156,43,29,22,33,101,115
"peak679",121,154,251,237,392,351,117,143,191,220,304,369
"peak680",318,259,156,99,83,28,254,201,157,94,76,22
"peak681",512,440,306,187,187,66,494,334,265,199,167,50
"peak682",142,92,54,34,30,16,112,68,43,45,30,13
"peak683",280,265,98,47,52,37,273,195,92,43,24,54
"peak684",105,86,86,110,228,325,81,69,72,105,214,419
"peak685",271,137,65,20,4,9,218,98,50,13,13,19
"peak686",272,227,125,79,77,24,270,217,114,107,73,37
"peak687",580,540,338,116,92,17,502,372,240,151,74,19
"peak688",71,93,98,132,204,170,69,56,83,116,192,194
"peak689",348,312,214,92,38,52,331,209,191,75,48,43
"peak690",3,12,7,29,75,135,10,4,1,28,51,127
"peak691",55,68,53,83,100,159,60,36,37,72,94,217
"peak692",38,45,77,95,100,134,34,38,56,93,92,140
"peak693",57,52,40,28,34,28,47,28,31,19,32,55
"peak694",76,103,71,82,109,140,49,68,94,104,136,178
"peak695",568,574,565,424,507,377,555,514,405,395,475,423
"peak696",438,342,215,106,123,126,399,267,159,136,124,161
"peak697",188,159,85,26,32,10,125,106,76,45,28,13
"peak698",174,157,90,50,51,17,174,146,66,85,42,18
"peak699",1690,1424,926,422,361,105,1601,1158,860,532,301,111
"peak700",493,493,246,100,53,25,475,356,214,95,44,30
"peak701",213,184,108,56,45,24,224,159,98,62,38,41
"peak702",1025,791,458,143,102,30,782,606,418,144,70,13
"peak703",222,162,96,86,48,39,190,123,99,76,51,51
"peak704",124,93,87,61,65,17,139,71,80,72,34,16
"peak705",126,118,99,156,278,407,117,74,93,118,255,444
"peak706",158,183,127,101,105,28,168,148,110,105,112,22
"peak707",308,230,186,124,76,37,271,184,216,126,84,47
"peak708",626,498,277,187,241,295,488,325,257,189,205,439
"peak709",423,361,180,74,29,17,395,268,245,76,47,16
"peak710",215,173,129,72,52,34,168,124,97,55,43,15
"peak711",222,118,87,48,26,50,179,108,83,48,34,34
"peak712",451,484,480,348,442,333,481,375,387,279,415,328
"peak713",147,88,52,27,5,3,104,89,62,21,10,6
"peak714",212,134,93,45,64,27,199,156,124,57,36,16
"peak715",30,26,44,74,180,68,43,38,28,85,145,77
"peak716",443,285,238,70,64,33,371,245,215,101,67,23
"peak717",197,191,127,33,11,15,201,137,96,42,20,4
"peak718",367,209,111,46,37,64,240,132,101,50,24,46
"peak719",41,58,57,45,83,91,52,41,37,65,78,100
"peak720",849,699,346,146,37,34,704,558,382,157,61,31
"peak721",219,167,130,36,33,11,168,144,116,55,25,14
"peak722",468,613,540,443,537,328,472,464,450,377,442,285
"peak723",61,56,66,68,134,121,45,79,68,88,125,171
"peak724",617,460,352,213,181,61,492,353,318,197,193,45
"peak725",208,117,114,70,75,44,154,130,87,64,59,101
"peak726",530,378,173,55,16,20,357,271,188,55,19,19
"peak727",439,314,275,158,148,55,344,289,186,170,176,50
"peak728",227,125,58,44,18,12,136,99,60,32,27,30
"peak729",137,80,24,16,13,1,109,42,33,24,4,13
"peak730",358,218,106,16,12,14,256,172,85,35,30,29
"peak731",316,286,187,182,194,111,243,206,157,144,213,165
"peak732",405,230,131,48,49,25,342,199,119,75,42,27
"peak733",145,119,79,53,46,52,130,99,49,62,44,90
"peak734",43,61,83,79,127,163,40,23,56,120,101,171
"peak735",681,713,601,434,533,325,563,522,490,394,519,291
"peak736",140,179,244,190,354,516,120,134,173,210,360,594
"peak737",182,203,113,50,31,26,183,152,119,51,34,21
"peak738",30,38,40,64,93,152,23,36,29,62,104,163
"peak739",264,200,156,51,40,25,202,128,103,66,36,25
"peak740",368,320,188,98,69,19,334,240,178,122,62,36
"peak741",314,230,141,22,12,19,208,144,95,38,3,5
"peak742",712,580,291,112,71,38,562,460,299,126,80,63
"peak743",1052,985,855,633,761,672,925,741,752,635,766,625
"peak744",257,185,132,87,84,50,206,128,114,78,87,67
"peak745",316,284,200,194,252,258,272,176,231,168,219,280
"peak746",156,108,88,40,47,13,101,81,72,46,22,20
"peak747",505,486,532,371,294,85,450,433,411,335,315,81
"peak748",563,513,316,227,172,45,570,411,286,239,175,30
"peak749",290,192,58,30,13,7,203,137,69,30,16,11
"peak750",238,154,102,52,65,34,166,87,114,86,80,34
"peak751",326,268,145,40,24,9,258,192,132,51,17,17
"peak752",144,94,74,46,48,11,115,70,71,52,55,19
"peak753",191,191,107,33,17,10,223,160,105,28,13,19
"peak754",681,598,416,239,257,49,651,534,433,282,261,57
"peak755",194,168,138,89,70,50,209,105,100,90,72,46
"peak756",46,49,47,57,81,113,43,43,35,52,75,131
"peak757",339,244,173,133,256,455,299,234,195,185,281,519
"peak758",275,271,252,188,227,171,253,213,228,214,200,153
"peak759",45,75,76,48,75,160,40,50,57,67,107,158
"peak760",570,628,542,382,452,327,574,500,435,380,401,325
"peak761",125,85,37,23,16,5,87,72,32,21,7,9
"peak762",40,28,45,43,66,119,31,18,27,40,67,135
"peak763",941,847,755,446,568,220,804,789,650,500,449,128
"peak764",718,727,543,286,381,289,604,513,426,330,338,335
"peak765",439,412,363,280,348,347,378,356,323,278,312,334
"peak766",197,216,233,176,335,460,173,177,167,201,318,453
"peak767",9,44,47,69,100,103,7,33,55,77,107,160
"peak768",57,100,135,187,335,472,88,95,147,147,366,607
"peak769",8,9,4,17,45,124,7,9,11,16,63,165
"peak770",127,123,53,33,19,13,122,74,79,29,11,15
"peak771",189,182,123,43,42,20,238,121,87,66,32,28
"peak772",246,171,89,47,29,17,155,94,93,50,27,14
"peak773",135,144,89,76,135,198,120,80,72,97,129,280
"peak774",435,301,136,42,25,22,327,207,98,54,21,25
"peak775",228,211,174,122,142,113,241,150,152,118,100,106
"peak776",14,31,29,29,46,117,14,16,26,27,42,158
"peak777",317,207,156,92,67,103,237,149,121,100,79,81
"peak778",210,132,62,27,18,5,170,101,57,46,21,8
"peak779",36,54,66,98,146,128,27,24,31,83,127,125
"peak780",799,949,838,764,1118,1123,869,816,749,640,947,1019
"peak781",153,93,34,12,17,12,121,74,31,25,13,12
"peak782",103,94,68,50,146,148,81,61,63,52,119,233
"peak783",97,62,61,76,176,172,65,62,45,67,117,176
"peak784",139,106,65,24,20,12,145,74,35,25,18,9
"peak785",374,350,207,86,49,35,352,257,180,65,44,47
"peak786",194,161,89,46,15,23,185,134,85,56,32,22
"peak787",417,372,154,82,50,11,331,285,143,84,52,25
"peak788",269,234,114,18,19,6,245,180,89,46,16,7
"peak789",255,165,103,74,25,23,231,188,110,69,54,32
"peak790",39,28,22,20,27,37,31,14,25,15,13,66
"peak791",165,82,49,26,17,9,130,60,57,23,16,30
"peak792",467,378,289,177,126,99,364,250,264,162,147,115
"peak793",207,150,106,36,45,7,169,109,69,69,55,12
"peak794",236,170,138,35,30,9,186,167,88,48,43,23
"peak795",50,31,59,45,60,126,37,41,33,50,68,124
"peak796",515,457,363,275,237,199,475,329,276,254,193,173
"peak797",109,91,61,23,23,8,98,90,48,22,14,4
"peak798",146,98,76,29,24,2,103,70,43,40,25,8
"peak799",475,390,203,90,37,15,349,252,182,93,45,26
"peak800",410,226,111,47,44,18,342,196,77,44,24,39
"peak801",147,170,139,91,183,267,137,92,118,125,206,367
"peak802",67,69,87,74,154,162,44,51,52,79,131,236
"peak803",86,77,83,121,265,452,77,45,50,133,236,481
"peak804",122,83,44,43,79,160,106,64,47,37,75,238
"peak805",746,590,344,128,52,62,513,400,324,169,51,49
"peak806",46,76,118,151,182,255,46,47,87,173,232,323
"peak807",584,423,334,166,129,43,421,345,251,207,108,39
"peak808",184,136,97,59,47,16,150,81,97,90,58,7
"peak809",185,171,84,57,38,20,105,106,74,55,59,17
"peak810",20,11,15,40,48,110,9,5,13,28,48,102
"peak811",99,124,109,72,56,21,86,94,91,82,52,10
"peak812",120,87,40,16,18,13,124,53,59,33,13,11
"peak813",4128,3912,3521,2503,3390,3270,3245,3056,2774,2560,3201,3040
"peak814",76,52,35,45,68,103,53,34,32,41,67,106
"peak815",603,478,301,64,29,15,377,322,236,117,24,18
"peak816",131,80,34,20,6,13,101,59,36,21,4,18
"peak817",56,56,51,81,105,154,37,36,40,82,109,132
"peak818",149,115,58,23,10,9,129,81,61,22,9,10
"peak819",98,106,56,23,20,2,117,66,54,28,10,4
"peak820",277,157,84,34,23,21,195,118,52,53,23,17
"peak821",137,87,66,46,58,51,123,66,34,40,52,76
"peak822",61,39,51,81,109,73,35,37,36,91,124,59
"peak823",176,137,81,37,24,5,128,82,65,35,30,16
"peak824",92,98,68,108,167,301,72,57,84,81,191,418
"peak825",226,189,122,63,68,20,211,123,115,49,61,17
"peak826",512,363,310,150,88,18,360,317,213,96,49,19
"peak827",190,134,52,30,27,16,182,102,75,17,26,5
"peak828",39,41,68,57,93,126,41,35,38,68,95,173
"peak829",171,154,103,69,110,91,164,109,95,88,79,70
"peak830",223,146,82,52,42,18,162,130,87,57,34,25
"peak831",235,275,387,421,694,710,182,203,265,464,675,760
"peak832",182,89,47,20,12,2,116,63,44,8,9,7
"peak833",503,465,359,232,283,286,489,321,340,226,262,319
"peak834",129,102,75,34,43,8,102,95,65,42,47,20
"peak835",259,213,195,122,67,37,191,197,187,124,47,29
"peak836",297,256,178,77,62,24,278,183,142,85,73,23
"peak837",169,138,91,30,33,10,154,116,59,35,20,19
"peak838",1717,1434,906,504,420,153,1465,1081,860,565,329,112
"peak839",184,117,50,16,15,12,147,66,48,30,22,36
"peak840",100,105,78,102,132,207,65,54,64,92,128,296
"peak841",178,147,75,21,20,12,156,115,85,33,25,4
"peak842",220,203,170,62,45,22,200,176,133,78,30,18
"peak843",53,47,54,34,54,88,52,29,40,57,43,125
"peak844",1200,999,859,569,846,879,1045,813,676,602,871,983
"peak845",228,260,193,199,292,229,285,166,206,237,246,271
"peak846",440,311,129,27,20,14,423,253,124,28,18,16
"peak847",233,250,61,26,1,18,267,91,245,40,73,78
"peak848",34,40,57,68,103,119,28,26,42,59,102,133
"peak849",173,178,207,216,319,403,154,175,184,240,310,516
"peak850",20,20,19,39,64,109,29,11,20,24,55,116
"peak851",76,44,40,12,19,26,72,43,18,11,23,25
"peak852",14,20,43,60,130,112,15,5,32,50,96,145
"peak853",926,882,679,356,412,318,777,658,548,441,411,341
"peak854",253,225,198,201,286,196,267,184,149,234,274,220
"peak855",363,269,211,98,70,46,279,272,197,118,89,35
"peak856",53,47,61,90,192,179,42,38,36,89,163,236
"peak857",256,217,164,125,177,145,211,165,169,156,189,160
"peak858",118,74,30,9,2,6,110,41,27,13,18,7
"peak859",1418,1331,1470,1127,1397,1421,1245,1135,1151,1153,1352,1388
"peak860",123,155,172,201,289,338,131,124,153,183,204,445
"peak861",101,71,111,112,169,194,90,72,74,99,127,251
"peak862",95,68,46,19,12,6,60,48,43,23,13,12
"peak863",185,122,87,30,12,7,143,119,56,24,11,16
"peak864",113,117,129,165,209,216,94,103,118,156,199,318
"peak865",80,49,47,25,73,101,54,42,34,36,75,137
"peak866",45,38,63,85,159,288,40,32,33,92,156,294
"peak867",580,502,434,297,340,217,475,344,324,306,324,265
"peak868",80,97,67,72,117,166,67,57,61,59,93,216
"peak869",272,233,143,65,44,30,219,185,105,78,41,21
"peak870",195,122,60,26,9,15,152,84,60,35,15,7
"peak871",972,872,522,200,152,52,893,586,450,221,203,72
"peak872",249,171,79,32,25,12,163,113,64,22,17,35
"peak873",174,164,110,27,17,20,171,105,85,37,20,15
"peak874",1292,1059,542,171,194,55,1112,710,487,303,166,61
"peak875",55,71,112,123,216,455,58,66,66,99,225,630
"peak876",375,295,162,64,56,28,304,194,139,82,33,16
"peak877",234,222,93,36,17,9,222,143,83,40,25,14
"peak878",55,72,95,101,178,115,44,34,73,97,191,138
"peak879",221,206,125,49,61,11,214,131,86,57,50,13
"peak880",911,1100,997,746,1109,876,918,916,772,780,1035,874
"peak881",260,221,163,66,54,22,292,209,151,74,57,20
"peak882",53,87,120,99,195,321,58,90,102,120,157,331
"peak883",161,137,133,171,164,279,160,112,111,121,197,417
"peak884",129,127,83,33,20,6,140,114,82,35,20,15
"peak885",320,236,185,57,27,51,256,190,142,66,38,83
"peak886",64,78,107,80,119,198,66,72,65,68,119,183
"peak887",201,257,171,110,161,130,231,186,169,142,172,158
"peak888",331,336,205,58,37,15,380,279,190,67,28,22
"peak889",391,413,322,173,148,38,402,348,280,202,138,26
"peak890",720,831,604,379,357,197,693,660,544,387,349,204
"peak891",114,71,28,17,10,5,103,47,24,18,5,4
"peak892",811,912,924,928,1421,1000,791,812,858,977,1340,961
"peak893",48,29,42,44,66,102,17,41,35,38,65,127
"peak894",658,728,866,719,1068,726,628,630,615,732,965,591
"peak895",946,1094,1073,851,1142,1120,941,916,790,928,1029,1002
"peak896",232,158,102,32,30,17,211,103,66,41,46,16
"peak897",76,116,146,179,295,507,78,85,146,152,287,613
"peak898",1141,1317,1309,1014,1369,1047,1084,1094,1042,1044,1362,973
"peak899",700,666,495,366,296,171,530,543,408,372,241,201
"peak900",280,346,214,103,61,18,268,282,211,143,86,18
"peak901",145,122,66,22,11,9,131,113,53,24,11,26
"peak902",268,114,45,9,16,7,184,78,42,14,3,5
"peak903",243,244,153,131,156,142,179,188,128,122,132,127
"peak904",172,150,94,23,6,11,139,108,71,29,9,7
"peak905",643,598,487,308,348,223,498,424,354,307,315,218
"peak906",239,106,76,21,27,11,184,85,53,26,18,18
"peak907",82,83,51,76,120,168,73,45,57,62,109,206
"peak908",90,88,171,198,214,203,106,87,167,177,208,291
"peak909",268,173,77,31,34,23,224,141,68,48,35,25
"peak910",38,81,117,156,228,264,24,59,140,175,211,271
"peak911",337,294,178,68,32,7,295,208,195,68,20,22
"peak912",50,64,65,68,96,208,56,36,42,74,115,258
"peak913",256,159,95,35,26,13,242,125,72,30,27,8
"peak914",360,244,158,41,30,16,269,167,157,61,27,22
"peak915",233,302,220,157,273,86,270,258,196,203,230,97
"peak916",155,120,99,71,96,41,123,119,88,86,88,59
"peak917",180,176,115,81,48,23,181,136,117,51,35,24
"peak918",175,150,99,122,199,311,171,117,116,100,204,406
"peak919",62,61,38,42,49,45,59,31,41,42,36,68
"peak920",73,58,55,35,61,127,85,78,71,59,55,150
"peak921",206,312,312,240,282,156,274,277,266,261,274,116
"peak922",41,45,43,47,92,103,37,39,48,74,66,111
"peak923",440,458,342,193,163,50,400,327,286,225,152,44
"peak924",165,153,109,57,45,39,183,124,79,46,44,31
"peak925",396,360,183,81,49,23,379,289,175,86,59,14
"peak926",189,147,105,30,17,21,178,134,86,48,33,24
"peak927",46,61,61,25,48,61,52,40,46,25,47,72
"peak928",252,294,260,208,215,103,285,267,255,251,209,103
"peak929",419,405,385,188,247,283,363,362,391,222,248,282
"peak930",686,906,857,703,1023,744,632,682,701,713,931,671
"peak931",2346,2698,2620,2109,2961,2072,2145,2092,2164,2123,2732,2021
"peak932",127,107,159,137,253,349,141,110,123,142,230,396
"peak933",48,58,59,70,98,145,82,46,59,72,96,180
"peak934",64,35,60,46,67,113,62,49,35,37,101,136
"peak935",263,234,155,115,94,26,249,136,136,88,77,42
"peak936",436,235,122,43,31,29,299,197,101,54,35,34
"peak937",444,324,189,58,33,27,344,238,173,69,32,21
"peak938",282,205,141,51,28,23,231,168,91,53,32,12
"peak939",1170,1049,879,621,616,428,1053,884,687,637,661,432
"peak940",386,361,244,179,143,97,341,244,191,185,143,143
"peak941",117,69,20,7,15,6,117,48,27,3,2,10
"peak942",221,149,53,28,16,18,180,110,49,24,9,17
"peak943",322,217,111,15,37,20,281,179,76,33,27,24
"peak944",30,31,38,80,207,254,24,21,41,66,161,275
"peak945",63,56,52,42,34,44,56,41,36,40,46,45
"peak946",202,94,57,19,13,12,117,85,72,20,20,16
"peak947",285,245,138,60,46,26,231,144,139,102,75,25
"peak948",110,105,88,91,79,49,98,80,94,37,65,78
"peak949",300,259,177,102,69,49,210,131,181,119,56,40
"peak950",263,258,231,130,117,113,199,183,130,148,142,85
"peak951",80,128,118,116,73,16,130,112,120,125,119,21
