Gene,T0.0h_Rep1,T0.0h_Rep2,T0.0h_Rep3,T1.2h_Rep1,T1.2h_Rep2,T1.2h_Rep3,T2.4h_Rep1,T2.4h_Rep2,T2.4h_Rep3,T3.7h_Rep1,T3.7h_Rep2,T3.7h_Rep3,T4.9h_Rep1,T4.9h_Rep2,T4.9h_Rep3,T6.1h_Rep1,T6.1h_Rep2,T6.1h_Rep3,T7.3h_Rep1,T7.3h_Rep2,T7.3h_Rep3,T8.5h_Rep1,T8.5h_Rep2,T8.5h_Rep3,T9.8h_Rep1,T9.8h_Rep2,T9.8h_Rep3,T11.0h_Rep1,T11.0h_Rep2,T11.0h_Rep3,T12.2h_Rep1,T12.2h_Rep2,T12.2h_Rep3,T13.4h_Rep1,T13.4h_Rep2,T13.4h_Rep3,T14.6h_Rep1,T14.6h_Rep2,T14.6h_Rep3,T15.9h_Rep1,T15.9h_Rep2,T15.9h_Rep3,T17.1h_Rep1,T17.1h_Rep2,T17.1h_Rep3,T18.3h_Rep1,T18.3h_Rep2,T18.3h_Rep3,T19.5h_Rep1,T19.5h_Rep2,T19.5h_Rep3,T20.7h_Rep1,T20.7h_Rep2,T20.7h_Rep3,T22.0h_Rep1,T22.0h_Rep2,T22.0h_Rep3,T23.2h_Rep1,T23.2h_Rep2,T23.2h_Rep3,T24.4h_Rep1,T24.4h_Rep2,T24.4h_Rep3,T25.6h_Rep1,T25.6h_Rep2,T25.6h_Rep3,T26.8h_Rep1,T26.8h_Rep2,T26.8h_Rep3,T28.1h_Rep1,T28.1h_Rep2,T28.1h_Rep3,T29.3h_Rep1,T29.3h_Rep2,T29.3h_Rep3,T30.5h_Rep1,T30.5h_Rep2,T30.5h_Rep3,T31.7h_Rep1,T31.7h_Rep2,T31.7h_Rep3,T32.9h_Rep1,T32.9h_Rep2,T32.9h_Rep3,T34.2h_Rep1,T34.2h_Rep2,T34.2h_Rep3,T35.4h_Rep1,T35.4h_Rep2,T35.4h_Rep3,T36.6h_Rep1,T36.6h_Rep2,T36.6h_Rep3,T37.8h_Rep1,T37.8h_Rep2,T37.8h_Rep3,T39.1h_Rep1,T39.1h_Rep2,T39.1h_Rep3,T40.3h_Rep1,T40.3h_Rep2,T40.3h_Rep3,T41.5h_Rep1,T41.5h_Rep2,T41.5h_Rep3,T42.7h_Rep1,T42.7h_Rep2,T42.7h_Rep3,T43.9h_Rep1,T43.9h_Rep2,T43.9h_Rep3,T45.2h_Rep1,T45.2h_Rep2,T45.2h_Rep3,T46.4h_Rep1,T46.4h_Rep2,T46.4h_Rep3,T47.6h_Rep1,T47.6h_Rep2,T47.6h_Rep3,T48.8h_Rep1,T48.8h_Rep2,T48.8h_Rep3,T50.0h_Rep1,T50.0h_Rep2,T50.0h_Rep3,T51.3h_Rep1,T51.3h_Rep2,T51.3h_Rep3,T52.5h_Rep1,T52.5h_Rep2,T52.5h_Rep3,T53.7h_Rep1,T53.7h_Rep2,T53.7h_Rep3,T54.9h_Rep1,T54.9h_Rep2,T54.9h_Rep3,T56.1h_Rep1,T56.1h_Rep2,T56.1h_Rep3,T57.4h_Rep1,T57.4h_Rep2,T57.4h_Rep3,T58.6h_Rep1,T58.6h_Rep2,T58.6h_Rep3,T59.8h_Rep1,T59.8h_Rep2,T59.8h_Rep3,T61.0h_Rep1,T61.0h_Rep2,T61.0h_Rep3,T62.2h_Rep1,T62.2h_Rep2,T62.2h_Rep3,T63.5h_Rep1,T63.5h_Rep2,T63.5h_Rep3,T64.7h_Rep1,T64.7h_Rep2,T64.7h_Rep3,T65.9h_Rep1,T65.9h_Rep2,T65.9h_Rep3,T67.1h_Rep1,T67.1h_Rep2,T67.1h_Rep3,T68.3h_Rep1,T68.3h_Rep2,T68.3h_Rep3,T69.6h_Rep1,T69.6h_Rep2,T69.6h_Rep3,T70.8h_Rep1,T70.8h_Rep2,T70.8h_Rep3,T72.0h_Rep1,T72.0h_Rep2,T72.0h_Rep3
hrcA,8.0411,7.8035,7.8917,7.2510,7.0012,7.0835,7.7207,7.9151,7.7351,7.6398,7.7222,7.4278,7.8729,8.1339,7.9187,7.7380,8.0299,7.7436,7.3798,7.9653,8.1564,7.9052,7.4078,7.5643,7.7335,7.4624,8.1103,7.0568,7.2701,7.2251,7.1480,7.1918,7.1489,7.1978,7.0607,7.2463,6.6727,6.7635,6.4212,7.2783,7.2365,7.1090,6.8879,6.7134,6.9480,7.2358,7.4213,7.1026,7.0740,6.9698,7.3288,7.4003,7.2845,7.4615,7.1137,7.1650,6.9589,7.8480,7.6446,7.7843,7.4355,8.1305,7.6546,7.6060,7.8649,7.8975,7.3330,7.3568,7.5039,8.4481,8.1357,7.9083,7.2805,7.3057,7.4575,7.5084,7.7541,7.5647,7.4531,7.5142,7.4547,7.2167,7.2333,7.4309,7.5646,7.8775,7.5626,7.0037,7.1158,6.9775,8.2754,8.1398,8.3693,7.0026,6.5899,7.1351,6.9793,7.0227,7.1103,6.8879,7.2136,7.2145,8.0492,8.1094,7.5235,7.0610,7.3231,6.9845,7.3503,7.2867,7.4402,8.1039,7.7581,7.7333,7.4660,7.4092,7.3469,7.8890,7.9421,7.8849,8.0455,7.8429,7.6066,8.1999,8.2087,7.9130,8.3458,8.2212,8.3951,8.1995,7.7987,8.2722,7.7555,8.0737,8.1502,7.4730,7.6582,7.6097,7.5321,7.6040,7.9118,7.4939,7.9265,7.7140,7.1336,7.1170,7.4051,7.1778,7.4735,7.6224,6.8693,6.9403,7.0405,6.8959,7.0729,7.2347,6.8293,6.9358,7.0677,7.5108,7.2061,7.3830,6.9511,7.4873,7.1527,6.7152,7.0227,6.8720,8.0856,7.8887,7.5649,7.2215,7.6500,7.2509,7.4883,7.4763,7.2002,7.7081,8.0915,7.7207
purA,6.6221,6.6187,6.7313,7.0426,7.3498,7.0380,7.4014,7.2829,7.1167,7.3052,7.2721,7.0084,6.9632,7.2076,7.3817,8.0290,7.6897,7.4980,7.0316,7.0249,6.7894,7.2879,7.5628,6.8189,8.6230,8.6751,8.1145,8.0258,7.7261,7.5537,7.3364,7.9601,7.4882,7.4864,6.9528,7.5022,9.8352,9.2930,9.5078,7.6781,7.2273,8.0051,8.4741,8.4186,8.3918,8.3002,8.6480,8.1331,9.1448,8.9226,8.9615,8.6813,8.8055,8.7869,8.9382,8.6311,8.9406,9.6485,9.5321,10.0482,9.3126,9.3310,9.1092,9.7141,9.7198,9.9989,9.2726,9.7107,9.3572,9.3814,8.9940,9.5444,9.8583,9.8647,10.1156,8.9090,8.7750,8.7926,8.4857,9.3494,8.9201,9.7698,9.6378,9.2420,9.8362,9.9954,10.0453,10.5417,9.8590,9.7520,10.0717,9.9865,10.2015,10.0676,9.5998,9.6984,9.7598,9.5933,9.8095,9.7316,9.5161,9.8565,10.1137,10.4258,10.2143,10.1849,10.1402,10.0070,9.9834,9.8229,9.6517,9.5668,9.6960,10.1300,9.8652,9.9489,9.4965,10.2243,10.3304,10.4335,9.9403,10.1219,9.8827,8.8683,9.4972,9.4931,9.2803,9.3761,9.5594,9.6947,9.2379,9.8771,10.5595,10.7207,10.5698,9.4401,9.5984,9.6161,10.0023,9.9112,9.7980,9.5319,9.6922,9.7120,9.6642,9.7214,9.6388,9.5848,9.4235,9.7442,10.3510,10.1998,10.1128,9.2341,9.3494,9.4711,10.0053,9.8860,10.0367,10.0341,10.0911,10.3999,9.9226,10.3556,9.9187,9.8062,9.9419,9.9741,9.6322,9.4241,9.3973,10.7525,10.7705,11.1579,9.9672,9.8956,9.8835,10.5786,9.9888,10.4514
purB,6.8760,6.7954,6.8258,6.5262,6.4616,6.2314,6.7878,7.3468,6.9731,6.9305,6.7767,7.0394,7.8169,8.0014,7.5225,7.7358,7.3513,7.4193,8.1376,8.1556,7.7863,7.6927,7.6042,7.6172,7.8902,7.5788,7.6870,7.7378,7.6139,7.4983,9.0201,8.4775,8.5329,8.4483,8.3428,8.5807,9.0012,8.7308,8.8613,8.3447,8.1822,7.8645,8.5177,8.1877,8.0897,8.7587,8.9477,8.9610,8.7770,8.7507,8.7197,9.7840,9.8422,9.9287,9.4592,9.7448,9.3032,8.5632,8.9307,8.7982,8.5193,8.4552,8.3565,8.9293,8.8092,9.1633,9.0406,9.0267,8.9257,9.5007,9.5282,9.7160,9.5782,9.2168,8.7087,10.1695,9.8036,10.2108,9.5079,9.6293,9.7082,10.1601,10.4428,10.2533,10.2388,10.1823,9.7087,10.5023,10.5069,10.4829,10.1342,10.1708,10.4802,10.4655,10.4126,10.1183,9.8350,9.5994,9.4296,10.5871,10.5091,10.4758,10.1771,10.3738,10.1534,10.2913,10.2084,10.1860,10.4414,10.6416,10.6144,10.3697,9.7979,10.0087,10.5282,9.9567,10.6055,10.0973,10.3667,10.3143,10.4792,10.6439,10.3178,10.0040,10.0164,9.6445,8.9276,9.2548,9.3525,9.6832,9.3338,9.8317,9.4376,9.7529,9.8573,10.4209,10.3667,10.0245,10.4462,9.9683,10.4754,10.4841,10.9172,10.4224,10.3023,10.1706,10.1268,10.6638,10.4405,10.6331,9.2901,9.5930,9.7627,10.1271,10.6679,10.0746,10.3769,10.5118,10.2364,9.7802,9.9001,9.4651,10.7797,10.9809,10.5937,10.1513,10.0915,10.1437,10.0906,9.5853,10.0500,10.7797,10.9803,10.9575,10.2605,10.1460,9.9226,10.4902,10.2126,10.4309
purC,7.9579,8.2328,8.4488,8.5731,8.5297,8.3441,8.3212,7.9638,8.0848,8.4894,9.1627,9.2421,7.8680,8.0541,7.9135,7.8306,8.0917,8.1335,9.0328,8.8486,8.8671,8.8340,8.7804,8.4767,8.9705,9.2082,8.6081,8.9908,9.0669,8.6323,8.9278,8.6318,8.6971,9.0725,8.6217,8.8356,8.3053,8.3024,8.4405,8.2320,7.9323,8.3277,8.9152,9.3056,8.9041,8.1264,8.0914,7.7351,8.3250,7.9132,8.1546,8.4643,8.4845,8.5117,7.8421,7.6440,7.7267,8.0830,7.5981,7.6776,8.1162,7.9218,7.5941,7.5099,7.5964,7.7606,7.6261,7.3991,7.7675,6.8868,7.1844,6.7973,7.3495,7.4942,7.5280,6.9164,6.4590,6.9817,7.4451,8.0384,7.1539,7.1535,7.4246,7.3551,8.1406,8.0666,7.8097,7.8690,7.7238,7.1092,7.2966,7.1063,6.9015,7.0428,7.3372,7.4428,7.3687,7.7179,7.5762,7.9984,7.7023,7.7190,7.0056,7.3720,7.0500,7.6771,7.4930,7.4873,7.2176,6.8765,6.9657,6.9499,7.3921,7.1898,7.8743,7.7987,8.1278,7.4656,7.4513,7.1679,7.0744,7.0552,6.9425,7.3984,7.4050,7.2900,7.6354,7.6719,7.2071,7.0187,7.2113,7.2727,7.4686,7.3278,7.5656,7.0601,7.1968,7.3575,6.3597,6.5765,6.5486,7.5080,7.2874,7.5893,7.3694,7.4049,7.2675,6.8587,6.9050,6.6660,7.1049,7.5681,7.7304,7.1816,7.3213,7.1745,7.2443,7.0518,6.9133,7.4574,7.5538,7.5006,7.7721,7.4457,7.4980,8.2679,8.0745,8.2089,7.6267,7.8396,7.4109,7.2324,7.5655,7.3583,7.8461,7.3639,7.7060,8.1251,8.3482,8.3627
purD,7.6356,7.8814,7.2803,7.7027,7.8842,7.7088,8.5588,7.8474,7.8623,8.2841,8.5353,8.4312,8.9114,8.5331,8.7938,8.8391,8.7209,8.6939,9.4803,8.7608,9.4729,8.3218,8.5414,8.6156,8.5381,8.2144,8.1820,8.8798,9.0759,9.7143,9.4688,9.2931,8.9839,8.9091,8.7234,8.8494,8.5935,9.1789,8.7197,8.9305,9.2522,9.1451,8.9002,8.8986,8.5270,8.7065,8.9240,8.6094,7.9445,8.2098,8.3814,7.7861,7.7058,7.8124,8.5848,8.2357,8.3195,7.6212,7.4482,7.1154,7.8833,7.9194,8.0392,7.6864,8.2184,7.5449,7.5917,7.9996,7.8572,7.7897,7.8505,7.8857,7.4108,7.2003,7.5200,7.0172,6.6724,6.7728,7.4891,7.8911,7.3783,7.3895,7.3204,7.6686,7.9546,7.7119,7.7120,7.2414,7.5585,7.3553,7.1785,7.2239,7.4598,7.6078,7.5077,7.5930,6.8990,7.5382,7.5807,7.6185,7.3887,7.4089,7.2804,7.2246,7.3064,7.7824,7.3366,7.5615,7.5020,7.4573,7.2455,7.5005,7.6330,7.8215,7.7923,7.8714,7.5275,7.2523,6.8599,7.1586,7.2604,7.5856,7.5453,7.0348,7.3541,7.0987,7.4696,7.6098,7.3652,7.3073,7.3245,7.1663,5.9840,5.7511,5.7920,7.4724,7.7628,7.6792,7.7723,7.7485,7.6310,8.0082,7.9171,7.6506,8.2388,8.0951,7.6797,8.0351,8.3191,8.3256,7.9504,7.8960,7.4517,7.8884,7.7111,7.4651,8.0044,7.5517,7.8343,6.5388,6.4117,6.5658,7.0685,6.7626,7.0998,7.6022,7.4924,7.5675,8.7059,8.6901,8.8844,7.8138,7.6469,8.0963,7.2589,7.2956,7.0510,6.7700,6.9784,7.1613
purF,6.0430,5.7708,6.1192,6.4841,6.7001,6.4218,6.7698,6.7608,7.0569,7.0644,6.9605,7.1787,7.0060,6.8618,6.9748,6.6785,7.3244,6.9779,7.2336,7.4855,7.7037,8.3255,8.2404,8.1708,7.7351,7.8486,7.3659,7.6716,7.6261,7.8137,7.4708,8.0304,8.0710,7.9046,7.6585,7.8202,8.9343,8.9288,8.9758,7.6683,7.9285,7.1596,8.7092,8.2141,8.3552,8.7694,8.5793,8.9698,8.4346,8.2606,8.6422,9.1330,9.0711,9.1500,8.5883,8.5710,8.9030,8.8559,9.0332,9.0172,10.4562,10.5333,11.2167,9.2593,8.6863,9.1636,8.7228,8.9081,8.9425,9.0370,8.7329,8.7176,9.0602,9.2321,8.8664,9.5499,9.5647,9.3464,9.0699,9.3988,9.2078,9.4342,9.3544,9.3807,9.5301,9.3351,9.6711,9.6062,9.5307,9.4522,9.1968,9.5125,9.4163,9.2780,9.1900,9.6354,9.5908,9.7760,9.4714,10.4229,10.5128,10.2661,9.9003,10.1978,9.9734,10.7064,10.2530,10.6432,9.6308,9.2729,9.7280,9.9501,10.2751,10.0482,10.5401,10.5372,10.6293,10.6007,9.9618,10.4753,10.4017,10.4435,10.3493,9.9232,10.2440,9.5275,10.2177,9.8206,9.8281,9.9109,9.7772,10.0169,9.7248,9.8947,9.7721,10.0759,10.2720,9.8946,9.9513,9.8819,9.6305,9.9091,9.6492,9.7533,9.1074,9.0281,9.0872,10.0860,9.9840,10.4203,9.9014,9.9960,10.2098,10.3503,10.2732,10.6158,10.0573,10.0245,9.7338,9.6915,9.1760,9.5433,9.4696,10.1950,9.7346,9.8569,9.6272,9.8665,10.0354,9.8845,9.9303,9.9767,9.5812,9.9072,9.6240,9.9286,10.0086,9.2175,9.4830,9.7776
purH,7.7741,7.7361,7.9121,8.7511,9.2111,9.0913,8.8568,8.5256,8.8593,9.1279,9.4107,8.8817,8.2912,8.6296,8.1656,8.7682,8.2704,8.9387,8.1043,8.2163,8.2628,8.2539,8.6523,8.2113,8.5998,8.4913,8.6850,9.1975,9.0249,9.0110,8.7101,8.7257,8.3842,9.6518,8.8934,9.3348,8.6381,8.4274,8.9384,8.0411,8.0083,8.2778,8.1320,8.5114,7.9933,8.3318,8.7777,8.2646,8.2221,8.0921,8.5434,7.6219,7.4256,7.2897,7.5786,7.0811,7.9784,7.7304,7.3320,7.6845,7.8563,8.1482,7.8562,6.9236,7.2213,7.1147,7.0596,7.6795,7.8857,7.7301,7.3202,7.5618,8.1558,8.1435,8.0760,7.7968,7.8077,7.8729,8.1117,7.9949,8.2402,8.3261,8.2113,8.5508,7.8461,7.5572,7.4156,8.3735,8.0898,7.9893,7.4725,7.4980,7.5231,7.2802,7.1009,7.1252,7.0049,7.2941,7.1389,7.2275,7.0380,7.2576,7.5449,7.5744,7.4011,7.2243,7.3015,7.5266,7.5319,7.6866,7.3943,7.0065,7.2038,7.1360,7.7866,7.0526,7.4903,7.6124,7.1821,7.5156,7.3901,7.3996,7.3042,6.8401,6.6772,6.9862,6.7627,6.9190,6.9776,7.1896,7.5102,6.9887,6.8161,6.8516,6.8202,7.5488,7.5394,7.5907,7.0647,7.5155,7.9281,6.5949,6.8373,6.4781,8.0538,7.6912,7.5063,6.8681,6.8424,7.4552,7.0900,7.2395,7.1650,6.8123,7.1123,7.1287,7.4570,6.8390,7.3103,7.0941,7.1808,6.9551,8.3314,8.2416,7.9244,7.4948,7.7579,7.4933,7.3211,7.4758,7.6023,7.4806,7.5552,7.2288,6.6948,6.9619,7.0358,6.9593,7.0843,7.3021
pyrA,6.3570,6.7111,6.3846,6.7010,6.5724,6.5183,7.0949,7.4802,7.2894,7.9537,8.2074,7.8345,7.5587,7.6038,7.6185,7.0125,7.1499,7.3166,8.1018,7.8270,7.5234,8.2796,8.4783,8.0232,7.5077,7.4723,7.7455,8.5245,8.5370,7.9592,8.5170,8.3084,7.8662,7.8695,8.5480,8.1507,8.9341,8.6898,8.7771,8.4748,8.2530,8.3928,8.5901,8.6672,9.0000,9.4679,9.0678,9.4192,9.3508,9.6360,9.2590,9.3702,9.0169,9.4410,9.3209,9.2036,9.1986,9.2621,9.3874,9.5803,9.8528,9.9869,9.9167,9.2792,9.3037,9.3918,10.2697,9.9860,10.1955,8.7420,8.9831,8.9684,9.7155,9.5169,9.5221,9.6400,10.0096,9.2682,9.4640,9.6124,9.5477,9.9717,9.4206,9.5688,9.2796,9.4278,9.2534,8.8067,9.0156,9.3375,10.2278,10.1467,10.1365,10.8255,11.2178,10.9366,9.8689,9.8821,9.8427,9.9224,10.2729,10.3786,9.2924,9.7203,9.5917,10.2671,10.1108,10.2845,10.8429,10.6669,10.5744,9.8689,9.9778,9.9925,10.0522,9.5159,9.8399,9.6580,9.7370,9.6908,10.0264,10.2413,10.1164,9.6487,9.8502,10.0420,9.4120,9.7745,9.5364,10.3284,10.1831,9.9722,9.5584,9.7589,10.2066,9.3039,9.7092,9.5685,9.9266,10.5170,10.0480,10.0605,10.6290,10.2163,9.8169,10.1369,10.1832,9.5463,9.7644,9.6034,10.0450,10.3190,10.3225,9.7255,9.8273,9.5910,9.8780,9.4781,9.4725,9.4135,9.4812,9.5933,9.9238,9.4253,9.4768,9.9806,9.6766,9.9657,9.9096,9.5085,9.8541,9.8107,9.6658,9.5904,10.2495,9.7717,9.6727,9.3956,9.6648,9.7392
pyrB,7.8341,8.2172,8.1295,7.8487,7.8286,7.7631,7.7158,7.7905,7.8435,8.9030,8.8270,8.8157,8.9429,9.3978,9.2744,9.3631,9.1281,9.1458,8.5521,8.3355,8.5624,8.8162,9.0249,8.9143,9.6041,9.3499,9.3240,8.6670,8.5026,8.4059,8.6838,8.7506,8.7408,8.9746,8.9155,8.8570,8.4465,8.2720,8.3114,8.5779,8.6495,8.8084,8.0040,8.6056,8.4290,8.5535,8.2370,8.6995,8.3625,8.4864,8.0739,7.9371,7.8637,7.6957,7.7743,7.3419,7.6246,6.8207,7.3353,6.7621,7.5110,7.4074,7.8609,8.1577,7.9564,8.6302,7.2363,7.5260,7.0500,7.8550,7.3582,7.6486,7.4360,7.2440,7.6635,7.1613,6.7542,6.9967,7.3144,7.4061,7.5222,7.4391,7.6394,7.5367,7.0808,6.8688,6.6573,7.1869,7.6026,7.4295,6.7197,6.5288,6.9649,6.6176,6.4857,6.9424,7.0721,6.9795,6.6083,6.3829,6.2027,6.3985,6.4990,6.6995,6.4604,7.7814,7.5332,7.4367,7.3611,7.1339,7.4028,7.6955,7.2769,7.9638,7.5227,7.2183,7.2852,7.8596,7.7245,7.6000,7.0620,7.0548,7.2121,6.7943,6.7442,6.7712,7.4554,7.6117,7.5002,7.9252,7.7846,7.6453,7.3410,7.3589,7.2265,7.7252,7.8459,7.4347,7.7666,7.9114,7.6890,7.6166,7.3427,7.3992,7.6185,7.5017,7.4099,8.3772,8.2853,8.3031,8.2068,7.5842,7.8931,7.3273,6.8141,6.7606,7.9049,7.4870,7.5323,7.9332,7.7416,7.7255,7.4513,7.0651,7.3147,7.4130,7.6853,7.2559,6.8122,7.2443,6.8625,7.4106,7.3492,7.2970,6.9388,7.0276,6.9873,7.3158,7.3553,7.0922
pyrC,7.3214,7.7575,7.4103,7.6590,7.9144,7.8167,8.2657,8.2330,8.4207,7.7626,7.9648,7.8545,7.2369,7.9565,7.7705,8.6856,8.4024,8.4048,8.2195,7.7584,8.2962,8.4101,8.4859,8.5773,8.4447,8.8091,8.5589,7.9953,8.4651,8.2258,9.0366,8.8701,8.7622,8.3995,8.1131,8.0587,8.1941,8.5792,8.4264,8.5272,8.1498,8.5009,8.4272,8.0089,8.5045,7.8475,8.1892,8.2205,7.7147,7.5104,7.7076,7.9056,7.6411,7.4951,7.8250,8.0581,7.8282,7.0836,7.2703,7.0622,8.1464,7.7096,7.8554,7.6827,7.6099,7.3489,7.5694,7.5046,8.0167,7.0551,7.0848,7.1464,7.6514,7.9622,7.3809,7.6062,7.1933,7.0483,7.8635,7.9957,7.7880,6.2142,5.8476,5.8710,7.8281,7.8132,7.7025,7.4249,7.2519,7.4637,7.8903,7.4470,7.9142,7.7978,7.4055,7.4503,8.5120,7.9206,7.9802,6.6361,7.1993,7.1170,7.7553,7.3904,7.8621,6.9951,7.2023,7.3487,7.0132,7.1541,7.1142,6.8327,7.3283,6.7888,7.3699,7.3800,7.6978,7.1764,7.1909,7.1918,6.7722,6.5961,6.4606,6.7492,6.8741,7.0660,6.9964,6.7760,6.8598,7.7914,7.2870,7.7432,7.8038,7.6088,7.5164,7.4167,7.2812,7.4721,6.8838,7.0966,6.6541,6.8365,7.2506,7.2639,7.3930,6.5976,6.9006,7.2974,7.5232,7.5701,6.6663,6.7754,6.6654,7.4071,7.4175,7.7042,7.9186,7.8606,8.0636,7.1118,7.7118,7.5321,7.4446,7.6605,7.6492,7.6413,7.5459,6.8106,7.4136,7.3001,7.5841,7.9601,7.9613,8.2441,7.0973,6.9527,6.9376,7.2885,7.6439,7.2444
pyrD,7.5594,7.1098,7.6406,8.8863,8.5015,8.2872,7.5024,7.7109,7.4266,6.5493,6.7612,6.6186,7.2871,7.2215,7.6725,7.7559,7.6528,7.6505,7.2445,7.2972,6.9689,8.0116,7.9502,7.5280,7.9116,7.5603,8.3451,8.1840,7.9804,7.6598,8.4102,8.1907,8.5586,8.3333,8.3863,8.2940,7.3320,7.4003,7.6314,8.1579,8.1592,7.7357,9.0784,8.8493,9.2836,8.7941,9.0262,9.1120,9.4151,9.1464,9.2014,8.8323,8.9003,8.8948,8.5612,8.8547,8.8396,9.0623,8.8567,8.6034,8.9278,9.0959,8.9559,9.2450,9.3062,9.2168,8.8125,9.1537,9.1238,9.8737,9.5403,9.6009,10.1167,10.1174,10.1533,9.9227,10.0004,9.7610,9.1626,9.5558,8.9634,9.6851,10.0640,9.5912,9.3556,9.2450,9.2927,8.8551,9.3357,9.4275,9.0963,9.2193,9.5784,8.9890,8.9915,8.7850,9.2510,9.7695,9.7277,9.5304,9.2745,9.3085,9.5438,9.6619,9.4296,9.9905,9.7237,10.1313,9.8687,9.5160,9.6696,9.9556,10.5512,10.3574,10.3207,10.1728,10.2557,9.9439,10.0718,9.6924,10.2551,10.3515,10.2283,9.9193,10.0396,10.1831,10.3280,10.1021,10.4954,10.0958,10.1014,10.4794,8.9387,9.4223,9.2778,9.9780,9.9449,9.5607,10.0963,10.0363,10.0893,10.1577,9.9883,10.6390,9.6939,9.8147,9.8602,10.0011,9.7861,9.8910,9.7873,10.1513,9.9736,9.1041,9.4979,9.5762,10.9576,10.5737,10.7966,11.2285,11.0604,11.0207,10.6268,10.0766,10.3506,10.1868,10.0071,10.2558,9.8186,9.9910,9.9050,9.7997,9.8461,9.8742,9.6309,9.8709,9.6993,9.9373,9.4341,9.4936
pyrE,8.3049,8.2816,8.6645,8.0960,7.9301,8.1870,8.3620,8.4324,8.0336,8.1286,8.0415,7.6146,8.5866,8.7868,8.9557,8.3713,8.3208,8.2962,10.8210,10.6807,10.6784,8.8343,8.7051,9.1003,7.7958,8.2249,7.8801,8.5758,9.0521,8.8468,8.9603,8.3563,9.0815,8.8792,8.9633,8.9590,9.0277,8.9921,8.8705,8.8377,8.8890,8.6773,8.2393,8.3663,8.1207,8.5564,8.7279,8.7396,8.4386,8.1636,8.1830,8.2533,8.6719,8.4682,8.3103,8.5307,8.4618,7.6504,7.8172,7.7121,7.8286,7.7903,7.6928,7.9998,7.8965,7.7481,8.2977,7.6567,7.5251,6.9228,7.0994,6.8335,7.6005,7.4929,7.6422,7.7556,7.9653,7.8110,7.7801,7.9743,7.6644,7.7131,7.4771,7.6453,7.4576,7.5992,7.2396,7.2495,7.1946,6.6718,7.1636,7.2805,7.1453,6.6200,7.2784,6.8594,7.5997,7.2162,7.2360,6.7768,6.8687,7.0415,7.7979,7.7519,7.5106,7.2565,7.5972,8.1310,7.8808,7.8488,7.8728,8.0575,8.2551,8.1860,7.8273,7.6455,7.4822,7.6680,7.6043,7.3806,7.5962,7.5530,7.5327,7.2644,7.3945,7.7037,7.4965,6.9917,7.1373,7.4077,7.4728,7.6549,7.8477,7.5162,7.5326,7.3103,7.4245,7.1418,7.9490,7.5914,7.3505,7.2580,7.1220,7.5381,7.5564,7.5468,7.2291,7.1257,7.5810,7.6612,7.4758,7.7805,7.1281,6.7465,7.1079,7.0211,7.8752,8.1779,8.0108,6.8147,7.2952,7.3584,7.2564,7.2396,7.1442,7.0605,7.1382,6.5239,7.2243,6.8421,7.0042,7.5251,7.3108,7.4988,6.7104,6.9741,7.0203,6.5905,7.0405,7.2604
pyrF,7.7440,7.6259,7.6350,7.9893,8.1185,7.5442,8.7647,8.9376,8.7691,8.7308,8.9288,8.7797,8.4802,8.8531,8.6689,8.5249,8.7881,8.7055,8.8455,8.7371,9.2415,8.7009,8.8424,8.7552,9.7216,9.2285,9.4787,8.7621,8.7019,8.7274,9.8691,9.8417,9.5664,8.3050,8.6519,8.1845,8.3713,8.3411,8.0186,9.3252,9.5500,8.9712,8.7226,8.9737,8.9036,9.3663,8.2764,8.5933,8.4671,8.5915,8.3312,8.1596,8.3105,8.1277,8.0452,8.2732,7.7376,8.0447,8.1679,8.0235,7.8640,8.1606,7.7178,7.8324,8.0794,8.3193,8.3382,8.3198,7.8217,8.1437,8.2997,7.7918,7.5193,7.6078,7.2948,7.4544,7.8189,7.5854,8.0369,7.7065,7.4932,7.1359,7.2298,7.3136,6.6413,7.2256,7.1150,7.9005,7.5542,7.5257,7.1214,7.5543,7.6191,7.6517,7.4234,7.3296,7.3394,7.4976,7.5435,6.5356,6.7550,6.6178,7.6243,7.4184,7.8654,6.9037,6.8969,7.1352,7.6773,7.5924,7.5174,6.8215,6.7694,6.6923,6.8871,6.4848,7.3120,6.2807,6.5514,6.8186,6.9021,7.0127,7.2044,7.0102,6.7335,7.0169,7.1959,7.2278,7.2497,6.9769,6.9830,6.8804,7.2095,7.1105,7.0232,7.2304,6.9665,7.6706,7.1809,7.8115,7.2905,8.0816,7.9945,8.1318,7.7479,7.6585,7.7515,7.3099,7.8803,7.8296,7.1667,7.3048,7.3776,7.9289,7.6151,7.3477,8.3689,7.7766,8.0395,7.6373,7.6705,7.6430,7.5710,7.9093,7.6719,7.4256,7.1027,7.7226,8.0573,7.8826,7.6544,7.5713,7.5912,8.0097,7.3651,7.5873,7.1884,7.7705,8.0430,8.3625
