,X,Y,Z
"67,21",-1.59656,5.71711,-7.94189
"67,23",-2.10765,5.60651,-8.04192
"67,25",-1.87577,5.55629,-7.69565
"67,27",1.24661,-1.76469,5.7644
"67,29",0.743335,-1.9914,5.87441
"67,31",0.0427557,-2.32426,5.0048
"67,33",0.0395301,-5.54549,3.9867
"67,35",0.0204938,-5.58659,3.37358
"67,37",0.107208,-5.87522,3.77412
"67,39",0.841559,-5.57665,3.5735
"67,41",-0.00341716,-5.20705,3.2026
"67,43",0.709137,-5.55495,3.31828
"67,45",0.293754,-5.72874,3.26557
"67,47",0.364471,-5.34209,3.03382
"67,49",-0.281612,-5.07148,3.38715
"67,51",-0.0868366,-3.93709,4.24711
"67,53",0.0198829,-4.25742,4.21608
"67,55",2.8228,-3.96631,4.29062
"67,57",2.87943,-4.033,4.34184
"67,59",0.55847,-5.07461,3.58193
"67,61",2.69527,-3.64487,4.55986
"67,63",2.26086,-0.519485,4.72194
"67,65",0.114717,-5.12141,3.25734
"67,67",1.74792,-0.824429,4.34558
"67,69",3.41768,-0.00838415,4.07074
"67,71",2.43635,-0.0183452,4.45329
"67,73",2.38499,0.0495614,4.35306
"67,75",0.66934,-1.82103,4.79133
"67,77",1.42523,-1.52028,5.22752
"67,79",2.28451,-4.41482,4.09491
"67,81",2.8146,-3.9903,4.4291
"67,83",2.96745,-4.09213,4.35539
"67,85",-0.218727,-1.75671,5.49882
"67,87",1.28607,-5.16868,3.55715
"67,89",2.88626,-4.05307,4.35372
"67,91",1.10221,-1.94882,5.504
"67,93",-0.286814,-4.85072,3.86291
"67,95",0.431188,-5.40861,3.46702
"67,97",3.61627,-0.0758801,4.21135
"67,99",2.22025,-0.543889,4.58183
"67,101",3.20526,0.141968,4.28411
"67,103",2.01293,-0.480986,4.67031
"67,105",1.80553,-0.453423,4.52973
"67,107",0.356767,-5.65698,3.3368
"67,109",0.55482,-4.87519,3.6809
"67,111",2.61138,-4.19175,4.10693
"67,113",1.94631,-4.57136,3.95902
"67,115",2.81198,-4.07459,4.21715
"67,117",2.86687,-3.86101,4.39569
"67,119",3.01992,-3.82816,4.35335
"67,121",2.94965,-3.90501,4.43158
"67,123",3.00385,-3.51587,4.4593
"67,125",1.30044,-1.65152,5.31037
"67,127",2.99526,-3.82265,4.18601
"67,129",2.05112,-4.53795,3.9732
"67,131",0.401136,-5.29489,3.41396
"67,133",1.38472,-4.53562,4.05835
"70,1",-1.39263,5.86882,-7.98958
"70,3",-1.84946,6.15964,-7.98961
"70,5",-1.87557,5.7745,-8.14978
"70,7",-2.33986,5.62551,-7.93127
"70,9",-2.08581,5.8852,-7.75854
"70,11",-1.61618,5.27023,-7.95784
"70,13",-2.38282,5.16133,-8.36035
"70,15",-1.73232,5.78443,-8.10317
"70,17",-4.6532,4.27964,-7.95687
"70,19",-2.33642,5.21879,-8.38601
"70,21",-2.00954,5.64279,-8.41811
"70,23",-2.196,6.15667,-7.6062
"70,25",-2.19475,5.71687,-6.92714
"70,27",1.27827,-1.92615,5.49336
"70,29",0.468552,-1.49687,5.96696
"70,31",0.931596,-1.91553,5.75144
"70,33",0.479104,-5.22332,3.28946
"70,35",0.0246391,-5.66915,3.70496
"70,37",-0.0294385,-5.35609,3.08824
"70,39",0.885026,-5.52456,3.43879
"70,41",0.25545,-5.67661,3.48362
"70,43",0.0247183,-5.36652,3.81053
"70,45",-0.234681,-1.94287,5.25753
"70,47",0.0732914,-5.30822,3.24318
"70,49",0.505617,-1.74503,6.05712
"70,51",-0.0578743,-2.50561,4.9914
"70,53",2.78423,-3.89169,4.39027
"70,55",0.698024,-5.46623,3.46845
"70,57",1.53789,-2.46015,5.30736
"70,59",1.37654,-2.08011,5.45431
"70,61",2.99975,-3.54766,4.50166
"70,63",3.49481,0.174059,4.00936
"70,65",3.44364,0.124438,4.14938
"70,67",3.37897,-0.0897402,4.25209
"70,69",3.42476,0.0713286,4.13468
"70,71",3.34788,0.121611,4.19266
"70,73",1.96666,-0.196426,4.58855
"70,75",1.75668,-0.374892,4.54875
"70,77",3.08291,-0.405044,4.16839
"70,79",1.3836,-1.66201,5.33421
"70,81",-0.299878,-4.87291,3.57382
"70,83",0.2832,-1.71447,5.42553
"70,85",0.167462,-5.00341,3.67382
"70,87",2.60246,-3.98336,4.33021
"70,89",0.645926,-1.98319,5.82826
"70,91",2.97037,-4.04927,4.25928
"70,93",1.83457,-4.81612,3.74147
"70,95",-0.0748348,-5.47151,3.53812
"70,97",0.107074,-4.90901,3.4434
"70,99",2.01525,-0.485577,4.71538
"70,101",3.08451,-0.0277186,4.45634
"70,103",3.10883,0.0555522,4.12764
"70,105",2.84731,0.317959,4.18621
"70,107",-0.177936,-5.37609,3.26632
"70,109",-0.0873161,-3.91275,3.99907
"70,111",1.76993,-4.32493,4.16676
"70,113",2.91259,-3.95859,4.36528
"70,115",2.87332,-4.01765,4.30502
"70,117",2.60645,-3.96841,4.29212
"70,119",2.97541,-3.4564,4.2807
"70,121",3.44584,-0.0794198,4.17148
"70,123",1.45733,-4.65331,3.40662
"70,125",0.64245,-4.99499,3.23559
"70,127",0.0743502,-4.36348,3.96303
"70,129",0.628367,-5.44813,3.17621
"70,131",0.917863,-5.06112,3.71015
"70,133",-0.106271,-4.30982,4.18584
"73,1",-1.77676,5.74477,-7.90998
"73,3",-1.53384,5.64353,-8.13881
"73,5",-1.93999,5.77057,-8.18005
"73,7",-1.23186,5.9242,-8.23827
"73,9",-1.30817,5.69081,-8.22795
"73,11",-1.16198,5.63501,-8.33804
"73,13",-2.32092,5.97067,-7.45672
"73,15",-2.08556,5.35951,-7.95632
"73,17",-5.08117,4.18871,-7.71515
"73,19",-4.91918,4.34379,-7.7599
"73,21",-2.6494,5.7647,-8.12861
"73,23",1.09588,-1.66973,5.76752
"73,25",1.21571,-1.74803,5.71076
"73,27",1.22739,-1.6334,5.42978
"73,29",0.545155,-4.39931,4.29569
"73,31",0.215045,-5.73686,3.67916
"73,33",0.25811,-5.40715,3.17176
"73,35",-0.154272,-5.1785,3.75968
"73,37",-0.108267,-5.16177,3.69131
"73,39",-0.112969,-5.23231,3.59758
"73,41",-0.104022,-5.48176,3.35024
"73,43",0.418478,-5.2258,3.52464
"73,45",0.205632,-1.64717,5.84843
"73,47",0.336787,-1.322,5.66662
"73,49",0.876912,-1.65804,5.87713
"73,51",3.06908,-3.72748,4.30593
"73,53",2.92967,-4.01113,4.47191
"73,55",1.22928,-5.26437,3.46213
"73,57",0.00146688,-2.0316,5.45016
"73,59",0.355285,-1.75666,5.38587
"73,61",2.62035,-0.388673,4.39766
"73,63",3.46042,0.315745,4.03888
"73,65",3.42233,0.148169,4.36194
"73,67",2.8831,-0.115625,4.54011
"73,69",3.54777,-0.0430582,4.13926
"73,71",3.39794,0.0524385,4.21436
"73,73",1.91642,-0.277653,4.7115
"73,75",3.3738,0.174142,4.14831
"73,77",0.0939036,-5.52207,3.01566
"73,79",0.437134,-4.92219,3.38354
"73,81",1.41679,-4.75669,3.4262
"73,83",0.193305,-5.24277,3.80155
"73,85",0.529972,-5.39518,3.67941
"73,87",-0.000701299,-4.37728,4.17437
"73,89",0.891656,-5.02951,3.96207
"73,91",0.94479,-5.26641,3.48544
"73,93",2.22085,-4.51883,3.97422
"73,95",1.80433,-4.83544,3.75761
"73,97",0.553602,-5.05799,3.36708
"73,99",2.7976,-0.330021,4.26634
"73,101",3.43906,0.0941955,4.23109
"73,103",3.2659,0.394822,4.09721
"73,105",1.93807,-0.263522,4.56414
"73,107",2.0847,-0.165967,4.48987
"73,109",0.439466,-5.04492,3.17081
"73,111",0.996556,-5.3358,3.47834
"73,113",2.82831,-3.76726,4.45135
"73,115",3.10861,-4.07285,4.27943
"73,117",0.890289,-4.92918,3.67258
"73,119",1.58211,-4.65176,3.48093
"73,121",3.50497,-0.0621532,4.13314
"73,123",3.60931,-0.206396,4.03233
"73,125",3.30245,-0.15322,4.31853
"73,127",0.783451,-4.71609,3.24443
"73,129",0.468974,-5.24185,3.49871
"73,131",3.3897,-0.617448,3.97121
"73,133",3.31141,-0.305189,4.10399
"76,1",-1.30915,5.79915,-7.9641
"76,3",-1.53274,5.96682,-8.1333
"76,5",-2.32363,5.71759,-7.51605
"76,7",-2.28986,5.6071,-8.19981
"76,9",-1.13248,5.8071,-8.20083
"76,11",-1.90203,5.19376,-7.80791
"76,13",-2.40308,5.21125,-8.10991
"76,15",-2.14229,5.89019,-7.6804
"76,17",-1.83842,5.48817,-8.27221
"76,19",-2.56023,5.50518,-7.62038
"76,21",-2.10942,5.72942,-7.01544
"76,23",0.711158,-1.73652,5.85062
"76,25",1.04238,-2.00918,5.78204
"76,27",2.66444,-3.87928,4.40915
"76,29",2.64661,-3.83833,4.16862
"76,31",0.0245585,-5.76608,3.40493
"76,33",0.72168,-5.38223,3.39736
"76,35",2.99095,-3.9672,4.3627
"76,37",0.0746348,-2.87417,4.89666
"76,39",1.20982,-1.66317,5.27749
"76,41",-0.218258,-4.45564,4.01333
"76,43",0.165275,-5.4618,3.73567
"76,45",0.280056,-5.69842,3.74811
"76,47",2.93612,-3.8725,4.42923
"76,49",0.658751,-1.8771,5.24572
"76,51",0.522353,-1.76089,5.76276
"76,53",0.380304,-5.10051,3.55385
"76,55",-0.0329642,-5.27685,3.87863
"76,57",0.0249222,-4.34437,4.27669
"76,59",0.158179,-1.52545,5.76058
"76,61",-0.0749884,-5.22068,3.51117
"76,63",3.13541,-0.781762,3.98356
"76,65",3.41043,-0.00881234,4.20251
"76,67",3.12654,-0.0603785,4.45288
"76,69",3.33404,-0.0519448,4.42453
"76,71",3.24544,-0.103967,4.38822
"76,73",3.31275,-0.119805,4.20363
"76,75",3.18493,0.274618,4.09625
"76,77",0.176842,-5.66326,3.02369
"76,79",-0.148451,-5.05122,3.1342
"76,81",-0.0526022,-5.07416,3.2301
"76,83",-0.0397291,-5.25926,3.57479
"76,85",0.0817756,-5.7816,3.62601
"76,87",-0.326559,-5.61244,3.44178
"76,89",-0.113489,-4.89652,3.75288
"76,91",1.0373,-4.84712,3.86074
"76,93",0.289223,-5.19459,3.68414
"76,95",0.194167,-1.85334,5.64675
"76,97",0.0029961,-4.2412,3.9007
"76,99",-0.190663,-5.20673,3.26145
"76,101",3.25134,0.276138,4.13857
"76,103",2.20289,-0.112066,4.55434
"76,105",3.35448,-0.0197527,4.2509
"76,107",3.41005,0.115985,4.16626
"76,109",3.46281,0.374075,3.96693
"76,111",3.58502,-0.136035,4.07502
"76,113",3.01247,-3.68152,4.30069
"76,115",2.77028,-4.05129,4.29015
"76,117",2.49179,-4.34766,4.11863
"76,119",2.92729,-3.84972,4.35058
"76,121",0.745409,-5.09194,3.22009
"76,123",0.69275,-5.14344,3.44976
"76,125",3.3906,-0.00963599,4.44549
"76,127",2.69639,-0.355693,4.65921
"76,129",2.15432,-0.35405,4.46131
"76,131",2.65563,-0.367389,4.55552
"76,133",3.31088,-0.0108213,4.32672
"79,1",-1.21056,5.78895,-8.1
"79,3",-1.33964,5.82855,-8.06616
"79,5",-1.98161,5.41874,-8.31466
"79,7",-1.82773,5.69756,-7.84645
"79,9",-2.33708,5.23661,-8.24581
"79,11",-1.93381,5.67267,-8.39908
"79,13",-5.07394,4.36547,-8.02086
"79,15",-3.55527,4.8855,-7.90294
"79,17",-1.20554,5.97963,-6.24831
"79,19",-1.48171,5.90795,-6.71654
"79,21",-2.23881,5.7056,-6.51868
"79,23",0.369109,-1.47062,5.8143
"79,25",0.361492,-1.58496,5.80485
"79,27",0.850261,-5.05704,3.79929
"79,29",0.15695,-5.75185,3.62984
"79,31",0.0406381,-5.35095,3.10251
"79,33",0.17304,-5.82979,3.52139
"79,35",2.33558,-4.20136,4.25679
"79,37",0.956526,-4.94998,3.81688
"79,39",1.61128,-4.88489,3.66081
"79,41",0.212994,-5.64321,3.79269
"79,43",1.39768,-4.85666,3.7931
"79,45",0.389942,-5.07445,3.69992
"79,47",0.0319349,-5.29217,3.19492
"79,49",0.20826,-1.42538,5.52532
"79,51",0.470612,-1.58644,5.5349
"79,53",0.0762295,-5.57122,3.66053
"79,55",0.234036,-5.49042,3.62295
"79,57",2.90921,-4.13047,4.39758
"79,59",2.62905,-3.53291,4.61208
"79,61",-0.364948,-5.12347,3.75818
"79,63",0.570967,-5.19272,3.62076
"79,65",0.430746,-5.09755,3.90817
"79,67",2.13112,-0.558762,4.57962
"79,69",2.69623,-0.361134,4.57068
"79,71",1.99162,-0.28925,4.64809
"79,73",2.27307,-0.168368,4.48779
"79,75",2.16667,-0.154366,4.53423
"79,77",3.34333,0.302922,4.11271
"79,79",2.39234,-0.233636,4.57788
"79,81",-0.255649,-5.20819,3.33872
"79,83",-0.134757,-5.29694,3.78018
"79,85",3.1445,-3.75833,4.45334
"79,87",1.11857,-5.03958,3.67509
"79,89",0.693868,-5.49716,3.58429
"79,91",1.02693,-5.4946,3.42787
"79,93",2.84903,-4.02951,4.2847
"79,95",0.974424,-5.27543,3.4589
"79,97",0.808037,-5.21823,3.56591
"79,99",-0.33349,-5.20261,3.2215
"79,101",-0.119447,-5.41762,2.9709
"79,103",3.54176,-0.170307,4.09647
"79,105",2.09759,-0.540947,4.49913
"79,107",2.07591,-0.327177,4.60793
"79,109",3.46519,0.357095,4.03179
"79,111",3.49038,0.361072,3.99159
"79,113",0.302807,-5.00486,3.34407
"79,115",0.702104,-5.50682,3.47819
"79,117",2.74832,-3.88044,4.33578
"79,119",2.84833,-3.92449,4.35416
"79,121",1.59492,-4.9488,3.57011
"79,123",1.83176,-4.73018,3.82567
"79,125",0.430916,-5.1366,3.35312
"79,127",3.60701,-0.0950876,4.16686
"79,129",2.70573,-0.477933,4.69531
"79,131",3.50895,-0.0183037,4.31138
"79,133",3.36964,0.193199,4.15968
"82,1",-1.81784,5.59621,-8.15824
"82,3",-1.22944,5.73263,-8.21778
"82,5",-1.28788,5.62418,-8.27156
"82,7",-1.40226,5.51378,-8.38302
"82,9",-2.17862,5.21373,-8.31493
"82,11",-2.41687,5.48271,-7.79551
"82,13",-4.60872,4.43263,-7.73737
"82,15",-3.53824,4.84847,-7.84889
"82,17",-1.09076,6.00263,-6.24727
"82,19",-1.42329,5.90081,-6.70298
"82,21",0.554441,-1.42088,5.68328
"82,23",1.02069,-1.94305,5.57527
"82,25",0.507493,-1.62766,5.91468
"82,27",0.0975461,-5.14916,3.52613
"82,29",0.763997,-5.73202,3.42243
"82,31",0.0155816,-5.76991,3.52036
"82,33",-0.0693251,-5.1485,3.79817
"82,35",1.76725,-4.7242,3.82286
"82,37",1.45268,-5.00428,3.60901
"82,39",0.0798927,-5.76063,3.34758
"82,41",0.809504,-5.23785,3.29758
"82,43",1.37722,-5.08952,3.55108
"82,45",0.000172367,-5.40928,3.65299
"82,47",0.00337372,-5.37734,3.14514
"82,49",-0.00323126,-1.84894,5.73308
"82,51",0.0635927,-2.67011,5.04439
"82,53",0.83259,-5.46865,3.60037
"82,55",0.195237,-5.05516,3.76252
"82,57",0.634337,-5.44507,3.8634
"82,59",0.116139,-4.83186,3.5674
"82,61",0.181472,-1.69995,5.16632
"82,63",1.20507,-2.40059,5.26003
"82,65",3.51496,-0.647249,4.43335
"82,67",0.141142,-5.1969,3.3285
"82,69",1.83999,-0.487196,4.67001
"82,71",1.73041,-0.468773,4.64663
"82,73",2.04648,-0.427126,4.70382
"82,75",2.27017,-0.294212,4.76042
"82,77",3.19621,-0.131089,4.35671
"82,79",2.03342,-0.4522,4.57962
"82,81",3.20229,-0.317231,4.31264
"82,83",0.391393,-5.52096,3.04279
"82,85",-0.31165,-5.13881,3.40329
"82,87",2.05352,-4.68261,3.84261
"82,89",0.415924,-5.59566,3.36504
"82,91",1.92015,-4.69272,3.85779
"82,93",2.99857,-3.88836,4.30763
"82,95",2.09088,-4.58238,3.92763
"82,97",2.76061,-4.27874,4.22339
"82,99",0.0196443,-3.9503,4.21163
"82,101",3.45735,-0.175894,4.18233
"82,103",0.907991,-5.07984,3.24063
"82,105",2.83056,-0.280148,4.49943
"82,107",2.41467,-0.448169,4.65772
"82,109",3.48164,0.172333,4.26469
"82,111",3.54307,0.244165,4.05069
"82,113",3.40391,0.253626,4.08992
"82,115",3.16399,0.316032,4.1353
"82,117",3.13082,-0.126311,4.35361
"82,119",0.734308,-4.98416,3.62659
"82,121",0.413901,-5.00647,3.50004
"82,123",0.194404,-5.67215,3.40122
"82,125",0.0484244,-5.43652,3.83049
"82,127",-0.106531,-4.84591,3.57398
"82,129",3.34587,-0.415768,4.06404
"82,131",3.65275,0.246799,4.0178
"82,133",3.4994,0.195021,4.13882
"85,1",-1.6216,5.48248,-7.7368
"85,3",-1.71377,5.48486,-8.07494
"85,5",-1.45179,5.79368,-8.01779
"85,7",-2.03994,5.98166,-8.0028
"85,9",-1.50663,5.63651,-8.45466
"85,11",-1.69439,5.94562,-7.63854
"85,13",-4.55196,4.53181,-7.63399
"85,15",-1.74396,5.56846,-7.90922
"85,17",-1.21406,5.95627,-6.37996
"85,19",0.0378395,-5.60782,3.66128
"85,21",1.2543,-2.48536,5.24662
"85,23",0.550328,-1.91447,5.62481
"85,25",0.296963,-5.25004,3.80817
"85,27",-0.214414,-5.24499,3.45793
"85,29",0.161097,-5.06539,3.29274
"85,31",-0.146445,-5.59321,3.75111
"85,33",0.696574,-5.13857,3.37801
"85,35",0.821644,-5.13854,3.70041
"85,37",-0.0812587,-4.12917,4.25942
"85,39",0.180016,-5.27213,3.52161
"85,41",-0.0747451,-5.28435,3.78172
"85,43",1.87662,-4.7886,3.75328
"85,45",2.84418,-3.93273,4.3848
"85,47",2.70898,-4.04275,4.16179
"85,49",-0.0642975,-3.6922,4.47523
"85,51",-0.143063,-3.82158,4.35491
"85,53",0.0788629,-5.47534,4.02756
"85,55",-0.250715,-4.99255,3.77574
"85,57",0.613041,-5.60841,3.4849
"85,59",-0.282006,-4.93466,3.99704
"85,61",0.479432,-1.49122,5.84531
"85,63",3.00666,-3.69566,4.45291
"85,65",3.49767,-0.23357,4.13193
"85,67",0.0701805,-5.21873,2.91006
"85,69",1.78259,-0.586554,4.56005
"85,71",1.96732,-0.493189,4.65148
"85,73",2.23388,-0.41848,4.59466
"85,75",2.40916,-0.450134,4.61641
"85,77",2.09284,-0.487197,4.71509
"85,79",2.1706,-0.528556,4.64248
"85,81",3.56954,-0.0840492,4.07227
"85,83",3.60844,-0.172676,3.99439
"85,85",0.0619164,-5.35741,3.35617
"85,87",-0.404201,-5.56332,3.75373
"85,89",-0.11442,-4.85613,3.86694
"85,91",2.80992,-3.88633,4.37234
"85,93",1.51451,-4.77475,3.84674
"85,95",2.59003,-4.14773,4.2572
"85,97",1.4893,-5.0692,3.58519
"85,99",0.487209,-5.37354,3.08426
"85,101",1.6748,-4.90104,3.65308
"85,103",0.412508,-5.03648,3.53867
"85,105",-0.114932,-4.78929,3.47622
"85,107",3.18024,0.088252,4.47024
"85,109",3.44845,0.0363746,4.24431
"85,111",2.8824,0.1231,4.33856
"85,113",3.51673,0.191957,4.11559
"85,115",3.39702,0.100852,4.18584
"85,117",2.43586,-0.115769,4.50466
"85,119",3.46367,0.05364,4.16404
"85,121",3.33639,-0.39582,4.16341
"85,123",0.264374,-5.19693,3.5028
"85,125",-0.00882761,-5.45863,3.78034
"85,127",0.493199,-4.91964,3.40642
"85,129",1.21897,-5.19368,3.42567
"85,131",3.63443,0.0600642,4.08256
"85,133",3.49855,0.0747748,4.19587
"88,1",-2.05684,6.05608,-7.89763
"88,3",-1.99473,5.97406,-8.19844
"88,5",-2.16237,5.53522,-7.82528
"88,7",-1.99958,5.29998,-8.15771
"88,9",-1.12925,5.64496,-8.23141
"88,11",-1.3046,5.96056,-6.57985
"88,13",-1.88896,5.55782,-7.7873
"88,15",-1.88277,5.8251,-7.59142
"88,17",0.0204166,-5.38652,3.16819
"88,19",0.0759417,-5.41247,3.81706
"88,21",0.660664,-2.4294,5.1578
"88,23",0.55483,-1.50146,5.57499
"88,25",-0.0381838,-5.51474,3.3012
"88,27",0.0753018,-5.47043,3.5751
"88,29",0.665665,-5.58438,3.61178
"88,31",0.177966,-5.44181,3.7272
"88,33",-0.128536,-5.31837,3.78847
"88,35",-0.0700567,-4.20334,4.20375
"88,37",0.2009,-2.07667,5.23182
"88,39",0.0810548,-5.29101,3.96218
"88,41",0.425622,-5.45983,3.48232
"88,43",1.24466,-5.1221,3.55768
"88,45",2.8888,-3.90727,4.41833
"88,47",0.719598,-4.88882,3.61832
"88,49",-0.184713,-4.8977,3.60854
"88,51",0.997268,-5.1915,3.49631
"88,53",1.76951,-4.86421,3.80465
"88,55",2.26991,-4.59103,3.88406
"88,57",0.376784,-5.53,3.56445
"88,59",3.37905,-0.203372,4.06215
"88,61",0.693084,-5.10423,3.28663
"88,63",0.705045,-5.22679,3.17031
"88,65",3.5833,0.106522,3.93466
"88,67",-0.350108,-5.42771,3.23328
"88,69",2.66571,0.153144,4.25037
"88,71",2.04331,-0.517105,4.67525
"88,73",3.13616,-0.054299,4.40037
"88,75",2.61264,-0.327676,4.6941
"88,77",3.21961,-0.224685,4.27288
"88,79",3.23835,0.228615,4.28321
"88,81",3.34219,0.235306,4.17404
"88,83",1.93093,-0.196018,4.4481
"88,85",3.50785,0.328258,3.89523
"88,87",-0.170825,-5.29241,3.05433
"88,89",-0.0960802,-5.38827,3.35073
"88,91",-0.0413354,-5.44505,3.35361
"88,93",1.35589,-1.54838,5.10773
"88,95",-0.0318989,-2.28589,5.18595
"88,97",0.51145,-5.47141,3.86056
"88,99",-0.229562,-4.99226,3.6845
"88,101",-0.0748072,-3.76773,4.34969
"88,103",-0.195973,-5.00562,3.61824
"88,105",3.24043,-0.083122,4.44524
"88,107",2.03048,-0.579063,4.54501
"88,109",3.19705,0.0376504,4.21582
"88,111",2.0803,-0.350684,4.65163
"88,113",2.20689,-0.232198,4.62732
"88,115",3.50735,0.218583,4.10127
"88,117",2.64078,-0.337707,4.56404
"88,119",2.37405,-0.264237,4.55059
"88,121",3.02689,-0.0261355,4.47982
"88,123",3.49109,0.011052,4.23517
"88,125",2.04499,-0.258625,4.62391
"88,127",3.18762,-0.204992,4.34428
"88,129",3.57298,-0.206622,4.13693
"88,131",3.47603,0.116261,4.3985
"88,133",3.16845,0.339584,4.10624
"91,1",-1.45933,5.93599,-7.89516
"91,3",-0.931092,5.84942,-7.95328
"91,5",-1.94386,6.10255,-8.04701
"91,7",-2.24272,5.93922,-7.50196
"91,9",-1.68768,5.56866,-7.59208
"91,11",-1.12838,6.02149,-6.2517
"91,13",-1.12946,5.96055,-6.2344
"91,15",-1.95948,5.64706,-7.67336
"91,17",0.953404,-5.28618,3.45659
"91,19",0.140048,-2.58136,5.02487
"91,21",0.740686,-2.17845,5.37476
"91,23",0.507311,-1.61107,5.50016
"91,25",-0.0546806,-2.66418,4.97194
"91,27",0.108892,-5.07813,3.50378
"91,29",0.308577,-5.9062,3.63793
"91,31",-0.0421638,-4.29674,4.15656
"91,33",-0.152574,-5.49033,3.49909
"91,35",0.156825,-5.33886,3.56477
"91,37",-0.19784,-5.45053,3.26114
"91,39",2.93547,-4.06136,4.2925
"91,41",3.13468,-3.91237,4.50763
"91,43",0.332135,-5.35802,3.56733
"91,45",-0.0143838,-5.25748,3.42658
"91,47",0.384478,-5.25031,3.098
"91,49",0.241674,-2.03966,5.46985
"91,51",2.39041,-4.42605,4.09141
"91,53",0.235546,-5.36088,3.16574
"91,55",0.45478,-5.30139,3.79399
"91,57",3.49871,-0.0589549,4.15645
"91,59",2.28506,-0.00470642,4.4384
"91,61",3.39696,0.240506,4.13958
"91,63",3.53349,0.198291,4.0828
"91,65",3.35299,0.0728154,4.31175
"91,67",2.50926,-0.1795,4.57778
"91,69",2.05514,-0.163916,4.71927
"91,71",3.13355,0.358522,4.12814
"91,73",3.48524,-0.0452811,4.20888
"91,75",2.18937,-0.433321,4.6608
"91,77",2.43665,-0.261257,4.713
"91,79",2.32478,-0.161805,4.38629
"91,81",3.34335,0.190427,4.25819
"91,83",2.16498,-0.159623,4.48367
"91,85",3.15583,-0.102013,4.35828
"91,87",1.77323,-0.373146,4.63205
"91,89",3.37236,0.376486,3.97753
"91,91",3.15757,0.44335,4.04163
"91,93",2.12,-0.0504194,4.50065
"91,95",2.62908,-0.48974,4.41734
"91,97",0.340976,-5.42189,2.94114
"91,99",0.0813812,-5.02248,3.28605
"91,101",0.212135,-5.42203,3.73424
"91,103",0.142878,-5.10866,3.12383
"91,105",0.313421,-4.87246,3.62933
"91,107",1.85048,-0.748412,4.37765
"91,109",2.2872,-0.515541,4.5766
"91,111",2.02325,-0.4078,4.61483
"91,113",2.10823,-0.289498,4.62088
"91,115",1.80716,-0.399276,4.64222
"91,117",2.28846,-0.074435,4.53637
"91,119",-1.68923,5.11778,-7.56195
"91,121",3.34033,0.455598,4.04734
"91,123",3.21383,0.611283,3.97001
"91,125",3.19584,0.619233,3.98682
"91,127",3.1112,-0.202128,4.19405
"91,129",3.51847,0.102078,4.15964
"91,131",2.6271,-0.281957,4.38764
"91,133",2.33546,-0.444829,4.73735
"94,1",-1.82101,5.73219,-7.76211
"94,3",-2.08971,5.51981,-7.89528
"94,5",-1.23183,5.88043,-8.04239
"94,7",-1.50247,5.75737,-7.94781
"94,9",-1.78005,6.05179,-7.553
"94,11",-1.20992,5.92634,-6.3525
"94,13",-1.1043,5.9743,-6.18695
"94,15",-0.0558744,-5.52061,3.54812
"94,17",0.666472,-4.87827,3.81136
"94,19",0.714455,-2.14627,5.32079
"94,21",2.21492,-3.996,4.3613
"94,23",-0.283726,-4.95224,3.68756
"94,25",-0.0870548,-2.52013,5.11248
"94,27",0.931333,-5.18965,3.43253
"94,29",0.42485,-5.27595,3.27977
"94,31",0.334832,-5.39525,3.19054
"94,33",0.0606484,-5.01138,3.27674
"94,35",2.44751,-4.36654,4.1284
"94,37",0.641443,-5.57766,3.4257
"94,39",2.93921,-3.91508,4.33413
"94,41",2.89456,-4.19082,4.5554
"94,43",1.38189,-5.14036,3.55001
"94,45",-0.16381,-4.13505,4.15832
"94,47",0.19959,-5.52306,3.65513
"94,49",2.41004,-4.30345,4.08845
"94,51",2.71956,-4.15277,4.17519
"94,53",1.3449,-5.14413,3.47322
"94,55",-0.0929246,-4.45419,3.59154
"94,57",1.88752,-0.680669,4.56282
"94,59",3.01376,-0.307362,4.26344
"94,61",3.54269,0.106931,4.1416
"94,63",3.5873,0.104616,4.07336
"94,65",3.38402,0.0632138,4.3228
"94,67",3.38331,-0.00023133,4.13117
"94,69",1.98774,-0.152689,4.55341
"94,71",2.43066,-0.136256,4.58769
"94,73",3.21327,0.0535701,4.11753
"94,75",3.53657,0.0581074,4.13773
"94,77",2.61528,-0.287758,4.54388
"94,79",2.46383,-0.480877,4.71692
"94,81",3.06695,-0.0451025,4.58365
"94,83",2.92169,-0.257777,4.34023
"94,85",3.4674,-0.264577,4.08303
"94,87",3.25737,-0.29035,4.16028
"94,89",2.00755,-0.266657,4.54629
"94,91",3.30444,0.169022,4.22432
"94,93",3.08599,0.354283,4.1294
"94,95",0.439475,-5.19532,3.11966
"94,97",0.0494308,-5.03817,3.0083
"94,99",0.000335025,-5.14487,3.11623
"94,101",0.0792083,-5.20434,3.46286
"94,103",0.0819852,-5.07222,3.30857
"94,105",3.42001,-0.346691,4.11842
"94,107",1.74185,-0.64765,4.49576
"94,109",1.76222,-0.646355,4.49634
"94,111",2.72459,-0.272173,4.47353
"94,113",2.07983,-0.405288,4.63808
"94,115",2.06505,-0.0785733,4.55024
"94,117",3.46447,0.317887,4.02965
"94,119",-1.9084,5.99862,-7.23567
"94,121",-0.647193,5.91478,-7.63961
"94,123",-0.662231,5.91444,-7.64121
"94,125",2.99327,0.296754,4.20882
"94,127",3.24272,0.562397,3.98918
