A0CIB0	1.A.17.1.13
Q19038	1.A.6.2.5
Q19746	1.A.25.1.1
Q19834	2.A.3.8.9
Q19QW7	1.A.65.1.2
Q1J0W6	9.B.34.1.1
Q1K211	2.A.66.9.3
Q1L811	2.A.66.2.12
Q1LRE9	3.A.1.210.9
Q1LZ59	4.A.2.1.7
Q1LZ68	4.A.2.1.8
Q1M7Q1	3.A.1.11.6
Q1M7Q2	3.A.1.11.6
Q1M7Q3	3.A.1.11.6
Q1M7Q4	3.A.1.11.6
Q1M8G8	2.A.99.1.2
Q1P9T0	2.A.108.1.7
Q1P9T1	2.A.108.1.7
Q1R4S9	4.A.2.1.9
Q1R4T1	4.A.2.1.9
Q1R5P6	1.B.22.4.2
Q1RN04	2.A.87.1.1
Q1V718	1.C.3.3.2
Q1W0T1	1.G.1.1.1
Q1WF75	9.A.37.1.1
Q1XA76	1.A.6.1.5
Q1ZQA1	9.B.44.2.1
Q20516	9.B.12.4.1
Q21070	1.A.4.1.6
Q21339	2.A.47.1.8
Q21386	2.A.36.1.7
Q21973	1.A.46.1.3
Q21974	1.A.6.2.4
Q21BQ4	1.B.57.1.2
Q22741	1.A.9.6.4
Q22NS1	3.A.1.207.2
Q22V52	3.A.3.10.16
Q23022	1.A.9.1.2
Q23K98	1.A.3.2.3
Q23QW3	3.A.3.10.11
Q24052	8.A.5.1.2
Q24824	1.C.35.1.2
Q24825	1.C.35.1.3
Q24LT6	2.A.6.2.29
Q24LT7	2.A.6.2.29
Q25011	1.A.6.3.1
Q25272	2.A.71.1.1
Q25479	2.A.30.1.9
Q25693	3.A.1.210.5
Q26579	2.A.1.1.52
Q26594	2.A.3.8.3
Q26C21	3.A.1.133.2
Q27023	1.C.47.1.4
Q27257	2.A.29.8.2
Q27433	1.A.6.2.2
Q27724	3.A.3.2.8
Q27SU9	1.B.18.2.2
Q28139	2.A.19.4.1
Q286Z2	9.B.97.1.2
Q287T7	2.A.29.5.3
Q29075	1.C.35.3.1
Q29449	3.A.3.8.1
Q29XT8	1.B.20.3.3
Q2AAU3	2.A.6.2.26
Q2AAU4	2.A.6.2.26
Q2BM68	3.A.1.17.4
Q2BM69	3.A.1.17.4
Q2BM70	3.A.1.17.4
Q2EF88	2.A.67.2.4
Q2F800	2.A.17.4.5
Q2FD95	2.A.6.2.29
Q2FFH9	2.A.47.1.11
Q2FMC1	2.A.47.1.1
Q2FZP8	2.A.1.2.44
Q2FZR3	3.A.1.5.19
Q2FZR4	3.A.1.5.19
Q2FZR5	3.A.1.5.19
Q2FZR6	3.A.1.5.19
Q2FZR7	3.A.1.5.19
Q2G140	2.A.66.1.13
Q2G2M9	3.A.1.106.2
Q2J9P4	3.A.1.125.3
Q2J9P5	3.A.1.125.3
Q2KCQ1	1.A.22.1.4
Q2KUS5	2.A.88.1.8
Q2M5P1	2.A.1.57.5
Q2M5P4	1.B.14.8.2
Q2MDH1	2.A.1.1.67
Q2MJU2	9.A.43.1.1
Q2NEN2	9.B.97.1.3
Q2PGB8	3.A.1.120.5
Q2PJ95	1.A.9.6.2
Q2QKM2	4.A.6.1.6
Q2QKM3	4.A.6.1.6
Q2QKM4	4.A.6.1.6
Q2RIS7	3.A.10.1.3
Q2S2F8	3.E.1.6.2
Q2SDB0	3.A.1.132.4
Q2SDB1	3.A.1.132.4
Q2SPT5	3.A.3.24.4
Q2TJJ2	2.A.16.4.3
Q2TM55	1.C.41.1.3
Q2VQZ4	2.A.3.10.22
Q2W0I8	1.A.1.22.1
Q2Y0W8	2.A.31.2.4
Q31A57	1.B.54.1.7
Q32AX9	3.A.1.14.18
Q32AY2	3.A.1.14.18
Q32AY3	3.A.1.14.18
Q35140	3.D.1.6.2
Q35141	3.D.1.6.2
Q37050	9.B.73.1.1
Q37145	3.A.3.2.11
Q37975	1.E.21.2.1
Q38008	1.E.16.1.1
Q38020	1.E.11.1.1
Q38134	1.E.18.1.1
Q38316	1.E.12.1.1
Q383B3	2.A.66.8.1
Q38442	9.B.78.1.1
Q38613	1.E.11.1.2
Q38849	1.A.1.4.6
Q38856	2.A.5.1.2
Q38898	1.A.1.4.6
Q38954	2.A.20.2.4
Q38998	1.A.1.4.1
Q38XE8	2.A.88.6.1
Q39002	2.A.12.1.16
Q39065	1.A.56.1.1
Q39128	1.A.1.4.7
Q39134	2.A.18.2.3
Q39228	2.A.1.1.49
Q39232	2.A.2.4.1
Q39253	2.A.19.2.3
Q39254	2.A.19.2.4
Q39510	2.A.32.1.1
Q3A7I4	2.A.66.9.2
Q3A8N9	1.B.57.1.3
Q3B5D8	2.A.69.4.1
Q3B5D9	1.B.54.2.1
Q3C2E8	9.B.76.1.1
Q3EA49	2.A.28.2.1
Q3IVI4	2.A.56.1.4
Q3IVI5	2.A.56.1.4
Q3IVI6	2.A.56.1.4
Q3K638	1.B.39.1.4
Q3KNW5	2.A.28.1.4
Q3L890	2.A.116.1.1
Q3LAJ2	3.A.12.3.2
Q3M5P5	3.A.3.30.4
Q3M5U1	3.A.1.6.4
Q3M5U2	3.A.1.6.4
Q3M5U3	3.A.1.6.4
Q3MK85	1.B.1.9.1
Q3MNJ6	3.A.3.5.15
Q3SAW5	2.A.7.21.4
Q3T4L9	1.E.5.1.1
Q3TMP8	1.A.62.1.1
Q3U2S8	1.A.51.1.1
Q3UW12	1.A.1.5.4
Q3V050	2.A.66.1.16
Q3YL57	2.A.36.7.3
Q3YL97	1.B.20.1.3
Q3Z8A7	3.A.1.105.6
Q3ZMH1	2.A.21.5.5
Q3ZMH2	2.A.31.2.9
Q3ZTX7	1.C.72.3.1
Q3ZTX8	1.C.72.3.1
Q400D8	2.A.1.1.36
Q404H3	1.C.72.2.1
Q404H4	1.C.72.2.1
Q41009	3.A.9.1.1
Q41010	3.A.9.1.1
Q41050	1.B.30.1.1
Q41364	2.A.47.3.1
Q41515	2.A.38.3.1
Q41760	2.A.40.6.3
Q42093	3.A.1.208.5
Q42400	2.A.18.2.1
Q42524	4.C.1.1.7
Q42577	3.D.1.6.3
Q43381	5.B.4.1.1
Q43390	2.A.17.3.3
Q43650	2.A.1.9.3
Q44360	3.A.7.1.1
Q44381	3.A.1.11.3
Q44382	3.A.1.11.3
Q44383	3.A.1.11.3
Q44384	3.A.1.11.3
Q44575	2.A.66.2.4
Q44591	2.A.1.31.1
Q44618	1.B.64.1.1
Q44828	1.E.17.1.1
Q44881	1.B.51.1.1
Q45082	2.A.1.6.5
Q45083	1.B.17.3.3
Q45153	2.A.77.1.2
Q45308	2.A.37.2.3
Q45340	1.B.12.2.3
Q45343	1.B.12.2.2
Q45390	3.A.7.3.1
Q45391	3.A.7.3.1
Q45404	3.A.1.124.2
Q45405	3.A.1.124.2
Q45407	1.B.18.3.2
Q45409	8.A.3.3.3
Q45411	2.A.66.2.11
Q45460	3.A.1.12.3
Q45461	3.A.1.12.3
Q45462	3.A.1.12.3
Q45470	1.C.5.2.2
Q45592	3.A.1.133.1
Q45593	3.A.1.133.1
Q45728	1.C.5.3.1
Q45729	1.C.78.1.1
Q45755	1.C.2.3.1
Q45780	1.B.14.6.1
Q46065	2.A.3.1.12
Q460G9	2.A.96.2.1
Q46149	1.C.57.1.4
Q46221	1.C.42.1.3
Q46305	2.A.1.21.6
Q46308	1.C.3.2.2
Q46342	1.C.57.1.3
Q46696	3.A.7.6.1
Q46697	3.A.7.6.1
Q46698	3.A.7.6.1
Q46699	3.A.7.6.1
Q46701	3.A.7.6.1
Q46702	3.A.7.6.1
Q46703	3.A.7.6.1
Q46704	3.A.7.6.1
Q46705	3.A.7.6.1
Q46706	3.A.7.6.1
Q467Y6	2.A.1.63.1
Q46839	2.A.14.1.2
Q46971	1.C.58.1.2
Q46M63	2.A.1.15.3
Q47084	3.A.1.14.4
Q47085	3.A.1.14.4
Q47086	3.A.1.14.4
Q47087	3.A.1.14.4
Q47107	1.C.57.3.3
Q47125	1.C.1.2.3
Q47142	2.A.1.27.1
Q47424	1.E.4.1.1
Q47455	9.B.62.1.1
Q47502	1.C.1.2.1
Q47537	3.A.1.17.1
Q47538	3.A.1.17.1
Q47539	3.A.1.17.1
Q47689	2.A.3.1.10
Q47692	1.B.12.4.2
Q47706	1.B.25.1.5
Q47765	1.C.28.1.1
Q47784	1.C.24.1.4
Q47825	2.A.42.1.4
Q47832	1.E.15.1.1
Q47877	1.C.41.1.2
Q47905	1.B.32.1.1
Q47EV0	2.A.1.56.1
Q48217	1.B.1.3.2
Q48237	1.B.12.7.1
Q48245	1.B.12.6.1
Q48252	3.A.7.12.1
Q48262	2.A.52.1.4
Q48281	1.E.7.1.2
Q48391	1.B.26.1.1
Q48394	3.A.1.1.6
Q48395	3.A.1.1.6
Q48396	3.A.1.1.6
Q48397	3.A.1.1.6
Q48475	3.A.1.103.1
Q48476	3.A.1.103.1
Q48546	1.B.37.1.1
Q48597	3.A.1.124.1
Q48598	3.A.1.124.1
Q48599	3.A.1.124.1
Q48658	2.A.1.2.5
Q48769	2.A.24.3.2
Q48797	2.A.69.4.5
Q48940	3.D.8.1.2
Q48941	3.D.8.1.2
Q48942	3.D.8.1.2
Q48943	3.D.8.1.2
Q48944	3.D.8.1.2
Q48945	3.D.8.1.2
Q48WG5	4.A.1.1.12
Q4A3R4	2.A.29.10.3
Q4CLA0	9.B.82.1.4
Q4FED0	1.B.54.1.3
Q4FKW8	2.A.7.3.37
Q4FMH8	1.B.54.1.4
Q4FXA4	2.A.91.1.1
Q4H132	3.A.3.1.6
Q4JEV5	1.C.4.5.1
Q4JI69	9.B.22.1.1
Q4K6F5	2.A.66.7.1
Q4LDF9	1.B.47.1.1
Q4LDG0	4.C.1.1.8
Q4LDT6	2.A.6.2.34
Q4LDT8	2.A.6.2.35
Q4PI59	3.A.3.9.6
Q4PT23	2.A.7.4.2
Q4QG33	2.A.57.2.6
Q4QH25	2.A.57.2.7
Q4QJF1	2.A.91.1.1
Q4QJR3	1.B.20.3.2
Q4QLL1	4.B.1.1.2
Q4U0V9	1.A.56.3.1
Q4VFZ9	2.A.29.10.9
Q4VSJ2	2.A.7.21.1
Q4VSJ3	2.A.6.2.20
Q4VSJ4	2.A.6.2.20
Q4VSJ5	2.A.6.2.20
Q4VWC6	3.A.1.105.4
Q4VWC7	3.A.1.105.4
Q4VWC8	3.A.1.105.4
Q4VWC9	3.A.1.105.4
Q4VWD0	3.A.1.105.4
Q4VY51	1.A.1.23.1
Q4YNK7	1.A.1.26.1
Q4ZLW8	2.A.15.1.3
Q50248	3.D.7.1.1
Q50249	3.D.7.1.1
Q50250	3.D.7.1.1
Q50392	2.A.1.3.3
Q50411	2.A.37.1.12
Q50614	3.A.1.203.4
Q50634	3.A.5.2.2
Q50635	3.A.5.2.2
Q50773	3.C.1.1.1
Q50774	3.C.1.1.1
Q50848	1.C.21.1.2
Q50E62	2.A.3.8.11
Q51006	2.A.6.2.5
Q51073	2.A.6.2.5
Q51104	1.B.14.2.1
Q51330	2.A.1.11.1
Q51340	3.A.1.113.2
Q51417	1.A.29.1.1
Q51485	1.B.19.1.1
Q51487	2.A.6.2.21
Q51510	1.B.25.1.2
Q51528	3.A.15.2.1
Q51532	3.A.15.2.1
Q51662	3.D.4.10.1
Q51663	3.D.4.10.1
Q51955	2.A.1.15.1
Q52000	2.A.1.6.3
Q52001	3.A.7.14.1
Q52002	3.A.7.14.1
Q52003	3.A.7.14.1
Q52004	3.A.7.14.1
Q52005	3.A.7.14.1
Q52006	3.A.7.14.1
Q52012	3.A.1.5.4
Q52052	1.C.60.1.1
Q52053	1.C.60.1.1
Q52270	3.A.7.7.1
Q52273	3.A.7.7.1
Q52527	3.D.4.10.2
Q52663	3.A.1.3.7
Q52664	3.A.1.3.7
Q52665	3.A.1.3.7
Q52666	3.A.1.3.7
Q52677	1.B.7.1.1
Q52716	3.D.6.1.1
Q52812	3.A.1.3.8
Q52813	3.A.1.3.8
Q52814	3.A.1.3.8
Q52815	3.A.1.3.8
Q52899	3.A.1.132.2
Q52900	3.A.1.132.2
Q52978	2.A.63.1.1
Q52980	2.A.63.1.1
Q52981	2.A.63.1.1
Q52982	2.A.63.1.1
Q52983	2.A.63.1.1
Q53148	2.A.3.5.1
Q53185	1.A.29.1.2
Q53368	3.A.1.110.7
Q53482	1.C.4.2.1
Q53712	3.A.1.120.3
Q53716	3.A.1.105.2
Q53717	3.A.1.105.2
Q53747	1.C.3.4.1
Q53762	3.A.1.120.1
Q53787	2.A.24.2.1
Q53902	2.A.6.5.1
Q53903	2.A.1.3.7
Q53G01	1.A.12.1.3
Q53I06	1.C.47.2.1
Q53TN4	5.B.2.1.3
Q54121	3.A.1.123.1
Q541A5	3.A.16.1.1
Q54203	3.A.1.119.1
Q54204	3.A.1.119.1
Q54318	1.C.126.1.1
Q54418	1.E.25.2.1
Q54450	1.B.14.5.1
Q54456	3.A.1.110.6
Q54806	2.A.1.3.5
Q54957	1.C.21.1.3
Q54E05	2.A.7.24.2
Q54EF1	2.A.67.2.6
Q54X63	3.A.3.10.9
Q55026	9.B.20.2.1
Q55027	2.A.51.1.2
Q55035	3.A.1.1.32
Q55052	1.A.29.1.4
Q55106	3.A.1.16.3
Q55107	3.A.1.16.3
Q55108	3.A.1.16.3
Q55164	3.A.1.4.2
Q55190	2.A.37.2.4
Q55280	3.A.1.15.1
Q55281	3.A.1.15.1
Q55282	3.A.1.15.1
Q55387	3.A.1.4.2
Q55471	3.A.1.1.32
Q55472	3.A.1.1.32
Q55473	3.A.1.1.32
Q55534	3.A.1.10.2
Q55721	2.A.71.2.3
Q55835	3.A.1.10.2
Q55937	2.A.1.31.2
Q55998	1.A.8.8.20
Q559K0	2.A.48.1.5
Q56019	1.C.36.3.2
Q56026	1.C.36.3.2
Q56100	3.A.7.10.1
Q56101	3.A.7.10.1
Q56102	3.A.7.10.1
Q56217	3.D.1.3.1
Q56218	3.D.1.3.1
Q56219	3.D.1.3.1
Q56220	3.D.1.3.1
Q56221	3.D.1.3.1
Q56222	3.D.1.3.1
Q56223	3.D.1.3.1
Q56224	3.D.1.3.1
Q56225	3.D.1.3.1
Q56226	3.D.1.3.1
Q56227	3.D.1.3.1
Q56228	3.D.1.3.1
Q56229	3.D.1.3.1
Q56469	3.A.7.4.1
Q56582	3.D.5.1.1
Q56584	3.D.5.1.1
Q56586	3.D.5.1.1
Q56587	3.D.5.1.1
Q56589	3.D.5.1.1
Q56724	3.B.1.1.2
Q56725	2.A.33.1.2
Q56828	1.B.1.1.6
Q56877	2.A.1.35.2
Q56952	3.A.1.15.4
Q56953	3.A.1.15.4
Q56954	3.A.1.15.4
Q56955	3.A.1.15.4
Q56991	3.A.1.14.5
Q56992	3.A.1.14.5
Q56993	3.A.1.14.5
Q56EB3	2.A.62.1.2
Q56RY7	2.A.1.2.38
Q56ZN6	3.A.10.2.3
Q57028	1.C.5.2.1
Q57038	3.E.2.2.2
Q57079	3.B.1.1.2
Q57095	3.D.5.1.1
Q57111	3.B.1.1.2
Q57134	3.A.11.2.2
Q57251	2.A.14.2.1
Q57286	3.B.1.1.2
Q57306	3.A.1.17.3
Q57312	1.C.20.1.7
Q57403	3.A.1.111.1
Q57490	3.B.1.1.2
Q57603	1.A.1.6.1
Q57634	1.A.23.4.2
Q57753	2.A.49.4.1
Q58026	2.A.3.6.3
Q58047	2.A.20.3.1
Q58086	2.A.47.5.1
Q58439	1.A.35.3.1
Q58492	2.A.113.1.4
Q58543	1.A.23.4.1
Q58623	3.A.3.3.4
Q58715	2.A.22.5.1
Q58957	2.A.6.7.2
Q58AJ4	2.A.108.2.1
Q58I19	3.A.3.1.1
Q58P71	2.A.37.4.4
Q58YW1	9.B.67.3.1
Q59385	3.A.3.5.5
Q59465	3.A.3.6.3
Q59574	3.D.8.1.1
Q59575	3.D.8.1.1
Q59576	3.D.8.1.1
Q59577	3.D.8.1.1
Q59578	3.D.8.1.1
Q59579	3.D.8.1.1
Q59580	3.D.8.1.1
Q59584	3.C.1.1.1
Q59652	3.A.15.2.1
Q59991	1.B.23.1.2
Q59UP8	1.A.11.3.5
Q5A477	2.A.7.13.2
Q5A7S4	2.A.1.58.1
Q5A8J5	2.A.1.1.73
Q5AG51	3.A.3.5.8
Q5AZI1	2.A.7.25.7
Q5B2K4	2.A.96.1.3
Q5BL44	2.A.20.2.6
Q5BU39	9.A.66.1.1
Q5C8V6	2.A.3.12.1
Q5CTJ9	3.A.3.10.18
Q5DDT5	8.A.9.3.1
Q5DFV8	1.A.55.3.1
Q5DTL9	2.A.31.2.3
Q5E733	2.A.21.3.7
Q5EAK4	2.A.16.2.2
Q5EP68	3.A.7.11.1
Q5EPA5	3.A.7.11.1
Q5EPA7	3.A.7.11.1
Q5EPA9	3.A.7.11.1
Q5EPB1	3.A.7.11.1
Q5EPB2	3.A.7.11.1
Q5EPB3	3.A.7.11.1
Q5EPB4	3.A.7.11.1
Q5EPB6	3.A.7.11.1
Q5EPB7	3.A.7.11.1
Q5EPB9	3.A.7.11.1
Q5EPC0	3.A.7.11.1
Q5EPC1	3.A.7.11.1
Q5EPC2	3.A.7.11.1
Q5EPC3	3.A.7.11.1
Q5EPC7	3.A.7.11.1
Q5EPC8	3.A.7.11.1
Q5ERC7	2.A.1.1.47
Q5F378	1.C.33.1.8
Q5F6G0	2.A.1.25.3
Q5F721	2.A.68.1.2
Q5FA63	3.A.1.15.10
Q5FAM9	2.A.66.1.21
Q5GCB0	3.A.3.27.4
Q5H8A5	1.A.1.23.3
Q5H8A6	1.A.1.23.2
Q5HGV2	3.A.1.14.17
Q5HYA8	9.B.77.1.1
Q5I0E9	2.A.66.1.15
Q5I4B8	1.C.38.1.4
Q5J2D5	2.A.22.3.6
Q5JAK9	2.A.1.2.39
Q5K698	3.A.7.11.1
Q5KG96	9.A.17.1.1
Q5KJQ5	2.A.108.1.8
Q5KP96	3.A.3.8.10
Q5KY59	2.A.7.26.5
Q5L082	9.A.5.2.1
Q5LCC7	2.A.81.1.2
Q5M0A4	3.A.3.2.22
Q5M4L1	2.A.1.64.1
Q5M5W6	4.A.6.1.7
Q5M5W7	4.A.6.1.7
Q5M5W8	4.A.6.1.7
Q5NIP1	9.A.51.1.1
Q5P036	5.A.3.11.1
Q5P037	5.A.3.11.1
Q5P0H8	5.A.3.11.1
Q5P737	2.A.1.51.1
Q5P8C0	3.A.3.32.1
Q5PU79	2.A.1.3.22
Q5QM84	1.A.1.11.13
Q5QRI8	1.A.53.1.1
Q5R205	1.A.2.1.6
Q5RLM2	2.A.1.19.15
Q5S8E4	1.G.2.1.1
Q5SC60	1.C.81.1.1
Q5SJ79	3.D.4.2.1
Q5SJ80	3.D.4.2.1
Q5SR56	2.A.1.2.30
Q5TLL2	3.A.1.111.4
Q5UPV8	2.A.29.26.1
Q5V9R8	3.A.1.5.22
Q5V9R9	3.A.1.5.22
Q5V9S0	3.A.1.5.22
Q5V9S1	3.A.1.5.22
Q5V9S2	3.A.1.5.22
Q5VM58	2.A.29.22.2
Q5W7C1	3.A.1.139.1
Q5WAS7	2.A.1.21.8
Q5WX21	2.A.1.2.37
Q5XPH7	9.A.8.1.4
Q5XXA6	1.A.17.1.1
Q5Y4S2	1.C.65.1.4
Q5Z8H2	3.A.1.139.1
Q5ZS30	3.A.7.9.1
Q5ZS31	3.A.7.9.1
Q5ZS32	3.A.7.9.1
Q5ZS43	3.A.7.9.1
Q5ZS44	3.A.7.9.1
Q5ZS45	3.A.7.9.1
Q5ZU34	1.B.57.1.1
Q5ZUB4	2.A.1.53.2
Q5ZUC9	3.A.15.3.1
Q5ZUD0	3.A.15.3.1
Q5ZW42	3.A.7.5.1
Q5ZX38	3.A.15.3.1
Q5ZY33	2.A.1.53.1
Q5ZYB4	3.A.7.9.1
Q5ZYB5	3.A.7.9.1
Q5ZYB6	3.A.7.9.1
Q5ZYB7	3.A.7.9.1
Q5ZYB8	3.A.7.9.1
Q5ZYB9	3.A.7.9.1
Q5ZYC0	3.A.7.9.1
Q5ZYC1	3.A.7.9.1
Q5ZYC2	3.A.7.9.1
Q5ZYC3	3.A.7.9.1
Q5ZYC4	3.A.7.9.1
Q5ZYC5	3.A.7.9.1
Q5ZYC6	3.A.7.9.1
Q5ZYC7	3.A.7.9.1
Q5ZYC8	3.A.7.9.1
Q5ZYC9	3.A.7.9.1
Q5ZYD0	3.A.7.9.1
Q5ZYD1	3.A.7.9.1
Q5ZYY0	3.A.3.5.36
Q60019	3.D.1.3.1
Q60048	3.A.3.6.8
Q60148	3.A.15.2.1
Q60183	3.A.2.3.1
Q60184	3.A.2.3.1
Q60185	3.A.2.3.1
Q60186	3.A.2.3.1
Q60187	3.A.2.3.1
Q60188	3.A.2.3.1
Q60189	3.A.2.3.1
Q60248	3.A.1.120.4
Q60441	2.A.43.3.1
Q606U9	3.A.3.31.2
Q606V3	3.A.3.31.1
Q60931	1.B.8.1.2
Q60961	2.A.74.1.1
Q61168	2.A.74.1.2
Q61290	1.A.1.11.3
Q61420	2.A.7.12.1
Q61625	1.A.10.1.8
Q61835	1.A.27.1.2
Q61903	1.C.33.1.7
Q61983	2.A.1.14.6
Q62398	1.A.1.5.4
Q62420	8.A.34.1.1
Q62634	2.A.1.14.13
Q62644	1.A.10.1.6
Q62668	1.A.28.1.1
Q62674	2.A.41.2.2
Q62720	2.A.4.2.3
Q62773	2.A.41.2.1
Q62941	2.A.4.3.1
Q62962	1.A.6.1.2
Q62968	1.A.1.10.6
Q62976	1.A.1.3.2
Q63016	2.A.3.8.1
Q63089	2.A.1.19.1
Q63113	1.A.27.1.4
Q63472	1.A.1.20.4
Q63632	2.A.30.1.13
Q63633	2.A.30.1.14
Q63CS3	1.C.41.1.3
Q63CS4	1.C.41.1.3
Q64093	2.A.22.6.1
Q64304	8.A.9.2.1
Q643C2	9.B.97.3.1
Q64L87	2.A.1.1.40
Q658P3	5.B.6.1.1
Q65DD1	3.A.1.131.2
Q65DD3	3.A.1.131.2
Q65GF3	3.D.10.1.1
Q65GF4	3.D.10.1.1
Q65GF5	3.D.10.1.1
Q65NC0	2.A.47.1.13
Q65ZW3	2.A.66.4.2
Q66S17	1.C.4.6.1
Q67392	1.A.39.1.1
Q676G9	2.A.66.5.1
Q67GM1	2.A.6.2.4
Q67WJ8	1.A.8.12.5
Q68KI4	2.A.36.5.1
Q68X47	2.A.88.1.2
Q695T7	2.A.22.6.3
Q6BCL0	3.A.10.2.2
Q6BYD8	2.A.38.2.4
Q6D017	2.A.47.3.4
Q6D188	2.A.2.5.2
Q6D4T8	1.B.35.1.2
Q6E3K9	9.B.86.1.1
Q6E5A5	2.A.29.11.3
Q6E7E8	3.A.1.103.2
Q6E7E9	3.A.1.103.2
Q6EE14	3.A.23.2.1
Q6EE15	3.A.23.2.1
Q6EE16	3.A.23.2.1
Q6EE17	3.A.23.2.1
Q6EE18	3.A.23.2.1
Q6EE19	3.A.23.2.1
Q6EE20	3.A.23.2.1
Q6EE21	3.A.23.2.1
Q6EMC0	5.B.1.4.3
Q6FDI3	1.B.25.1.6
Q6G2D1	1.B.12.12.1
Q6GHV7	9.A.39.1.1
Q6GW09	2.A.6.2.31
Q6GYA4	3.A.16.1.1
Q6H1V1	1.A.46.1.4
Q6IT47	2.A.18.4.2
Q6J0P5	3.A.1.208.14
Q6J4K2	2.A.19.4.4
Q6JQN0	1.A.4.2.12
Q6KCM7	2.A.29.23.1
Q6KYW8	3.A.1.138.1
Q6KYW9	3.A.1.138.1
Q6L5X8	1.C.78.1.3
Q6L8F3	2.A.5.4.2
Q6LX42	2.A.25.1.3
Q6LYZ4	2.A.1.54.1
Q6LZF0	2.A.35.2.1
Q6M0K5	2.A.7.21.3
Q6MBI2	2.A.12.1.9
Q6MDZ0	2.A.12.1.18
Q6MEM5	2.A.12.1.6
Q6MEN4	2.A.12.1.7
Q6MEN5	2.A.12.1.8
Q6MFL8	3.D.1.6.2
Q6MK07	3.A.3.27.6
Q6MPD9	3.A.3.30.1
Q6NE63	2.A.1.43.1
Q6NE74	9.B.89.1.1
Q6NE75	9.B.95.1.1
Q6NJJ6	3.A.3.5.35
Q6NXT4	2.A.4.4.4
Q6P499	2.A.7.25.3
Q6P5W5	2.A.5.4.1
Q6PML9	2.A.4.6.1
Q6PXP3	2.A.1.1.37
Q6Q1Q6	1.A.8.9.3
Q6Q2Z6	4.C.3.1.1
Q6QAY4	3.D.1.6.4
Q6QIV4	3.D.1.6.4
Q6QIV8	3.D.1.6.4
Q6QIW0	3.D.1.6.4
Q6R3K9	2.A.67.2.3
Q6R3L0	2.A.67.2.2
Q6RH51	2.A.98.1.1
Q6RH59	2.A.98.1.2
Q6S9Z3	2.A.7.19.1
Q6T3V6	2.A.38.1.2
Q6T3V7	2.A.38.1.3
Q6TH88	3.D.1.6.4
Q6TMY8	1.A.1.14.4
Q6U8D0	1.A.1.14.3
Q6UKY3	3.D.1.6.4
Q6UKY4	3.D.1.6.4
Q6UKY6	3.D.1.6.4
Q6UKY7	3.D.1.6.4
Q6UKY8	3.D.1.6.4
Q6UKY9	3.D.1.6.4
Q6UP28	3.D.1.6.4
Q6UP29	3.D.1.6.4
Q6UP30	3.D.1.6.4
Q6UP31	3.D.1.6.4
Q6UP32	3.D.1.6.4
Q6USC4	1.C.71.2.1
Q6V502	3.D.1.6.4
Q6V504	3.D.1.6.4
Q6V505	3.D.1.6.4
Q6V506	3.D.1.6.4
Q6V507	3.D.1.6.4
Q6V5B3	2.A.66.3.3
Q6V6X7	2.A.6.2.18
Q6V6X8	2.A.6.2.18
Q6V6X9	2.A.6.2.18
Q6V9A8	3.D.1.6.4
Q6V9A9	3.D.1.6.4
Q6V9B0	3.D.1.6.4
Q6V9B1	3.D.1.6.4
Q6V9B2	3.D.1.6.4
Q6V9B3	3.D.1.6.4
Q6VBQ2	1.B.40.2.2
Q6VS78	2.A.22.2.8
Q6VV64	1.A.1.18.1
Q6VV67	2.A.6.2.23
Q6VV68	2.A.6.2.23
Q6VV69	2.A.6.2.23
Q6VXY9	3.A.3.8.3
Q6WGI9	8.B.2.2.1
Q6WRW3	1.C.1.1.4
Q6WRX0	1.C.1.1.3
Q6X308	1.A.1.7.2
Q6X893	2.A.92.1.1
Q6XBY3	1.B.11.6.1
Q6YFQ2	3.D.4.11.1
Q6YQR5	2.A.88.7.1
Q6YWJ7	5.B.4.1.1
Q6Z2T3	1.A.8.12.2
Q6ZQN7	2.A.60.1.11
Q6ZXT4	1.A.8.9.4
Q708J7	2.A.39.2.3
Q708K1	1.E.11.1.3
Q708S3	1.A.6.1.7
Q708S4	1.A.6.1.6
Q70EX6	2.A.28.1.3
Q70J75	3.A.1.105.3
Q70J76	3.A.1.105.3
Q70Q12	3.A.3.1.6
Q70S43	2.A.49.2.7
Q70WR7	2.A.1.2.23
Q71RS6	2.A.19.4.6
Q71WA4	4.A.5.1.2
Q71WA5	4.A.5.1.2
Q71WA6	4.A.5.1.2
Q72EC7	9.B.156.2.1
Q72H66	3.A.1.1.25
Q72H67	3.A.1.1.25
Q72H68	3.A.1.1.25
Q72KX2	3.A.1.1.24
Q72KX3	3.A.1.1.24
Q72KX4	3.A.1.1.24
Q72L52	3.A.1.1.24
Q72N56	3.A.3.5.23
Q72RN5	3.A.3.4.2
Q73GS7	9.A.4.3.1
Q73MJ0	3.A.1.136.1
Q73MJ2	3.A.1.122.8
Q73MJ3	3.A.1.122.8
Q73MJ4	3.A.1.122.8
Q73QH0	3.A.3.32.5
Q746S3	3.D.1.5.1
Q746S9	3.D.1.5.1
Q746T2	3.D.1.5.1
Q746T4	3.D.1.5.1
Q746T5	3.D.1.5.1
Q746T7	3.D.1.5.1
Q746T8	3.D.1.5.1
Q746T9	3.D.1.5.1
Q74GA3	3.D.1.5.1
Q74GA4	3.D.1.5.1
Q74GA5	3.D.1.5.1
Q74GA6	3.D.1.5.1
