Year,Kingdom,Phylum,Class,Species,Tcode,KEGGId,RefSeq
2012,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis variant bovis BCG Mexico,T01727,mbm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/234/725/GCA_000234725.1_ASM23472v1
2003,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis variant bovis AF2122/97,T00132,mbo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/835/GCF_000195835.2_ASM19583v2
2009,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis variant bovis BCG Tokyo 172,T00864,mbt,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/685/GCA_000010685.1_ASM1068v1
2015,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis variant bovis BCG ATCC 35743,T03796,mbx,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/075/GCA_000194075.3_ASM19407v3
2011,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium canettii CIPT 140010059,T01585,mce,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/375/GCA_000253375.1_ASM25337v1
2017,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium chimaera,T04926,mchi,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/750/065/GCA_001750065.2_ASM175006v2
2013,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium canettii CIPT 140060008,T02419,mcq,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/805/GCA_000328805.1_ASM32880v1
2013,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium canettii CIPT 140070008,T02420,mcv,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/845/GCA_000328845.1_ASM32884v1
2013,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium canettii CIPT 140070010,T02421,mcx,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/785/GCA_000328785.1_ASM32878v1
2013,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium canettii CIPT 140070017,T02422,mcz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/825/GCA_000328825.1_ASM32882v1
2017,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium dioxanotrophicus,T05102,mdx,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/157/835/GCA_002157835.1_ASM215783v1
2016,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium haemophilum,T04111,mhad,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/435/GCA_000340435.3_ASM34043v3
2012,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium intracellulare ATCC 13950,T02158,mia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/125/GCA_000277125.1_ASM27712v1
2012,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium intracellulare subsp. intracellulare,T02325,mid,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/298/095/GCA_000298095.1_ASM29809v1
2012,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium paraintracellulare,T01755,mir,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/276/825/GCA_000276825.1_ASM27682v1
2012,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium intracellulare MOTT-02,T01754,mit,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/145/GCA_000277145.1_ASM27714v1
2007,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium sp. JLS,T00482,mjl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/005/GCA_000016005.1_ASM1600v1
2006,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium sp. KMS,T00442,mkm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/405/GCA_000015405.1_ASM1540v1
2013,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium kansasii ATCC 12478,T02887,mkn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/157/895/GCA_000157895.2_ASM15789v2
2009,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium leprae Br4923,T00842,mlb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/685/GCA_000026685.1_ASM2668v1
2001,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium leprae TN,T00047,mle,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/855/GCF_000195855.1_ASM19585v1
2013,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium liflandii,T02444,mli,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/445/GCA_000026445.2_ASM2644v2
2018,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium lepraemurium,T05534,mlp,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/291/465/GCA_002291465.1_ASM229146v1
2017,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium marinum E11,T04774,mmae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/723/425/GCA_000723425.2_E11
2017,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium marseillense,T05049,mmal,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/285/715/GCA_002285715.1_ASM228571v1
2006,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium sp. MCS,T00367,mmc,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/165/GCA_000014165.1_ASM1416v1
2008,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium marinum M,T00694,mmi,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/345/GCA_000018345.1_ASM1834v1
2016,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis variant microti,T04291,mmic,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/544/815/GCA_001544815.1_ASM154481v1
2012,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium sp. MOTT36Y,T02113,mmm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/262/165/GCA_000262165.1_ASM26216v1
2004,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium avium subsp. paratuberculosis K-10,T00156,mpa,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/865/GCA_000007865.1_ASM786v1
2007,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis H37Ra,T00540,mra,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/145/GCA_000016145.1_ASM1614v1
2013,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium sp. JS623,T02423,msa,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/565/GCA_000328565.1_ASM32856v1
2018,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium shigaense,T05717,mshg,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/356/315/GCA_002356315.1_ASM235631v1
2009,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis KZN 1435,T00940,mtb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/625/GCA_000023625.1_ASM2362v1
2001,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis CDC1551,T00053,mtc,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/585/GCA_000008585.1_ASM858v1
2012,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis UT205,T02142,mtd,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/555/GCA_000304555.1_Mt_UT205
2012,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis CCDC5079,T01991,mte,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/345/GCA_000270345.1_ASM27034v1
2007,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis F11,T00545,mtf,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/925/GCA_000016925.1_ASM1692v1
2012,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis RGTB327,T01775,mtg,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/085/GCA_000277085.1_ASM27708v1
2012,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis RGTB423,T01994,mti,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/105/GCA_000277105.1_ASM27710v1
2013,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis Beijing/NITR203,T02616,mtj,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/364/825/GCA_000364825.1_ASM36482v1
2012,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis KZN 4207,T01690,mtk,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/585/GCA_000154585.2_ASM15458v2
2012,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis CCDC5180,T01992,mtl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/365/GCA_000270365.1_ASM27036v1
2013,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis Erdman = ATCC 35801,T02526,mtn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/350/205/GCA_000350205.1_ASM35020v1
2012,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis CTRI-2,T01993,mto,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/435/GCA_000224435.1_ASM22443v1
2014,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis HKBS1,T03154,mtq,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/125/GCA_000572125.1_ASM57212v1
1998,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis H37Rv,T00015,mtu,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/955/GCF_000195955.2_ASM19595v2
2013,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis 7199-99,T02617,mtub,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/445/GCA_000331445.1_ASM33144v1
2013,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis CAS/NITR204,T02652,mtuc,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/389/925/GCA_000389925.1_ASM38992v1
2013,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis EAI5/NITR206,T02653,mtue,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/389/945/GCA_000389945.1_ASM38994v1
2013,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis Haarlem/NITR202,T02654,mtuh,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/389/905/GCA_000389905.1_ASM38990v1
2013,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis Haarlem,T02845,mtul,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/685/GCA_000153685.2_ASM15368v2
2013,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis CCDC5079,T02679,mtur,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/400/615/GCA_000400615.1_ASM40061v1
2014,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis BT1,T03152,mtut,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/175/GCA_000572175.1_ASM57217v1
2014,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis BT2,T03153,mtuu,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/155/GCA_000572155.1_ASM57215v1
2012,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis H37Rv,T02178,mtv,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/735/GCA_000277735.2_ASM27773v2
2013,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis EAI5,T02749,mtx,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/422/125/GCA_000422125.1_ASM42212v1
2012,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium tuberculosis KZN 605,T02141,mtz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/605/GCA_000154605.2_ASM15460v2
2006,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium ulcerans,T00435,mul,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/925/GCA_000013925.2_ASM1392v2
2015,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium sp. EPa45,T03960,mye,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/021/385/GCA_001021385.1_ASM102138v1
2017,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium sp. NRRL B-3805,T05013,myn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/580/405/GCA_001580405.1_ASM158040v1
2013,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium intracellulare subsp. yongonense,T02732,myo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/418/535/GCA_000418535.2_ASM41853v2
2015,Bacteria,Actinobacteria,Mycobacterium,Mycobacterium sp. VKM Ac-1817D,T03634,myv,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/416/365/GCA_000416365.2_ASM41636v2
2008,Bacteria,Actinobacteria,Mycobacteroides,Mycobacteroides abscessus ATCC 19977,T00657,mab,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/069/185/GCF_000069185.1_ASM6918v1
2013,Bacteria,Actinobacteria,Mycobacteroides,Mycobacteroides abscessus subsp. bolletii 50594,T02682,mabb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/445/035/GCA_000445035.1_ASM44503v1
2015,Bacteria,Actinobacteria,Mycobacteroides,Mycobacteroides abscessus subsp. massiliense CCUG 48898 = JCM 15300,T03694,mabl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/497/265/GCA_000497265.2_ASM49726v2
2017,Bacteria,Actinobacteria,Mycobacteroides,Mycobacteroides chelonae,T04665,mche,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/805/GCA_001632805.1_ASM163280v1
2017,Bacteria,Actinobacteria,Mycobacteroides,Mycobacteroides immunogenum,T04755,miz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/135/GCA_001677135.1_ASM167713v1
2012,Bacteria,Actinobacteria,Mycobacteroides,Mycobacteroides abscessus subsp. massiliense GO 06,T02177,mmv,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/775/GCA_000277775.2_ASM27777v2
2019,Bacteria,Actinobacteria,Mycobacteroides,Mycobacteroides salmoniphilum,T06041,msal,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/924/335/GCA_004924335.1_ASM492433v1
2018,Bacteria,Actinobacteria,Mycobacteroides,Mycobacteroides saopaulense,T05445,msao,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/456/355/GCA_001456355.1_ASM145635v1
2018,Bacteria,Actinobacteria,Mycobacteroides,Mycobacterium stephanolepidis,T05257,mste,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/356/335/GCA_002356335.1_ASM235633v1
2011,Bacteria,Actinobacteria,Mycolicibacter,Mycolicibacter sinensis,T01512,mjd,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/155/GCA_000214155.1_ASM21415v1
2018,Bacteria,Actinobacteria,Mycolicibacter,Mycolicibacter terrae,T05465,mter,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/145/GCA_900187145.1_50818_H01
2012,Bacteria,Actinobacteria,Mycolicibacterium,Mycolicibacterium chubuense,T02150,mcb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/266/905/GCA_000266905.1_ASM26690v1
2016,Bacteria,Actinobacteria,Mycolicibacterium,Mycolicibacterium fortuitum,T04105,mft,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/545/GCA_001307545.1_ASM130754v1
2007,Bacteria,Actinobacteria,Mycolicibacterium,Mycolicibacterium gilvum PYR-GCK,T00498,mgi,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/365/GCA_000016365.1_ASM1636v1
2015,Bacteria,Actinobacteria,Mycolicibacterium,Mycolicibacterium goodii,T04008,mgo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/187/505/GCA_001187505.1_ASM118750v1
2018,Bacteria,Actinobacteria,Mycolicibacterium,Mycolicibacterium hassiacum,T05715,mhas,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/603/025/GCA_900603025.1_MHAS
2017,Bacteria,Actinobacteria,Mycolicibacterium,Mycolicibacterium litorale,T05032,mll,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/007/745/GCA_002007745.1_ASM200774v1
2013,Bacteria,Actinobacteria,Mycolicibacterium,Mycolicibacterium neoaurum,T02959,mne,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/305/GCA_000317305.3_ASM31730v3
2016,Bacteria,Actinobacteria,Mycolicibacterium,Mycolicibacterium phlei,T04305,mphl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/583/415/GCA_001583415.1_ASM158341v1
2012,Bacteria,Actinobacteria,Mycolicibacterium,Mycolicibacterium rhodesiae,T01685,mrh,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/895/GCA_000230895.3_ASM23089v3
2014,Bacteria,Actinobacteria,Mycolicibacterium,Mycolicibacterium smegmatis MC2 155,T03433,msb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/605/GCA_000767605.1_ASM76760v1
2012,Bacteria,Actinobacteria,Mycolicibacterium,Mycolicibacterium smegmatis MC2 155,T02191,msg,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/295/GCA_000283295.1_ASM28329v1
2014,Bacteria,Actinobacteria,Mycolicibacterium,Mycolicibacterium smegmatis INHR2,T03432,msh,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/705/GCA_000767705.1_ASM76770v1
2006,Bacteria,Actinobacteria,Mycolicibacterium,Mycolicibacterium smegmatis MC2 155,T00434,msm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/005/GCF_000015005.1_ASM1500v1
2014,Bacteria,Actinobacteria,Mycolicibacterium,Mycolicibacterium smegmatis INHR1,T03409,msn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/665/GCA_000767665.1_ASM76766v1
2010,Bacteria,Actinobacteria,Mycolicibacterium,Mycolicibacterium gilvum Spyr1,T01376,msp,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/435/GCA_000184435.1_ASM18443v1
2018,Bacteria,Actinobacteria,Mycolicibacterium,Mycolicibacterium thermoresistibile,T05542,mthn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/065/GCA_900187065.1_50465_H02
2006,Bacteria,Actinobacteria,Mycolicibacterium,Mycolicibacterium vanbaalenii,T00449,mva,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/305/GCA_000015305.1_ASM1530v1
2016,Bacteria,Actinobacteria,Mycolicibacterium,Mycolicibacterium vaccae,T04356,mvq,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/655/245/GCA_001655245.1_ASM165524v1
2018,Bacteria,Actinobacteria,Nakamurella,Nakamurella sp. s14-144,T05729,nak,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/860/405/GCA_003860405.1_ASM386040v1
2009,Bacteria,Actinobacteria,Nakamurella,Nakamurella multipartita,T00991,nml,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/365/GCA_000024365.1_ASM2436v1
2017,Bacteria,Actinobacteria,Nanopelagicus,Candidatus Nanopelagicus limnes,T05073,abam,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/287/885/GCA_002287885.2_ASM228788v2
2017,Bacteria,Actinobacteria,Nanopelagicus,Candidatus Nanopelagicus abundans,T05091,nab,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/288/305/GCA_002288305.1_ASM228830v1
2017,Bacteria,Actinobacteria,Nanopelagicus,Candidatus Nanopelagicus hibericus,T05090,nhi,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/288/005/GCA_002288005.1_ASM228800v1
2016,Bacteria,Actinobacteria,Neomicrococcus,Neomicrococcus aestuarii,T04559,nae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/887/245/GCA_001887245.1_ASM188724v1
2012,Bacteria,Actinobacteria,Nocardia,Nocardia brasiliensis,T02270,nbr,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/250/675/GCA_000250675.3_ASM25067v3
2012,Bacteria,Actinobacteria,Nocardia,Nocardia cyriacigeorgica,T01756,ncy,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/035/GCA_000284035.1_ASM28403v1
2004,Bacteria,Actinobacteria,Nocardia,Nocardia farcinica IFM 10152,T00207,nfa,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/805/GCA_000009805.1_ASM980v1
2016,Bacteria,Actinobacteria,Nocardia,Nocardia farcinica NCTC11134,T04524,nfr,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/182/745/GCA_001182745.2_NCTC11134
2014,Bacteria,Actinobacteria,Nocardia,Nocardia nova,T03032,nno,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/523/235/GCA_000523235.1_ASM52323v1
2019,Bacteria,Actinobacteria,Nocardia,Nocardia otitidiscaviarum,T06114,nod,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/362/295/GCA_007362295.1_ASM736229v1
2019,Bacteria,Actinobacteria,Nocardia,Nocardia sp. CS682,T06040,noz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/634/405/GCA_004634405.1_ASM463440v1
2017,Bacteria,Actinobacteria,Nocardia,Nocardia sp. Y48,T04582,nsl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/886/715/GCA_001886715.1_ASM188671v1
2017,Bacteria,Actinobacteria,Nocardia,Nocardia seriolae,T04599,nsr,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/855/GCA_001865855.1_ASM186585v1
2017,Bacteria,Actinobacteria,Nocardia,Nocardia terpenica,T05168,ntp,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/568/625/GCA_002568625.1_ASM256862v1
2006,Bacteria,Actinobacteria,Nocardioides,Nocardioides sp. JS614,T00443,nca,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/265/GCA_000015265.1_ASM1526v1
2016,Bacteria,Actinobacteria,Nocardioides,Nocardioides dokdonensis,T04431,ndk,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/653/335/GCA_001653335.1_ASM165333v1
2019,Bacteria,Actinobacteria,Nocardioides,Nocardioides sp. MMS17-SY117,T05931,noy,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/564/375/GCA_004564375.1_ASM456437v1
2012,Bacteria,Actinobacteria,Nocardiopsis,Nocardiopsis alba,T02218,nal,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/294/515/GCA_000294515.1_ASM29451v1
2010,Bacteria,Actinobacteria,Nocardiopsis,Nocardiopsis dassonvillei,T01248,nda,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/985/GCA_000092985.1_ASM9298v1
2017,Bacteria,Actinobacteria,Nocardiopsis,Nocardiopsis gilva,T05022,ngv,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/263/495/GCA_002263495.1_ASM226349v1
2017,Bacteria,Actinobacteria,Nonomuraea,Nonomuraea sp. ATCC 55076,T04759,noa,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/057/455/GCA_002057455.1_ASM205745v1
2019,Bacteria,Actinobacteria,Oerskovia,Oerskovia sp. KBS0722,T06124,oek,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/937/995/GCA_005937995.2_ASM593799v2
2015,Bacteria,Actinobacteria,Olsenella,Olsenella sp. oral taxon 807,T04016,olo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/189/515/GCA_001189515.2_ASM118951v2
2010,Bacteria,Actinobacteria,Olsenella,Olsenella uli,T01285,ols,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/845/GCA_000143845.1_ASM14384v1
2018,Bacteria,Actinobacteria,Ornithinimicrobium,Ornithinimicrobium sp. AMA3305,T05559,orn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/351/765/GCA_003351765.1_ASM335176v1
2019,Bacteria,Actinobacteria,Ornithinimicrobium,Ornithinimicrobium sp. H23M54,T06094,orz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/197/575/GCA_007197575.1_ASM719757v1
2006,Bacteria,Actinobacteria,Paenarthrobacter,Paenarthrobacter aurescens,T00447,aau,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/925/GCA_000014925.1_ASM1492v1
2015,Bacteria,Actinobacteria,Parascardovia,Parascardovia denticolens,T03978,pdo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/042/675/GCA_001042675.1_ASM104267v1
2019,Bacteria,Actinobacteria,Parolsenella,Parolsenella catena,T05797,pcat,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/966/955/GCA_003966955.1_ASM396695v1
2015,Bacteria,Actinobacteria,Pimelobacter,Pimelobacter simplex,T03528,psim,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/785/495/GCA_000785495.1_ASM78549v1
2017,Bacteria,Actinobacteria,Planktophila,Candidatus Planktophila dulcis,T05051,plak,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/287/965/GCA_002287965.1_ASM228796v1
2017,Bacteria,Actinobacteria,Planktophila,Candidatus Planktophila lacus,T05050,plan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/287/925/GCA_002287925.1_ASM228792v1
2017,Bacteria,Actinobacteria,Planktophila,Candidatus Planktophila limnetica,T05067,plim,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/288/365/GCA_002288365.1_ASM228836v1
2017,Bacteria,Actinobacteria,Planktophila,Candidatus Planktophila sulfonica,T05158,psuf,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/288/065/GCA_002288065.1_ASM228806v1
2018,Bacteria,Actinobacteria,Planktophila,Candidatus Planktophila vernalis,T05319,pvn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/288/185/GCA_002288185.1_ASM228818v1
2018,Bacteria,Actinobacteria,Planktophila,Candidatus Planktophila versatilis,T05250,pvs,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/288/105/GCA_002288105.1_ASM228810v1
2018,Bacteria,Actinobacteria,Plantactinospora,Plantactinospora sp. BC1,T05377,plab,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/030/345/GCA_003030345.1_ASM303034v1
