KEGG_Entry,Definition,KO,Length,Sw-Score,Margin,bits,identity,overlap,best(all)
sxi:SXIM_34970,"winged helix family two component transc",,225,300,46,74,0.400,120,"-> 34"
aay:WYH_02077,"Transcriptional regulatory protein OmpR",,240,299,32,74,0.400,120,"-> 15"
aoi:AORI_3534,"response regulator receiver protein",,244,299,29,74,0.400,120,"-> 51"
chy:CHY_2047,"DNA-binding response regulator",K07658,231,299,26,74,0.367,120,"-> 12"
cid:P73_2559,"phosphate regulon transcriptional regulato",K07657,229,299,48,74,0.347,118,"-> 25"
csa:Csal_3253,"two component transcriptional regulator",K07657,229,299,39,74,0.387,119,"-> 24"
dhd:Dhaf_2918,"transcriptional regulator",,232,299,5,74,0.414,116,"-> 49"
dpr:Despr_0723,"adenylate/guanylate cyclase",,357,299,27,74,0.386,114,"-> 60"
dsy:DSY1766,"hypothetical protein",,232,299,18,74,0.414,116,"-> 52"
gps:C427_1019,"two component transcriptional regulator",K07657,229,299,45,74,0.364,118,"-> 33"
mca:MCA3105,"DNA-binding response regulator PhoB",K07657,232,299,52,74,0.403,119,"-> 20"
mmw:Mmwyl1_4400,"two component transcriptional regulator",K07657,236,299,35,74,0.392,120,"-> 51"
pfr:PFREUD_18780,"Response regulator receiver",K07776,225,299,72,74,0.383,120,"-> 8"
pfre:RM25_1786,"Sensory transduction protein RegX3",K07776,218,299,69,74,0.383,120,"-> 10"
pft:JBW_03972,"two component transcriptional regulator,",K07658,231,299,27,74,0.361,122,"-> 40"
sgr:SGR_2635,"putative two-component system response reg",,225,299,5,74,0.400,120,"-> 55"
shl:Shal_3059,"two component transcriptional regulator,",K07657,229,299,13,74,0.370,119,"-> 34"
ssx:SACTE_2069,"response regulator receiver modulated se",,570,299,3,74,0.379,124,"-> 50"
strp:F750_4452,"putative two-component system response r",,225,299,13,74,0.400,120,"-> 48"
tki:TKV_c15300,"alkaline phosphatase synthesis transcrip",K07658,230,299,10,74,0.413,121,"-> 13"
txy:Thexy_2336,"two component transcriptional regulator,",K07668,231,299,3,74,0.383,120,"-> 17"
aja:AJAP_21465,"Transcriptional regulatory protein",,244,298,28,74,0.400,120,"-> 56"
alu:BB31_04270,"transcriptional regulator",,230,298,29,74,0.400,120,"-> 53"
amd:AMED_3766,"two-component system response regulator",,224,298,27,74,0.400,120,"-> 68"
amm:AMES_3721,"two-component system response regulator",,224,298,27,74,0.400,120,"-> 68"
amn:RAM_19175,"two-component system response regulator",,224,298,27,74,0.400,120,"-> 67"
amz:B737_3721,"two-component system response regulator",,224,298,27,74,0.400,120,"-> 66"
asg:FB03_05085,"XRE family transcriptional regulator",K07776,229,298,31,74,0.383,120,"-> 9"
cfi:Celf_0590,"two component transcriptional regulator,",K07776,238,298,26,74,0.383,120,"-> 25"
mph:MLP_25170,"two-component system response regulator",,230,298,25,74,0.377,122,"-> 34"
pfq:QQ39_08935,"transcriptional regulator PhoB",K07657,229,298,46,74,0.367,120,"-> 20"
sbh:SBI_02944,"putative two-component system response re",,226,298,5,74,0.392,120,"-> 78"
scy:SCATT_47400,"two-component system response regulator",,232,298,1,74,0.419,117,"-> 51"
vfi:VF_1988,"DNA-binding response regulator in two-compo",K07657,230,298,30,74,0.390,118,"-> 31"
vfm:VFMJ11_2125,"phosphate regulon transcriptional regul",K07657,230,298,30,74,0.390,118,"-> 31"
vsa:VSAL_I2457,"response regulator homolog PhoB (phospha",K07657,230,298,22,74,0.390,118,"-> 30"
abq:ABAZ39_19490,"response regulator PleD",K02488,465,297,1,74,0.370,119,"-> 91"
alt:ambt_14930,"putative DNA-binding response regulator",K07657,229,297,38,74,0.388,121,"-> 46"
dmi:Desmer_4273,"response regulator with CheY-like recei",,228,297,2,74,0.398,118,"-> 53"
mpc:Mar181_3481,"two component transcriptional regulator",K07657,231,297,31,74,0.383,120,"-> 39"
paa:Paes_0769,"two component transcriptional regulator,",,236,297,19,74,0.378,119,"-> 7"
panp:PSNIH2_12890,"transcriptional regulator PhoB",K07657,229,297,48,74,0.381,118,"-> 25"
ppr:PBPRA0721,"DNA-binding response regulator PhoB",K07657,229,297,24,74,0.390,118,"-> 45"
req:REQ_45220,"two component system response regulator",,230,297,52,74,0.400,120,"-> 17"
saz:Sama_1074,"two component transcriptional regulator,",K07657,229,297,35,74,0.378,119,"-> 38"
sho:SHJGH_5783,"two-component system response regulator",,225,297,14,74,0.392,120,"-> 47"
syr:SynRCC307_2261,"two-component system response regula",,244,297,35,74,0.364,118,"-> 9"
tbe:Trebr_0168,"two component transcriptional regulator,",,248,297,38,74,0.373,118,"-> 15"
tbi:Tbis_0479,"response regulator receiver modulated ser",,529,297,13,74,0.358,120,"-> 16"
tto:Thethe_01764,"response regulator with CheY-like rece",K07658,235,297,3,74,0.402,117,"-> 17"
tye:THEYE_A0393,"CheY subfamily protein",K02658,121,297,40,74,0.358,120,"-> 26"
abs:AZOBR_10241,"response regulator in two-component reg",K07657,234,296,2,73,0.368,117,"-> 92"
amaa:amad1_03555,"putative DNA-binding response regulato",K07657,229,296,25,73,0.380,121,"-> 38"
amad:I636_03545,"DNA-binding response regulator PhoB",K07657,229,296,25,73,0.380,121,"-> 37"
amae:I876_03650,"DNA-binding response regulator PhoB",K07657,229,296,23,73,0.380,121,"-> 40"
amag:I533_03420,"DNA-binding response regulator PhoB",K07657,229,296,23,73,0.380,121,"-> 36"
amai:I635_03520,"DNA-binding response regulator PhoB",K07657,229,296,25,73,0.380,121,"-> 38"
amal:I607_03440,"DNA-binding response regulator PhoB",K07657,229,296,23,73,0.380,121,"-> 40"
amao:I634_03800,"DNA-binding response regulator PhoB",K07657,229,296,23,73,0.380,121,"-> 40"
amc:MADE_1003850,"chemotaxis protein CheY",K07657,229,296,23,73,0.380,121,"-> 39"
amh:I633_03595,"DNA-binding response regulator PhoB",K07657,229,296,23,73,0.380,121,"-> 27"
awd:AWOD_I_2101,"response regulator homolog PhoB",K07657,230,296,25,73,0.390,118,"-> 34"
cem:LH23_10050,"transcriptional regulator PhoB",K07657,229,296,26,73,0.390,118,"-> 30"
cen:LH86_10110,"transcriptional regulator PhoB",K07657,229,296,25,73,0.390,118,"-> 27"
cfd:CFNIH1_12050,"transcriptional regulator PhoB",K07657,229,296,44,73,0.390,118,"-> 29"
cgd:CR3_1753,"DNA-binding response regulator in two-comp",K07657,235,296,52,73,0.393,117,"-> 34"
clj:CLJU_c12370,"predicted transcriptional regulator",K07658,231,296,29,73,0.347,118,"-> 49"
cnt:JT31_07650,"transcriptional regulator PhoB",K07657,229,296,25,73,0.390,118,"-> 29"
cyu:UCYN_05690,"winged helix family two component transc",K10697,246,296,35,73,0.383,120,"-> 4"
dge:Dgeo_2844,"two component transcriptional regulator",,248,296,17,73,0.375,120,"-> 28"
efa:EF1703,"alkaline phosphatase synthesis transcription",K07658,236,296,23,73,0.369,122,"-> 11"
efd:EFD32_1437,"two-component response regulator protein",K07658,236,296,23,73,0.369,122,"-> 11"
efi:OG1RF_11414,"response regulator",K07658,236,296,23,73,0.369,122,"-> 10"
efl:EF62_2079,"two-component response regulator protein,",K07658,236,296,23,73,0.369,122,"-> 10"
etd:ETAF_1007,"Phosphate regulon transcriptional regulat",K07657,229,296,47,73,0.390,118,"-> 28"
etr:ETAE_1080,"phosphate regulon transcriptional regulat",K07657,229,296,47,73,0.390,118,"-> 28"
kmi:VW41_04645,"transcriptional regulator PhoB",K07657,229,296,27,73,0.390,118,"-> 30"
pla:Plav_0399,"two component transcriptional regulator,",K07657,272,296,19,73,0.359,117,"-> 27"
pzu:PHZ_c0507,"phosphate regulon response regulator PhoB",K07657,230,296,33,73,0.356,118,"-> 46"
sci:B446_23020,"two-component system response regulator",,225,296,26,73,0.383,120,"-> 43"
sfa:Sfla_2350,"two component transcriptional regulator,",,228,296,10,73,0.402,117,"-> 45"
sfi:SFUL_4708,"Two component transcriptional regulator,",,228,296,6,73,0.402,117,"-> 49"
tat:KUM_1390,"phosphate regulon transcriptional regulato",K07657,233,296,37,73,0.415,118,"-> 5"
aal:EP13_03500,"transcriptional regulator PhoB",K07657,229,295,40,73,0.388,121,"-> 35"
aaus:EP12_03610,"transcriptional regulator PhoB",K07657,229,295,40,73,0.388,121,"-> 32"
amac:MASE_03025,"putative DNA-binding response regulator",K07657,229,295,37,73,0.380,121,"-> 47"
amb:AMBAS45_03275,"putative DNA-binding response regulat",K07657,229,295,37,73,0.380,121,"-> 44"
amed:B224_3961,"phosphate regulon transcriptional regula",K07657,229,295,27,73,0.364,118,"-> 34"
amg:AMEC673_03240,"putative DNA-binding response regulat",K07657,229,295,37,73,0.380,121,"-> 47"
amk:AMBLS11_03205,"putative DNA-binding response regulat",K07657,229,295,33,73,0.380,121,"-> 45"
apb:SAR116_1201,"winged helix family two component trans",K07657,235,295,48,73,0.372,121,"-> 9"
bprc:D521_0792,"two component transcriptional regulator",K07657,237,295,102,73,0.364,118,"-> 6"
cama:F384_01655,"transcriptional regulator PhoB",K07657,229,295,37,73,0.381,118,"-> 27"
enr:H650_20420,"PhoB family transcriptional regulator",K07657,229,295,30,73,0.390,118,"-> 31"
gbm:Gbem_1865,"winged-helix phosphate transcriptional re",K07657,226,295,14,73,0.380,121,"-> 103"
gme:Gmet_2693,"winged-helix phosphate transcriptional re",K07657,226,295,20,73,0.367,120,"-> 59"
kal:KALB_5588,"hypothetical protein",,224,295,29,73,0.392,120,"-> 56"
ksa:C813_10115,"transcriptional regulator PhoB",K07657,229,295,22,73,0.390,118,"-> 30"
oih:OB0584,"two-component response regulator",K07770,227,295,17,73,0.387,119,"-> 14"
pph:Ppha_1701,"winged helix family two component transcr",,236,295,90,73,0.387,119,"-> 6"
rrf:F11_03085,"two component transcriptional regulator",K07657,233,295,27,73,0.353,119,"-> 38"
rru:Rru_A0603,"two component transcriptional regulator",K07657,233,295,27,73,0.353,119,"-> 39"
sals:SLNWT_4829,"two component system response regulator",,225,295,25,73,0.383,120,"-> 35"
scb:SCAB_34801,"two component system response regulator",,225,295,29,73,0.383,120,"-> 66"
sma:SAV_3352,"two-component system response regulator",,225,295,13,73,0.383,120,"-> 48"
wed:wNo_00860,"Response regulator/GGDEF domain protein",K02488,458,295,91,73,0.361,119,"-> 3"
wpi:WP0358,"response regulator/GGDEF domain protein",K02488,458,295,94,73,0.361,119,"-> 3"
aha:AHA_1253,"phosphate regulon transcriptional regulato",K07657,229,294,21,73,0.364,118,"-> 45"
ahd:AI20_12975,"transcriptional regulator PhoB",K07657,229,294,33,73,0.364,118,"-> 49"
ahh:RY45_06680,"transcriptional regulator PhoB",K07657,229,294,29,73,0.364,118,"-> 43"
ahi:VU14_16425,"transcriptional regulator PhoB",K07657,229,294,29,73,0.364,118,"-> 47"
ahj:V469_16500,"transcriptional regulator PhoB",K07657,229,294,29,73,0.364,118,"-> 43"
ahp:V429_06850,"transcriptional regulator PhoB",K07657,229,294,29,73,0.364,118,"-> 46"
ahr:V428_06850,"transcriptional regulator PhoB",K07657,229,294,29,73,0.364,118,"-> 46"
ahy:AHML_06620,"phosphate regulon transcriptional regula",K07657,229,294,29,73,0.364,118,"-> 46"
ami:Amir_2464,"winged helix family two component transcr",,229,294,23,73,0.383,120,"-> 56"
avd:AvCA6_48520,"phosphate regulon response regulator; P",K07657,229,294,38,73,0.395,119,"-> 40"
avl:AvCA_48520,"phosphate regulon response regulator; Ph",K07657,229,294,35,73,0.395,119,"-> 42"
avn:Avin_48520,"phosphate regulon response regulator Pho",K07657,229,294,35,73,0.395,119,"-> 42"
avr:B565_2956,"Phosphate regulon transcriptional regulat",K07657,229,294,39,73,0.356,118,"-> 39"
cac:CA_C1700,"response regulator",K07658,232,294,39,73,0.364,118,"-> 31"
cae:SMB_G1725,"response regulator",K07658,232,294,39,73,0.364,118,"-> 31"
cay:CEA_G1713,"Response regulator (CheY-like receiver do",K07658,232,294,39,73,0.364,118,"-> 31"
cbi:CLJ_B2758,"putative phosphate regulon DNA-binding re",K07658,232,294,34,73,0.333,120,"-> 31"
cbl:CLK_1911,"putative phosphate regulon DNA-binding res",K07658,232,294,30,73,0.333,120,"-> 33"
cgc:Cyagr_2857,"response regulator containing a CheY-lik",,265,294,36,73,0.356,118,"-> 13"
cpc:Cpar_0657,"two component transcriptional regulator,",,236,294,56,73,0.370,119,"-> 3"
cro:ROD_04431,"phosphate regulon two-component system, r",K07657,229,294,36,73,0.381,118,"-> 22"
dba:Dbac_2662,"two component transcriptional regulator,",K07657,231,294,25,73,0.367,120,"-> 84"
dds:Ddes_0567,"two component transcriptional regulator,",K07657,225,294,0,73,0.381,118,"-> 16"
dsh:Dshi_1538,"phosphate regulon transcriptional regulat",K07657,228,294,44,73,0.342,117,"-> 25"
hav:AT03_02415,"chemotaxis protein CheY",,236,294,7,73,0.359,117,"-> 21"
kin:AB182_19985,"transcriptional regulator PhoB",K07657,229,294,22,73,0.381,118,"-> 29"
lmos:LMOSLCC7179_2412,"two-component response regulator",K07658,236,294,31,73,0.377,122,"-> 14"
lwe:lwe2449,"DNA-binding response regulator",K07658,236,294,31,73,0.377,122,"-> 14"
mmt:Metme_4256,"two component transcriptional regulator",K07657,232,294,35,73,0.402,117,"-> 56"
smeg:C770_GR4pD1245,"Response regulators consisting of a",,121,294,7,73,0.378,119,"-> 35"
smi:BN406_06315,"two-component response regulator",,121,294,7,73,0.378,119,"-> 34"
smx:SM11_pD1256,"putative two-component response regulat",,121,294,7,73,0.378,119,"-> 32"
tme:Tmel_1838,"two component transcriptional regulator",,239,294,52,73,0.398,118,"-> 10"
tta:Theth_0571,"winged helix family two component transc",,239,294,49,73,0.398,118,"-> 9"
age:AA314_04094,"Phosphate regulon transcriptional regul",K07657,228,293,5,73,0.375,120,"-> 154"
cna:AB433_06745,"chemotaxis protein CheY",K07657,229,293,6,73,0.392,120,"-> 19"
cpb:Cphamn1_1694,"winged helix family two component tran",,236,293,54,73,0.395,119,"-> 5"
dsa:Desal_3695,"two component transcriptional regulator,",K07657,230,293,19,73,0.375,120,"-> 68"
eab:ECABU_c04760,"positive response regulator for pho re",K07657,229,293,33,73,0.381,118,"-> 30"
eae:EAE_12435,"transcriptional regulator PhoB",K07657,229,293,28,73,0.381,118,"-> 25"
eal:EAKF1_ch1041c,"transcriptional regulator PhoB",K07657,229,293,35,73,0.381,118,"-> 26"
ear:CCG31490,"Phosphate regulon transcriptional regulato",K07657,229,293,28,73,0.381,118,"-> 25"
ebd:ECBD_3262,"two component transcriptional regulator P",K07657,229,293,33,73,0.381,118,"-> 28"
ebe:B21_00351,"PhoB transcriptional dual regulator",K07657,229,293,33,73,0.381,118,"-> 27"
ebf:D782_3464,"phosphate regulon transcriptional regulat",K07657,229,293,44,73,0.373,118,"-> 22"
ebl:ECD_00347,"two component system DNA-binding response",K07657,229,293,33,73,0.381,118,"-> 27"
ebr:ECB_00347,"DNA-binding response regulator in two-com",K07657,229,293,33,73,0.381,118,"-> 27"
ebw:BWG_0281,"transcriptional regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 28"
ecd:ECDH10B_0355,"DNA-binding response regulator in two-",K07657,229,293,33,73,0.381,118,"-> 28"
ece:Z0497,"positive response regulator for pho regulon,",K07657,229,293,33,73,0.381,118,"-> 27"
ecf:ECH74115_0475,"phosphate regulon transcriptional reg",K07657,229,293,33,73,0.381,118,"-> 28"
ecg:E2348C_0334,"DNA-binding response regulator in two-c",K07657,229,293,33,73,0.381,118,"-> 29"
eci:UTI89_C0420,"positive response regulator for pho reg",K07657,229,293,33,73,0.381,118,"-> 29"
ecj:JW0389,"DNA-binding response regulator in two-compon",K07657,229,293,33,73,0.381,118,"-> 28"
eck:EC55989_0407,"DNA-binding response regulator in two-",K07657,229,293,33,73,0.381,118,"-> 28"
ecl:EcolC_3234,"two component transcriptional regulator,",K07657,229,293,27,73,0.381,118,"-> 30"
eclg:EC036_09590,"PhoB family transcriptional regulator",K07657,229,293,9,73,0.381,118,"-> 32"
ecm:EcSMS35_0429,"phosphate regulon transcriptional regu",K07657,229,293,33,73,0.381,118,"-> 28"
eco:b0399,"response regulator in two-component regulator",K07657,229,293,33,73,0.381,118,"-> 28"
ecoa:APECO78_05500,"transcriptional regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 28"
ecoh:ECRM13516_0379,"Phosphate regulon transcriptional r",K07657,229,293,33,73,0.381,118,"-> 28"
ecoi:ECOPMV1_00385,"Phosphate regulon transcriptional re",K07657,229,293,33,73,0.381,118,"-> 29"
ecoj:P423_02030,"PhoB family transcriptional regulator",K07657,229,293,33,73,0.381,118,"-> 28"
ecok:ECMDS42_0298,"DNA-binding response regulator in two",K07657,229,293,33,73,0.381,118,"-> 26"
ecol:LY180_02320,"PhoB family transcriptional regulator",K07657,229,293,30,73,0.381,118,"-> 26"
ecoo:ECRM13514_0447,"Phosphate regulon transcriptional r",K07657,229,293,33,73,0.381,118,"-> 28"
ecp:ECP_0458,"phosphate regulon transcriptional regulato",K07657,243,293,33,73,0.381,118,"-> 30"
ecq:ECED1_0421,"DNA-binding response regulator in two-co",K07657,229,293,33,73,0.381,118,"-> 29"
ecr:ECIAI1_0398,"DNA-binding response regulator in two-c",K07657,229,293,33,73,0.381,118,"-> 27"
ecs:ECs0449,"transcriptional regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 28"
ect:ECIAI39_0283,"transcriptional regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 27"
ecv:APECO1_1611,"positive response regulator for pho reg",K07657,229,293,33,73,0.381,118,"-> 32"
ecw:EcE24377A_0427,"phosphate regulon transcriptional re",K07657,229,293,33,73,0.381,118,"-> 27"
ecx:EcHS_A0467,"phosphate regulon transcriptional regula",K07657,229,293,33,73,0.381,118,"-> 28"
ecy:ECSE_0419,"two-component response regulator",K07657,229,293,33,73,0.381,118,"-> 27"
ecz:ECS88_0393,"DNA-binding response regulator in two-co",K07657,229,293,33,73,0.381,118,"-> 29"
edh:EcDH1_3210,"two component transcriptional regulator",K07657,229,293,33,73,0.381,118,"-> 27"
edj:ECDH1ME8569_0384,"positive response regulator for ph",K07657,229,293,33,73,0.381,118,"-> 27"
eih:ECOK1_0379,"phosphate regulon transcriptional regula",K07657,229,293,33,73,0.381,118,"-> 29"
ekf:KO11_21610,"transcriptional regulator PhoB",K07657,229,293,30,73,0.381,118,"-> 26"
eko:EKO11_3450,"two component transcriptional regulator",K07657,229,293,30,73,0.381,118,"-> 26"
elc:i14_0490,"transcriptional regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 29"
eld:i02_0490,"transcriptional regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 29"
elf:LF82_1657,"Phosphate regulon transcriptional regulat",K07657,229,293,33,73,0.381,118,"-> 30"
elh:ETEC_0451,"phosphate regulon two-component system, r",K07657,229,293,33,73,0.381,118,"-> 31"
ell:WFL_02310,"transcriptional regulator PhoB",K07657,229,293,30,73,0.381,118,"-> 26"
eln:NRG857_01870,"transcriptional regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 30"
elo:EC042_0431,"phosphate regulon two-component system,",K07657,229,293,33,73,0.381,118,"-> 26"
elp:P12B_c0411,"Positive response regulator for pho regu",K07657,229,293,33,73,0.381,118,"-> 28"
elr:ECO55CA74_02450,"transcriptional regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 28"
elu:UM146_15365,"transcriptional regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 29"
elw:ECW_m0468,"two component system DNA-binding response",K07657,229,293,30,73,0.381,118,"-> 26"
elx:CDCO157_0437,"transcriptional regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 28"
ena:ECNA114_0376,"Phosphate regulon transcriptional regu",K07657,229,293,33,73,0.381,118,"-> 29"
enc:ECL_01154,"transcriptional regulator PhoB",K07657,229,293,12,73,0.381,118,"-> 36"
eoh:ECO103_0373,"DNA-binding response regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 27"
eoi:ECO111_0428,"DNA-binding response regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 27"
eoj:ECO26_0431,"DNA-binding response regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 27"
eok:G2583_0507,"Positive response regulator for pho regu",K07657,229,293,33,73,0.381,118,"-> 28"
ese:ECSF_0359,"two-component response regulator",K07657,229,293,33,73,0.381,118,"-> 29"
esl:O3K_19520,"transcriptional regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 29"
esm:O3M_19505,"transcriptional regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 29"
eso:O3O_05775,"transcriptional regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 29"
etw:ECSP_0461,"DNA-binding response regulator in two-com",K07657,229,293,33,73,0.381,118,"-> 28"
eum:ECUMN_0436,"transcriptional regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 28"
eun:UMNK88_448,"transcriptional regulator protein PhoB",K07657,229,293,33,73,0.381,118,"-> 28"
gym:GYMC10_0499,"winged helix family two component trans",K07770,239,293,24,73,0.408,120,"-> 77"
koe:A225_1220,"Phosphate regulon transcriptional regulat",K07657,229,293,18,73,0.381,118,"-> 27"
kok:KONIH1_06410,"transcriptional regulator PhoB",K07657,229,293,18,73,0.381,118,"-> 29"
kom:HR38_11210,"transcriptional regulator PhoB",K07657,229,293,18,73,0.381,118,"-> 30"
kox:KOX_12455,"transcriptional regulator PhoB",K07657,229,293,18,73,0.381,118,"-> 27"
koy:J415_25130,"transcriptional regulator PhoB",K07657,229,293,29,73,0.381,118,"-> 26"
kpa:KPNJ1_04360,"Phosphate regulon transcriptional regul",K07657,229,293,31,73,0.381,118,"-> 27"
kpb:FH42_22620,"transcriptional regulator PhoB",K07657,229,293,31,73,0.381,118,"-> 25"
kpc:KPNIH10_05405,"transcriptional regulator PhoB",K07657,229,293,31,73,0.381,118,"-> 27"
kpe:KPK_4346,"phosphate regulon transcriptional regulato",K07657,229,293,13,73,0.381,118,"-> 27"
kpg:KPNIH32_05675,"transcriptional regulator PhoB",K07657,229,293,31,73,0.381,118,"-> 27"
kph:KPNIH24_23405,"transcriptional regulator PhoB",K07657,229,293,31,73,0.381,118,"-> 26"
kpi:D364_01730,"PhoB family transcriptional regulator",K07657,229,293,31,73,0.381,118,"-> 27"
kpj:N559_4072,"transcriptional regulator PhoB",K07657,229,293,31,73,0.381,118,"-> 27"
kpk:A593_16080,"transcriptional regulator PhoB",K07657,229,293,13,73,0.381,118,"-> 27"
kpm:KPHS_10780,"transcriptional regulator PhoB",K07657,229,293,31,73,0.381,118,"-> 25"
kpn:KPN_00340,"positive response regulator for pho regul",K07657,229,293,31,73,0.381,118,"-> 28"
kpne:KU54_021075,"transcriptional regulator PhoB",K07657,229,293,31,73,0.381,118,"-> 27"
kpnu:LI86_20915,"transcriptional regulator PhoB",K07657,229,293,31,73,0.381,118,"-> 26"
kpo:KPN2242_04100,"transcriptional regulator PhoB",K07657,229,293,31,73,0.381,118,"-> 30"
kpp:A79E_3945,"Phosphate regulon transcriptional regulat",K07657,229,293,31,73,0.381,118,"-> 26"
kpq:KPR0928_05320,"transcriptional regulator PhoB",K07657,229,293,31,73,0.381,118,"-> 25"
kps:KPNJ2_04311,"Phosphate regulon transcriptional regul",K07657,229,293,31,73,0.381,118,"-> 26"
kpt:VK055_2216,"phosphate regulon transcriptional regula",K07657,229,293,24,73,0.381,118,"-> 28"
kpu:KP1_1200,"positive response regulator for pho regulo",K07657,229,293,31,73,0.381,118,"-> 29"
kpv:KPNIH29_05610,"transcriptional regulator PhoB",K07657,229,293,31,73,0.381,118,"-> 26"
kpw:KPNIH30_05570,"transcriptional regulator PhoB",K07657,229,293,31,73,0.381,118,"-> 25"
kpx:PMK1_02668,"Phosphate regulon transcriptional regula",K07657,229,293,24,73,0.381,118,"-> 29"
kpy:KPNIH31_05785,"transcriptional regulator PhoB",K07657,229,293,31,73,0.381,118,"-> 26"
kpz:KPNIH27_05265,"transcriptional regulator PhoB",K07657,229,293,31,73,0.381,118,"-> 27"
kva:Kvar_4041,"two component transcriptional regulator,",K07657,229,293,13,73,0.381,118,"-> 27"
kvd:KR75_13520,"transcriptional regulator PhoB",K07657,229,293,13,73,0.381,118,"-> 27"
kvq:SP68_20175,"transcriptional regulator PhoB",K07657,229,293,13,73,0.381,118,"-> 26"
lmc:Lm4b_02470,"two-component response phosphate regulat",K07658,236,293,30,73,0.377,122,"-> 13"
lmh:LMHCC_0099,"alkaline phosphatase synthesis transcrip",K07658,236,293,30,73,0.377,122,"-> 13"
lml:lmo4a_2503,"two-component response regulator",K07658,236,293,30,73,0.377,122,"-> 13"
lmn:LM5578_2696,"two-component response phosphate regula",K07658,236,293,30,73,0.377,122,"-> 14"
lmo:lmo2501,"two-component response phosphate regulator",K07658,236,293,30,73,0.377,122,"-> 14"
lmoa:LMOATCC19117_2511,"two-component response regulator",K07658,236,293,30,73,0.377,122,"-> 13"
lmoc:LMOSLCC5850_2504,"two-component response regulator",K07658,236,293,34,73,0.377,122,"-> 14"
lmod:LMON_2513,"Alkaline phosphatase synthesis transcrip",K07658,236,293,34,73,0.377,122,"-> 14"
lmoj:LM220_09630,"heme response regulator HssR",K07658,236,293,30,73,0.377,122,"-> 13"
lmok:CQ02_12695,"chemotaxis protein CheY",K07658,236,293,30,73,0.377,122,"-> 13"
lmol:LMOL312_2461,"two-component response regulator",K07658,236,293,30,73,0.377,122,"-> 13"
lmon:LMOSLCC2376_2395,"two-component response regulator",K07658,236,293,30,73,0.377,122,"-> 13"
lmoo:LMOSLCC2378_2505,"two-component response regulator",K07658,236,293,30,73,0.377,122,"-> 13"
lmoq:LM6179_1703,"two-component response regulator",K07658,236,293,30,73,0.377,122,"-> 14"
lmow:AX10_06575,"PhoP family transcriptional regulator",K07658,236,293,34,73,0.377,122,"-> 14"
lmox:AX24_10435,"chemotaxis protein CheY",K07658,236,293,30,73,0.377,122,"-> 13"
lmoy:LMOSLCC2479_2563,"two-component response regulator",K07658,236,293,30,73,0.377,122,"-> 14"
lmoz:LM1816_15627,"heme response regulator HssR",K07658,236,293,30,73,0.377,122,"-> 13"
lmp:MUO_12485,"DNA-binding response regulator PhoP",K07658,236,293,30,73,0.377,122,"-> 13"
lmq:LMM7_2543,"two-component phosphate response regulato",K07658,236,293,30,73,0.377,122,"-> 13"
lmr:LMR479A_2626,"two-component response regulator",K07658,236,293,30,73,0.377,122,"-> 14"
lmv:Y193_03210,"chemotaxis protein CheY",K07658,236,293,30,73,0.377,122,"-> 13"
lmx:LMOSLCC2372_2563,"two-component response regulator",K07658,236,293,30,73,0.377,122,"-> 14"
lmy:LM5923_2645,"two-component response phosphate regula",K07658,236,293,30,73,0.377,122,"-> 14"
mag:amb1370,"response regulator",K07657,240,293,16,73,0.359,117,"-> 75"
mas:Mahau_0744,"winged helix family two component transc",K07658,235,293,20,73,0.376,117,"-> 17"
mmh:Mmah_0822,"response regulator receiver protein",,170,293,46,73,0.359,117,"-> 8"
nca:Noca_1748,"response regulator receiver",,123,293,27,73,0.397,121,"-> 41"
pca:Pcar_0653,"winged-helix phosphate transcriptional re",K07657,230,293,14,73,0.410,122,"-> 36"
red:roselon_00037,"Pole remodelling regulatory diguanyla",K02488,463,293,18,73,0.415,118,"-> 15"
ron:TE10_07460,"transcriptional regulator PhoB",K07657,229,293,32,73,0.381,118,"-> 28"
ror:RORB6_13525,"transcriptional regulator PhoB",K07657,229,293,37,73,0.381,118,"-> 25"
samy:DB32_002046,"Phosphate regulon transcriptional regu",K07657,234,293,30,73,0.392,120,"-> 100"
sbc:SbBS512_E0318,"phosphate regulon transcriptional reg",K07657,229,293,33,73,0.381,118,"-> 25"
sbo:SBO_0293,"transcriptional regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 24"
sdy:SDY_0338,"transcriptional regulator PhoB",K07657,229,293,33,73,0.381,118,"-> 23"
