"","genes","counts.sample1","counts.sample2","counts.sample3","counts.treat1","counts.treat2","counts.treat3","logFC","logCPM","F","PValue"
"158","gene_0158",5.086529e+06,4.599673e+06,1.543849e+06,1.764833e+06,1.919142e+06,5.180931e+06,-2.862127e-01, 6.044065,2.470806e-01,6.318766e-01
"159","gene_0159",1.576601e+09,1.561505e+09,1.363200e+09,1.550396e+09,1.214201e+09,1.538599e+09,-7.134586e-04,14.842294,1.726241e-05,9.987505e-01
"160","gene_0160",1.915394e+06,5.578478e+06,3.157891e+06,2.018357e+06,3.357975e+06,3.798794e+06,-1.715422e-01, 6.040412,1.289934e-01,7.283324e-01
"161","gene_0161",2.292293e+06,1.951159e+06,3.405606e+06,1.707625e+06,2.358568e+06,2.639037e+06,-1.502395e-01, 5.581038,1.719637e-01,7.306398e-01
"162","gene_0162",3.417713e+06,6.423998e+06,2.444283e+06,3.222190e+06,4.099339e+06,2.178072e+06,-2.980380e-01, 6.177969,3.936564e-01,5.596216e-01
"163","gene_0163",3.703788e+06,1.908953e+06,3.331938e+06,3.110575e+06,2.547393e+06,2.777797e+06,-2.208095e-02, 5.860254,3.328329e-03,9.625698e-01
"164","gene_0164",5.522308e+06,2.062039e+06,2.476017e+06,3.083848e+06,2.148145e+06,3.437838e+06,-1.425008e-01, 5.957837,9.576105e-02,7.678294e-01
"165","gene_0165",4.598143e+06,1.469557e+06,4.496621e+06,2.369334e+06,1.636543e+06,6.551891e+06, 3.232673e-02, 6.131159,2.622127e-03,9.603567e-01
"166","gene_0166",2.551192e+06,3.131755e+06,5.088257e+06,2.250197e+06,3.968438e+06,2.125720e+06,-3.255822e-01, 5.998174,5.335729e-01,5.047919e-01
"167","gene_0167",2.470977e+06,2.790109e+06,1.712366e+06,3.142737e+06,2.242863e+06,3.666037e+06, 4.420072e-01, 5.741684,1.496225e+00,3.332725e-01
"168","gene_0168",4.525168e+06,2.073663e+06,1.566268e+06,3.820341e+06,2.562801e+06,2.950218e+06, 2.778477e-01, 5.867384,3.609905e-01,5.638013e-01
"169","gene_0169",1.777798e+06,4.818090e+06,2.656730e+06,7.083250e+06,1.464016e+06,3.801428e+06, 5.008345e-01, 6.191462,6.172764e-01,4.536337e-01
"170","gene_0170",2.564827e+06,4.763432e+06,5.597495e+06,3.115797e+06,4.353034e+06,3.934994e+06,-1.390264e-01, 6.345023,1.049106e-01,7.939630e-01
"171","gene_0171",7.229628e+06,1.743941e+06,1.751246e+06,2.005749e+06,1.686066e+06,2.790650e+06,-6.502727e-01, 5.820869,1.227216e+00,2.986354e-01
"172","gene_0172",2.604527e+06,2.364822e+06,2.371831e+06,3.130149e+06,2.253428e+06,2.666175e+06, 1.995647e-01, 5.687219,3.767755e-01,6.570340e-01
"173","gene_0173",5.919402e+06,2.601640e+06,5.665021e+06,1.234187e+06,2.501063e+06,3.847020e+06,-8.710299e-01, 6.167868,2.827354e+00,1.293460e-01
"174","gene_0174",1.862994e+07,1.490404e+07,1.080301e+07,9.733586e+06,1.483396e+07,1.260803e+07,-1.927179e-01, 8.077310,2.811808e-01,7.755128e-01
"175","gene_0175",4.566382e+06,2.138044e+06,5.106276e+06,1.747414e+06,3.186166e+06,6.556980e+06,-1.379187e-02, 6.270742,6.097790e-04,9.808754e-01
"176","gene_0176",1.021999e+07,2.578463e+06,2.234607e+06,3.592309e+06,1.767296e+07,9.840703e+06, 1.110931e+00, 7.255402,2.215263e+00,1.731721e-01
"177","gene_0177",2.824453e+06,1.530721e+06,3.310895e+06,4.094512e+06,1.963124e+06,3.652801e+07, 2.482403e+00, 7.374438,6.079958e+00,3.758847e-02
"178","gene_0178",3.132515e+06,2.296014e+06,3.109648e+06,3.856204e+06,3.587283e+06,4.615546e+06, 5.529687e-01, 6.107592,2.408402e+00,2.715679e-01
"179","gene_0179",6.965908e+06,3.056459e+06,5.232794e+06,6.121102e+06,4.259906e+06,4.214412e+06, 8.694121e-03, 6.642364,3.737671e-04,9.878992e-01
"180","gene_0180",2.356656e+06,2.430009e+06,2.248560e+06,4.240256e+06,2.382013e+06,5.740440e+06, 8.700838e-01, 6.022501,4.454057e+00,7.840044e-02
"181","gene_0181",2.395956e+06,3.716749e+06,6.616102e+06,1.887899e+06,1.522425e+06,6.160175e+06,-3.957310e-01, 6.213314,3.938319e-01,5.469562e-01
"182","gene_0182",4.197474e+06,3.471120e+06,2.310238e+06,1.609923e+06,2.974220e+06,3.234004e+06,-2.981552e-01, 5.876535,5.638422e-01,5.284178e-01
"183","gene_0183",5.021058e+06,4.599897e+06,2.764371e+06,2.246114e+06,1.849982e+06,2.595282e+06,-8.199495e-01, 5.976884,4.759153e+00,9.304997e-02
"184","gene_0184",3.455229e+06,2.656785e+06,1.366231e+06,4.369237e+06,2.209533e+06,4.033414e+06, 5.859429e-01, 5.919317,1.627068e+00,2.362252e-01
"185","gene_0185",1.858194e+06,2.253241e+06,4.320390e+06,2.747009e+06,1.720588e+06,1.871962e+06,-3.572526e-01, 5.634456,6.412610e-01,4.452945e-01
"186","gene_0186",7.112868e+06,4.672651e+06,7.074565e+06,2.131740e+06,2.929880e+06,3.937422e+06,-1.023706e+00, 6.525786,6.213677e+00,6.877693e-02
"187","gene_0187",3.543467e+06,4.538298e+06,5.654743e+06,4.921989e+06,5.703555e+06,2.353359e+06,-2.007507e-02, 6.487384,1.823556e-03,9.709560e-01
"188","gene_0188",5.002334e+06,2.453398e+06,4.293462e+06,1.281916e+06,3.745846e+06,3.420818e+06,-4.374203e-01, 6.061654,7.939844e-01,3.976823e-01
"189","gene_0189",2.183044e+06,2.864099e+06,3.496718e+06,7.669919e+06,3.566234e+06,1.757728e+06, 6.894934e-01, 6.197763,1.407691e+00,2.678858e-01
"190","gene_0190",5.016223e+06,1.572785e+06,3.294345e+06,2.118556e+06,4.789654e+06,2.815325e+06, 3.066987e-02, 6.025073,3.596700e-03,9.535788e-01
"191","gene_0191",5.962104e+06,2.643284e+06,3.120920e+06,2.074727e+06,3.661796e+06,5.123435e+06,-6.089721e-02, 6.220934,1.649440e-02,9.060478e-01
"192","gene_0192",2.450628e+06,4.073931e+06,2.968453e+06,3.031583e+06,3.233152e+06,4.208720e+06, 1.939358e-01, 6.056860,2.733423e-01,6.953240e-01
"193","gene_0193",2.246535e+06,1.210113e+06,1.721602e+06,2.082695e+06,2.058169e+06,6.545718e+06, 1.082955e+00, 5.719835,4.341046e+00,6.905084e-02
"194","gene_0194",1.640040e+06,4.473585e+06,5.519974e+06,2.762532e+06,2.522985e+06,1.425523e+06,-7.377804e-01, 5.943398,1.895138e+00,2.041721e-01
"195","gene_0195",4.205104e+06,2.660065e+06,6.493433e+06,1.881367e+06,2.311776e+06,5.290417e+06,-4.692319e-01, 6.245743,7.860003e-01,3.999626e-01
"196","gene_0196",3.896669e+06,1.147721e+06,8.558283e+06,1.437788e+06,8.233304e+06,8.920481e+06, 4.545575e-01, 6.744327,3.001700e-01,5.980186e-01
"197","gene_0197",4.439451e+06,1.874637e+06,7.033737e+06,2.558346e+06,3.393541e+06,2.383252e+06,-6.356417e-01, 6.179781,1.480156e+00,2.568017e-01
"198","gene_0198",2.621752e+06,3.310345e+06,2.552076e+06,5.038176e+06,2.584690e+06,1.781980e+06, 2.357033e-01, 5.914910,2.517811e-01,6.286999e-01
"199","gene_0199",1.795918e+06,4.543429e+06,3.294459e+06,2.307245e+06,2.133514e+06,3.512849e+06,-2.299898e-01, 5.871656,2.744496e-01,6.261952e-01
"200","gene_0200",5.472657e+06,7.892375e+05,4.128282e+06,1.628938e+06,1.860785e+06,8.478514e+06, 2.294067e-01, 6.205529,7.854643e-02,7.860505e-01
"201","gene_0201",1.866766e+06,3.735060e+06,1.275110e+06,1.465559e+06,2.886000e+06,3.826993e+06, 2.987408e-01, 5.638342,3.655833e-01,5.613827e-01
"202","gene_0202",2.813959e+06,3.069325e+06,4.575221e+06,1.792386e+06,2.790032e+06,3.956189e+06,-2.602721e-01, 5.981470,3.869214e-01,5.921837e-01
"203","gene_0203",6.335425e+06,2.131592e+06,2.570451e+06,5.480325e+06,5.621719e+06,2.618865e+06, 3.998548e-01, 6.373073,5.416941e-01,4.817606e-01
"204","gene_0204",2.645759e+06,3.588402e+06,1.950848e+06,9.883483e+05,3.358464e+06,2.715356e+06,-1.678111e-01, 5.653740,1.257359e-01,7.316260e-01
"205","gene_0205",3.240466e+06,1.372886e+06,2.846761e+06,3.950517e+06,4.215698e+06,2.148100e+06, 5.355896e-01, 5.902089,1.317260e+00,2.826946e-01
"206","gene_0206",3.020090e+06,2.217019e+06,3.179790e+06,2.172177e+06,1.864025e+06,1.439813e+06,-5.543435e-01, 5.534698,2.559143e+00,1.993670e-01
"207","gene_0207",2.356493e+06,2.532095e+06,2.510390e+06,3.114696e+06,3.500089e+06,1.336149e+06, 1.745487e-01, 5.687452,1.662732e-01,6.977456e-01
"208","gene_0208",2.602398e+06,4.541193e+06,1.985623e+06,2.567637e+06,2.737979e+06,4.469958e+06, 1.541558e-01, 5.971253,1.284720e-01,7.502972e-01
"209","gene_0209",3.664213e+07,2.846193e+07,4.497313e+07,5.374287e+07,5.247984e+07,4.519814e+07, 5.172576e-01, 9.779256,4.695630e+00,2.473934e-01
"210","gene_0210",4.320929e+06,5.165835e+06,5.229676e+06,3.058176e+06,3.382949e+06,2.304752e+06,-6.897015e-01, 6.287463,3.386644e+00,1.907094e-01
"211","gene_0211",3.298252e+06,2.359795e+06,6.064427e+06,4.193287e+06,4.185852e+06,8.229538e+06, 5.323049e-01, 6.566734,1.098134e+00,3.453414e-01
"212","gene_0212",4.036602e+06,1.344772e+06,4.900271e+06,1.759971e+06,2.828273e+06,4.137391e+06,-2.053791e-01, 5.981821,1.424915e-01,7.151689e-01
"213","gene_0213",3.932731e+06,2.058982e+06,4.131116e+06,3.657306e+06,2.771086e+06,1.290510e+06,-3.156097e-01, 5.904020,3.930677e-01,5.473367e-01
"214","gene_0214",2.737808e+06,2.127843e+06,3.071368e+06,3.820209e+06,2.778163e+06,4.273065e+06, 5.091906e-01, 5.978743,1.895848e+00,2.952279e-01
"215","gene_0215",8.349452e+06,4.881929e+06,3.735423e+06,1.855144e+06,4.694370e+06,2.437414e+06,-8.546712e-01, 6.415917,2.997323e+00,1.198201e-01
"216","gene_0216",2.945620e+06,1.660711e+06,4.296618e+06,4.019766e+06,2.310863e+06,2.647648e+06, 7.305984e-02, 5.912248,2.418234e-02,8.800912e-01
"217","gene_0217",2.782700e+08,3.787787e+08,2.132396e+08,2.087600e+08,2.177096e+08,1.336903e+08,-5.620677e-01,12.214354,4.583578e+00,1.562260e-01
"218","gene_0218",3.391354e+06,3.872892e+06,5.515652e+06,1.838605e+06,1.279244e+06,3.764743e+06,-8.574744e-01, 6.028641,3.168011e+00,1.111530e-01
"219","gene_0219",3.764743e+06,4.397311e+06,1.696582e+06,3.406527e+06,3.134035e+06,3.788854e+06, 1.391648e-01, 6.068095,1.077042e-01,7.792604e-01
"220","gene_0220",4.070233e+06,4.398652e+06,2.796964e+06,3.702350e+06,5.454214e+06,3.003389e+06, 1.774451e-01, 6.287302,1.937156e-01,7.352567e-01
"221","gene_0221",2.293405e+06,2.165982e+06,2.529534e+06,3.338087e+06,2.396039e+06,5.773881e+06, 7.659955e-01, 5.950031,3.457268e+00,1.138275e-01
"222","gene_0222",5.523878e+06,3.360327e+06,3.899182e+06,2.210406e+06,1.865589e+06,5.471785e+06,-3.759903e-01, 6.204902,5.913162e-01,4.649972e-01
"223","gene_0223",3.462206e+06,3.664894e+06,5.108896e+06,8.177396e+06,2.781246e+06,4.983887e+06, 4.522671e-01, 6.574072,8.103587e-01,4.231725e-01
"224","gene_0224",4.320270e+06,1.957173e+06,4.469184e+06,4.517709e+06,2.706712e+06,2.529604e+06,-6.898544e-02, 6.105642,2.113841e-02,8.905236e-01
"225","gene_0225",2.240936e+06,3.645209e+06,4.007858e+06,3.859466e+06,7.196031e+06,3.253610e+06, 5.809788e-01, 6.343870,1.564479e+00,2.764774e-01
"226","gene_0226",7.935887e+06,1.971128e+06,2.790264e+06,3.489962e+06,3.516625e+06,5.738650e+06, 7.135250e-02, 6.395145,1.627776e-02,9.014773e-01
"227","gene_0227",5.332387e+06,4.116994e+06,1.774179e+06,3.195455e+06,5.573685e+06,2.516557e+06, 8.412651e-02, 6.222945,2.746001e-02,8.723008e-01
"228","gene_0228",5.423715e+06,2.502381e+06,2.548823e+06,7.261016e+06,1.598049e+06,4.824473e+06, 4.761980e-01, 6.343869,6.147467e-01,4.545288e-01
"229","gene_0229",7.775802e+06,2.502364e+06,9.782895e+06,2.881683e+06,1.022799e+07,2.657816e+06,-3.074686e-01, 6.900613,1.945913e-01,6.702480e-01
"230","gene_0230",4.148562e+06,1.966202e+06,2.068481e+06,3.748027e+06,1.676383e+06,2.376736e+06, 1.742822e-02, 5.739791,1.421842e-03,9.708012e-01
"231","gene_0231",1.782697e+06,4.830697e+06,5.429922e+06,3.532113e+06,2.625007e+06,3.688135e+06,-2.441806e-01, 6.196632,2.446594e-01,6.341608e-01
"232","gene_0232",2.622207e+06,2.115079e+06,2.351044e+06,3.170832e+06,5.039922e+06,4.002833e+06, 8.383887e-01, 6.012941,5.608525e+00,8.894771e-02
"233","gene_0233",3.125488e+06,3.249981e+06,2.424810e+06,1.975834e+06,2.055275e+06,2.256585e+06,-4.232476e-01, 5.645655,1.881217e+00,3.415338e-01
"234","gene_0234",3.660350e+06,1.282218e+06,5.428793e+06,4.491700e+06,3.610582e+06,2.043725e+06, 2.961224e-02, 6.112944,2.555035e-03,9.608667e-01
"235","gene_0235",1.541411e+06,4.625411e+06,3.915459e+06,2.776816e+06,5.017579e+06,1.475630e+06,-6.761500e-02, 6.018791,1.355698e-02,9.100419e-01
"236","gene_0236",3.471554e+06,2.062768e+06,5.213497e+06,2.996880e+06,3.386046e+06,4.931277e+06, 1.108442e-01, 6.203830,5.911071e-02,8.291955e-01
"237","gene_0237",3.978298e+06,1.616601e+07,3.925242e+06,1.782996e+07,2.203800e+07,4.141121e+06, 9.550230e-01, 7.844884,1.549239e+00,2.468264e-01
"238","gene_0238",3.812696e+06,4.497837e+06,3.389686e+06,2.966890e+06,2.693499e+06,3.272133e+06,-3.279842e-01, 6.099930,9.085410e-01,5.126747e-01
"239","gene_0239",3.226861e+06,4.954438e+06,2.543599e+06,2.919844e+06,1.808460e+06,2.647630e+06,-4.685191e-01, 5.910304,1.355934e+00,3.267462e-01
"240","gene_0240",3.127243e+06,5.342450e+06,3.320226e+06,3.610657e+06,2.895438e+06,1.712236e+06,-4.435565e-01, 6.061845,1.008291e+00,3.717605e-01
"241","gene_0241",1.823577e+06,2.462718e+06,2.479744e+06,3.765813e+06,1.696265e+06,2.234623e+06, 2.584953e-01, 5.606980,3.951181e-01,5.566610e-01
"242","gene_0242",2.324505e+07,2.493796e+07,2.254697e+07,1.927103e+07,1.887993e+07,1.487401e+07,-3.500594e-01, 8.688156,1.591973e+00,5.517611e-01
"243","gene_0243",3.661974e+06,4.224766e+06,3.421435e+06,7.237099e+06,3.469677e+06,2.425095e+06, 3.047487e-01, 6.366914,3.751035e-01,5.693916e-01
"244","gene_0244",3.679683e+06,4.010582e+06,3.963380e+06,7.310101e+06,3.128024e+06,2.857377e+06, 2.748253e-01, 6.397005,3.207484e-01,6.105189e-01
"245","gene_0245",3.689976e+06,4.603309e+06,3.734749e+06,2.155202e+07,2.977644e+06,4.151790e+07, 2.505939e+00, 8.036508,1.000575e+01,1.251553e-02
"246","gene_0246",2.589478e+06,4.865309e+06,2.679106e+06,2.150186e+06,1.812413e+06,3.567198e+06,-3.757815e-01, 5.871508,7.877312e-01,4.265042e-01
"247","gene_0247",2.721499e+06,4.435115e+06,6.851080e+06,2.389703e+06,4.861601e+06,1.910833e+06,-5.713230e-01, 6.275695,1.168689e+00,3.097047e-01
"248","gene_0248",6.932143e+06,3.218819e+06,3.911173e+06,5.730263e+06,3.418400e+06,4.293819e+06, 1.305715e-02, 6.521028,8.442391e-04,9.812678e-01
"249","gene_0249",3.547600e+07,3.115499e+07,3.203710e+07,3.351910e+07,3.637314e+07,3.462210e+07, 1.427957e-01, 9.405649,5.280044e-01,7.679243e-01
"250","gene_0250",2.250478e+06,4.892193e+06,3.658878e+06,1.642987e+06,1.732784e+06,4.807882e+06,-3.677256e-01, 5.974117,4.963703e-01,5.001487e-01
"251","gene_0251",3.660197e+06,3.040464e+06,4.469184e+06,4.885348e+06,3.369913e+06,3.077207e+06, 8.724439e-02, 6.240502,4.721594e-02,8.663835e-01
"252","gene_0252",3.476321e+06,3.806385e+06,1.924110e+06,1.666997e+06,2.014835e+06,6.411231e+06, 1.744746e-01, 5.991032,9.815403e-02,7.616887e-01
"253","gene_0253",1.743458e+06,5.521964e+06,4.720800e+06,2.413826e+06,3.105147e+06,3.915160e+06,-3.064999e-01, 6.157255,3.846352e-01,5.515705e-01
"254","gene_0254",2.095394e+06,4.386686e+06,4.188029e+06,6.379049e+06,2.707556e+06,2.237087e+06, 1.651565e-01, 6.218053,9.048677e-02,7.708651e-01
"255","gene_0255",1.072988e+07,3.033012e+06,2.658406e+06,1.709959e+06,4.187971e+06,3.472203e+06,-7.445003e-01, 6.399995,1.470777e+00,2.581993e-01
"256","gene_0256",2.523999e+06,3.142541e+06,2.603607e+06,3.197139e+06,1.977190e+06,3.378754e+06, 1.105730e-01, 5.812928,9.309747e-02,8.119417e-01
"257","gene_0257",6.025794e+06,1.189002e+06,5.292654e+06,2.561948e+06,3.490761e+06,1.661448e+06,-6.363384e-01, 6.073686,1.074968e+00,3.287263e-01
"258","gene_0258",2.252179e+06,4.150576e+06,1.955004e+06,4.717889e+06,5.035697e+06,2.692883e+06, 6.491145e-01, 6.127206,2.025166e+00,1.995713e-01
"259","gene_0259",3.398979e+06,5.065173e+06,1.189142e+06,2.792798e+06,1.588992e+06,4.336531e+06,-7.793056e-02, 5.924997,1.849361e-02,8.950286e-01
"260","gene_0260",3.961705e+06,3.093396e+06,2.040795e+06,3.432623e+06,6.348613e+06,2.117323e+06, 4.596072e-01, 6.131334,8.723197e-01,3.763607e-01
"261","gene_0261",6.114741e+06,2.457841e+06,3.062610e+06,2.368020e+06,4.932371e+06,3.206771e+06,-8.679468e-02, 6.196370,3.356705e-02,8.655987e-01
"262","gene_0262",3.946083e+06,3.517917e+06,3.125921e+06,5.418492e+06,2.081887e+06,4.902377e+06, 2.997075e-01, 6.267565,4.362286e-01,5.662252e-01
"263","gene_0263",1.046203e+07,2.732462e+06,2.561576e+06,3.282333e+06,2.931810e+06,1.970609e+06,-8.527122e-01, 6.300596,2.002723e+00,1.929744e-01
"264","gene_0264",2.043853e+06,2.359419e+06,2.365199e+06,2.461745e+06,4.218007e+06,2.308941e+06, 4.635998e-01, 5.720618,1.597974e+00,3.075456e-01
"265","gene_0265",8.562923e+07,8.921296e+07,6.727793e+07,8.203180e+07,8.314003e+07,8.728498e+07, 1.234380e-01,10.687103,6.296550e-01,7.541951e-01
"266","gene_0266",3.514261e+06,2.402042e+06,2.157516e+06,4.272295e+06,3.712012e+06,2.797429e+06, 4.938404e-01, 5.982649,1.675920e+00,3.104382e-01
"267","gene_0267",3.200997e+06,2.409012e+06,2.000640e+06,2.177166e+06,2.062568e+06,3.557716e+06, 9.229347e-02, 5.676411,6.561279e-02,8.367797e-01
"268","gene_0268",5.829990e+07,9.109320e+07,1.365401e+08,9.486483e+07,1.121800e+08,6.587191e+07,-1.738475e-02,10.874833,2.624465e-03,9.644013e-01
"269","gene_0269",2.087698e+07,2.968498e+07,1.866407e+07,2.454898e+07,2.196297e+07,3.394110e+07, 2.743328e-01, 8.962166,9.016763e-01,6.137501e-01
"270","gene_0270",2.534202e+06,3.931368e+06,2.332895e+06,3.465591e+06,1.661299e+06,1.127785e+06,-4.008712e-01, 5.655960,6.548773e-01,4.406750e-01
"271","gene_0271",3.657889e+06,2.961917e+06,5.572217e+06,3.070155e+06,7.178287e+05,4.125250e+06,-5.759979e-01, 6.068247,8.600697e-01,3.795747e-01
"272","gene_0272",1.826943e+06,2.597226e+06,1.423923e+06,4.075060e+06,2.533078e+06,2.420880e+06, 7.069157e-01, 5.647213,3.186078e+00,1.134407e-01
"273","gene_0273",2.232195e+07,1.670597e+07,2.019605e+07,1.952203e+07,1.857102e+07,1.499897e+07,-9.216963e-02, 8.551535,9.332443e-02,8.799428e-01
"274","gene_0274",2.127371e+06,1.120173e+06,6.197479e+06,2.163821e+06,3.945208e+06,2.709115e+06,-7.517910e-02, 5.939535,1.426533e-02,9.077338e-01
"275","gene_0275",3.222681e+06,2.310478e+06,2.679737e+06,2.718426e+06,3.441128e+06,4.344805e+06, 4.061539e-01, 5.962427,1.323152e+00,4.013501e-01
"276","gene_0276",4.098231e+06,4.067554e+06,2.965677e+06,2.343007e+06,2.454657e+06,5.532998e+06,-6.044544e-02, 6.149866,1.927200e-02,9.050669e-01
"277","gene_0277",5.183100e+08,4.959296e+08,4.658402e+08,5.794303e+08,5.326010e+08,6.930192e+08, 3.446945e-01,13.421527,5.242270e+00,4.153639e-01
"278","gene_0278",1.967061e+06,7.315931e+06,1.971005e+06,2.547905e+06,3.908870e+06,8.391690e+06, 4.422496e-01, 6.431670,4.562089e-01,5.175455e-01
"279","gene_0279",2.893211e+06,3.407707e+06,3.569474e+06,2.512026e+06,2.943640e+06,3.802746e+06,-4.524415e-02, 5.993291,1.683639e-02,9.259853e-01
"280","gene_0280",2.600540e+06,2.711632e+06,4.004359e+06,4.285108e+06,2.103908e+06,6.912471e+06, 5.562457e-01, 6.242839,1.243523e+00,2.956538e-01
"281","gene_0281",2.297670e+06,2.849742e+06,3.883941e+06,2.595768e+06,1.758824e+06,2.950381e+06,-2.565089e-01, 5.771340,4.401511e-01,5.770019e-01
"282","gene_0282",8.206525e+06,4.441083e+06,2.393732e+06,1.216396e+07,3.765552e+06,9.301101e+06, 8.388605e-01, 7.080394,1.923811e+00,2.011034e-01
"283","gene_0283",3.871416e+06,5.582307e+06,2.304784e+06,2.038957e+06,4.007997e+06,5.037163e+06,-3.481374e-02, 6.237081,5.382434e-03,9.464213e-01
"284","gene_0284",1.654530e+06,1.064203e+07,2.588495e+07,1.812101e+07,2.164694e+07,1.562205e+07, 5.634411e-01, 8.307382,5.078664e-01,4.953658e-01
"285","gene_0285",5.293461e+06,2.525592e+06,8.910408e+06,3.186519e+06,3.374612e+06,2.834180e+06,-7.868876e-01, 6.449078,2.342601e+00,1.625962e-01
"286","gene_0286",3.606305e+06,3.073263e+06,1.597174e+06,2.536047e+06,4.108613e+06,2.551139e+06, 2.214759e-01, 5.859670,2.849949e-01,6.379619e-01
"287","gene_0287",3.168701e+06,5.571020e+06,1.874092e+06,5.366463e+06,3.835465e+06,2.763969e+06, 2.592445e-01, 6.241368,2.667357e-01,6.188383e-01
"288","gene_0288",5.408623e+06,2.212982e+06,4.279468e+06,1.918876e+06,5.564150e+06,2.776238e+06,-1.658826e-01, 6.200594,1.018968e-01,7.573534e-01
"289","gene_0289",2.777952e+06,6.445943e+06,4.149224e+06,3.343946e+06,1.574683e+06,1.333402e+06,-1.014285e+00, 6.032417,3.753595e+00,8.693939e-02
"290","gene_0290",2.326968e+06,2.978924e+06,6.295808e+06,3.090717e+06,1.980221e+06,2.677416e+06,-5.363435e-01, 6.021930,1.214250e+00,3.010373e-01
"291","gene_0291",6.216452e+06,2.336569e+06,2.033312e+06,5.148783e+06,3.713325e+06,3.531697e+06, 3.149886e-01, 6.261637,3.849823e-01,5.513950e-01
"292","gene_0292",2.521918e+06,2.064084e+06,3.007827e+06,1.806530e+06,3.025034e+06,4.248670e+06, 2.938243e-01, 5.793460,5.431634e-01,5.254099e-01
"293","gene_0293",8.510497e+07,8.931072e+07,1.317904e+08,1.719996e+08,1.697598e+08,1.848295e+08, 8.314026e-01,11.451496,1.560010e+01,3.201990e-02
"294","gene_0294",4.188435e+06,1.956631e+06,4.778512e+06,2.872947e+06,3.281832e+06,2.534922e+06,-2.759415e-01, 6.034069,4.025376e-01,5.752906e-01
"295","gene_0295",1.884748e+06,1.857216e+06,6.711203e+06,3.105039e+06,3.782687e+06,2.562090e+06,-1.120017e-01, 6.068142,3.718827e-02,8.516599e-01
"296","gene_0296",3.175693e+06,6.127724e+06,1.846408e+06,3.575789e+06,1.044224e+06,4.780003e+06,-1.767230e-01, 6.090864,7.816982e-02,7.865493e-01
"297","gene_0297",2.852232e+06,3.046075e+06,2.847768e+06,3.013858e+06,2.155080e+06,2.851876e+06,-6.145045e-02, 5.807182,3.386550e-02,8.946390e-01
"298","gene_0298",2.601334e+06,3.774856e+06,2.046915e+06,3.863615e+06,1.982446e+06,3.136056e+06, 1.678258e-01, 5.863681,1.640183e-01,7.216425e-01
"299","gene_0299",7.006779e+06,2.604310e+06,4.008553e+06,4.152648e+06,9.339657e+05,3.330368e+06,-6.130203e-01, 6.194850,9.885891e-01,3.478411e-01
"300","gene_0300",4.641244e+06,2.080603e+06,3.208439e+06,4.186055e+06,1.881758e+06,4.533771e+06, 1.610496e-01, 6.099549,1.116856e-01,7.476352e-01
"301","gene_0301",2.394578e+06,3.742342e+06,3.116057e+06,2.079305e+06,1.773552e+06,4.853352e+06,-4.862392e-02, 5.897432,1.119508e-02,9.184864e-01
"302","gene_0302",2.897224e+06,2.215437e+06,3.009391e+06,3.515065e+06,4.036518e+06,6.868007e+06, 8.709481e-01, 6.233678,4.674398e+00,9.489175e-02
"303","gene_0303",2.032072e+06,3.481337e+06,3.860911e+06,2.338254e+06,2.680777e+06,5.232359e+06, 1.620246e-01, 6.030560,1.284295e-01,7.418255e-01
"304","gene_0304",5.611286e+06,3.933958e+06,3.014401e+06,3.889060e+06,3.703993e+06,5.169631e+06, 8.746353e-02, 6.394127,4.986183e-02,8.710520e-01
"305","gene_0305",4.751561e+06,2.616669e+06,4.351285e+06,2.956154e+06,3.935867e+06,2.547340e+06,-2.532545e-01, 6.140124,3.945303e-01,6.166411e-01
"306","gene_0306",3.175473e+06,3.910279e+06,8.117196e+06,2.139081e+06,2.635856e+06,2.243127e+06,-1.076823e+00, 6.214251,5.266121e+00,4.936063e-02
"307","gene_0307",3.612735e+06,6.483988e+06,6.250196e+06,8.807615e+06,6.982780e+06,8.218080e+06, 6.103364e-01, 7.084318,2.084421e+00,3.406840e-01
"308","gene_0308",1.225161e+06,7.688496e+06,1.762278e+06,2.919784e+06,2.574502e+07,3.641799e+06, 1.647829e+00, 7.165831,2.721395e+00,1.357896e-01
"309","gene_0309",2.649576e+06,3.686320e+06,1.386744e+06,4.390428e+06,2.843192e+06,3.980588e+06, 6.150676e-01, 5.986247,1.931013e+00,2.075067e-01
"310","gene_0310",4.215113e+06,2.351353e+06,2.740599e+06,4.945860e+06,2.483116e+06,2.383764e+06, 1.626572e-01, 6.005047,1.274313e-01,7.392190e-01
"311","gene_0311",1.450290e+06,5.026630e+06,2.357653e+06,3.842596e+06,6.058041e+06,3.153560e+06, 6.229569e-01, 6.196741,1.360558e+00,2.754623e-01
"312","gene_0312",8.279487e+06,2.225549e+06,1.093098e+07,1.826198e+07,7.716098e+06,1.042201e+07, 8.298998e-01, 7.617384,1.659598e+00,2.325567e-01
"313","gene_0313",1.414001e+07,1.405402e+07,2.019771e+06,1.609501e+07,1.003398e+07,9.973027e+06, 3.544377e-01, 7.790022,2.799633e-01,6.104083e-01
"314","gene_0314",2.297765e+06,3.875202e+06,3.571924e+06,1.462028e+06,3.080497e+07,4.631346e+06, 1.953101e+00, 7.283724,4.092316e+00,7.598868e-02
"315","gene_0315",1.263001e+08,1.057601e+08,1.164399e+08,1.491098e+08,1.499005e+08,1.787998e+08, 5.118890e-01,11.432173,1.227755e+01,1.848689e-01
