ID,geneName,ORF,Entrez,fullName,uniprot,GO,EC,KO,pfam,organism
M0R629,Adssl1,rCG_27771,684425,Adenylosuccinate synthetase isozyme 1,M0R629,GO:0005737; GO:0051015; GO:0004019; GO:0005525; GO:0003924; GO:0000287; GO:0042803; GO:0044208; GO:0006531; GO:0035690; GO:0071257; GO:0006541; GO:0046040; GO:0009168; GO:0014850; GO:0042594,6.3.4.4,K01939,,Rattus norvegicus
D3ZEX7,Spire1,rCG_46630,307348,"Spire homolog 1 (Drosophila) (Predicted), isoform CRA_b",D3ZEX7,GO:0005829; GO:0005654; GO:0003779; GO:0045010; GO:0051295; GO:0070649; GO:2000781; GO:0016192,,K02098,D3ZEX7:KIND(24|180),Rattus norvegicus
Q06647,Atp5po,,192241,"ATP synthase subunit O, mitochondrial",Q06647,GO:0009986; GO:0005753; GO:0000276; GO:0005739; GO:0005886; GO:1903924; GO:0044877; GO:0046933; GO:0046034; GO:0015986; GO:0071320; GO:0071345,,K02137,,Rattus norvegicus
P31399,Atp5pd,,641434,"ATP synthase subunit d, mitochondrial",P31399,GO:0005753; GO:0000276; GO:0000274; GO:0005739; GO:0005654; GO:0016887; GO:0044877; GO:0015078; GO:0099132; GO:0046034; GO:0015986; GO:1901653,,K02138,,Rattus norvegicus
D4ACG8,Fuom,rCG_48114,100911225; 293587,Fucose mutarotase-like,D4ACG8,GO:0042806; GO:0016857; GO:0006004; GO:0036065,,K02431,,Rattus norvegicus
D4A0E8,Prmt5,rCG_23370,364382,Protein arginine N-methyltransferase 5,D4A0E8,GO:0005829; GO:0005794; GO:0035097; GO:0034709; GO:0005634; GO:0032991; GO:0044020; GO:0008469; GO:0042802; GO:0008327; GO:0002039; GO:0046982; GO:0035243; GO:0044877; GO:0043021; GO:0006353; GO:0042118; GO:0090161; GO:0034969; GO:0097421; GO:0045596; GO:1904992; GO:0048714; GO:0006479; GO:0044030; GO:0070372; GO:0000387,2.1.1.-,K02516,D4A0E8:PRMT5_TIM(37|290)+PRMT5(297|464)+PRMT5_C(467|635),Rattus norvegicus
P17220,Psma2,,29669,Proteasome subunit alpha type-2,P17220,GO:0005737; GO:0005634; GO:0000932; GO:0005839; GO:0019773; GO:0004175; GO:0004298; GO:0010498; GO:0010499; GO:0043161,3.4.25.1,K02726,,Rattus norvegicus
P34062,Psma6,,29673,Proteasome subunit alpha type-6,P34062,GO:0005737; GO:0030016; GO:0016363; GO:0005654; GO:0005634; GO:0000932; GO:0005844; GO:0005839; GO:0019773; GO:0030017; GO:0004175; GO:0051059; GO:0003723; GO:0004298; GO:0051092; GO:0010498; GO:0010499; GO:0043161; GO:0051603,3.4.25.1,K02730,,Rattus norvegicus
P60901,Psma6,,29673,Proteasome subunit alpha type-6,P60901,GO:0005737; GO:0030016; GO:0016363; GO:0005654; GO:0005634; GO:0000932; GO:0005844; GO:0005839; GO:0019773; GO:0030017; GO:0004175; GO:0051059; GO:0003723; GO:0004298; GO:0051092; GO:0010498; GO:0010499; GO:0043161; GO:0051603,3.4.25.1,K02730,,Rattus norvegicus
A0A023IMI6,Psmb8,rCG_60749,24968,Proteasome subunit beta,A0A023IMI6,GO:0005737; GO:0005634; GO:0005839; GO:1990111; GO:0004298; GO:0019882; GO:0045444; GO:0051603; GO:0052548,3.4.25.1,K02740,,Rattus norvegicus
D3ZX69,Mrpl10,rCG_33641,691075,"39S ribosomal protein L10, mitochondrial",D3ZX69,GO:0042254,,K02864,,Rattus norvegicus
D4A131,Mrpl4,rCG_31896,363023,Mitochondrial ribosomal protein L4,D4A131,GO:0005762; GO:0003735; GO:0006412,,K02926,,Rattus norvegicus
Q6PED0,Rps27a,rCG_23287,100912032,"RCG23287, isoform CRA_a",Q6PED0,GO:0005840; GO:0003735; GO:0006412,,K02977,Q6PED0:Ubiquitin-like(1|76),Rattus norvegicus
Q5I0K8,Mrps7,,113958,"28S ribosomal protein S7, mitochondrial",Q5I0K8,GO:0005763; GO:0003729; GO:0019843; GO:0003735; GO:0032543; GO:0000028; GO:0006412,,K02992,,Rattus norvegicus
O88321,Psmd4,rCG_51785,83499,Antisecretory factor,O88321,GO:0005737; GO:0005829; GO:0005654; GO:0005634; GO:0008540; GO:0031593; GO:0008134; GO:0042044; GO:0043248; GO:0043161,,K03029,O88321:VWFA(5|188),Rattus norvegicus
Q5XIC6,Psmd12,,287772,"Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 12",Q5XIC6,GO:0005737; GO:0031595; GO:0008541; GO:0043161,,K03035,Q5XIC6:PCI(242|420),Rattus norvegicus
P49014,Psmc1,,117263,26S proteasome regulatory subunit 4,P49014,GO:0005829; GO:0016020; GO:0005654; GO:0005634; GO:0022624; GO:0008540; GO:0005524; GO:0016887; GO:0036402; GO:0017025; GO:1901215; GO:0030163,,K03062,,Rattus norvegicus
P62193,Psmc1,,117263,26S proteasome regulatory subunit 4,P62193,GO:0005829; GO:0016020; GO:0005654; GO:0005634; GO:0022624; GO:0008540; GO:0005524; GO:0016887; GO:0036402; GO:0017025; GO:1901215; GO:0030163,,K03062,,Rattus norvegicus
Q03527,Psmc1,,117263,26S proteasome regulatory subunit 4,Q03527,GO:0005829; GO:0016020; GO:0005654; GO:0005634; GO:0022624; GO:0008540; GO:0005524; GO:0016887; GO:0036402; GO:0017025; GO:1901215; GO:0030163,,K03062,,Rattus norvegicus
Q96AZ3,Psmc1,,117263,26S proteasome regulatory subunit 4,Q96AZ3,GO:0005829; GO:0016020; GO:0005654; GO:0005634; GO:0022624; GO:0008540; GO:0005524; GO:0016887; GO:0036402; GO:0017025; GO:1901215; GO:0030163,,K03062,,Rattus norvegicus
B2RYI2,Srp68,rCG_33954,363707,Signal recognition particle subunit SRP68,B2RYI2,GO:0005829; GO:0005925; GO:0005786; GO:0008312; GO:0030942; GO:0019904; GO:0043022; GO:0005047; GO:0042493; GO:0006614,,K03107,,Rattus norvegicus
D3ZVL3,Srp68,rCG_33954,363707,Signal recognition particle subunit SRP68,D3ZVL3,GO:0005829; GO:0005925; GO:0005786; GO:0008312; GO:0030942; GO:0019904; GO:0043022; GO:0005047; GO:0042493; GO:0006614,,K03107,,Rattus norvegicus
A0A0G2K747,Ssbp1,rCG_28002,54304,"Single-stranded DNA binding protein 1, isoform CRA_b",A0A0G2K747,GO:0003697; GO:0006260,,K03111,,Rattus norvegicus
Q68G11,Csnk2b,rCG_38305,81650,Casein kinase II subunit beta,Q68G11,GO:0005737; GO:0031519; GO:0005886; GO:0005956; GO:0003682; GO:0042802; GO:0019904; GO:0019887; GO:0004674; GO:0005102; GO:0008134; GO:0033211; GO:0061154; GO:0043537; GO:0018107; GO:0032927; GO:0010862,,K03115,,Rattus norvegicus
O08949,Gtf2a1,,83830,Transcription initiation factor IIA subunit 1,O08949,GO:0005829; GO:0005672; GO:0005669; GO:0003677; GO:0046982; GO:0016251; GO:0001103; GO:0017025; GO:0006366; GO:0006367,,K03122,,Rattus norvegicus
D3Z9G0,Traf3,rCG_27660,362788,TNF receptor-associated factor,D3Z9G0,GO:0035631; GO:0005737; GO:0009898; GO:0032991; GO:0005164; GO:0031625; GO:0008270; GO:0045087; GO:0032088; GO:0042981; GO:0001817; GO:0050688; GO:0030162; GO:0008063; GO:0033209,2.3.2.27,K03174,D3Z9G0:RING-type(52|91)+TRAF-type(134|189)+TRAF-type(191|248)+MATH(414|559),Rattus norvegicus
B5DEN5,Eef1b2,rCG_22471,363241,Eukaryotic translation elongation factor 1 beta 2,B5DEN5,GO:0005829; GO:0005853; GO:0005085; GO:0003746; GO:0045471; GO:0006414,,K03232,B5DEN5:EF-1_beta_acid(103|130)+EF1_GNE(139|225),Rattus norvegicus
Q4FZZ5,Eef1g,,293725,Elongation factor 1-gamma,Q4FZZ5,GO:0005737; GO:0005783; GO:0005634; GO:0003746; GO:0009615; GO:0006414,,K03233,Q68FR6|Q4FZZ5:GST N-terminal(2|87)+GST C-terminal(88|216)+EF-1-gamma C-terminal(276|437),Rattus norvegicus
Q68FR6,Eef1g,,293725,Elongation factor 1-gamma,Q68FR6,GO:0005737; GO:0005783; GO:0005634; GO:0003746; GO:0009615; GO:0006414,,K03233,Q68FR6|Q4FZZ5:GST N-terminal(2|87)+GST C-terminal(88|216)+EF-1-gamma C-terminal(276|437),Rattus norvegicus
P70541,Eif2b3,,171145,Translation initiation factor eIF-2B subunit gamma,P70541,GO:0005737; GO:0005851; GO:0005085; GO:0016779; GO:0003743; GO:0021766; GO:0014003; GO:0009749; GO:0009408; GO:0043434; GO:0050852; GO:0006412; GO:0006413,,K03241,,Rattus norvegicus
Q6IN08,Eif2b3,,171145,Translation initiation factor eIF-2B subunit gamma,Q6IN08,GO:0005737; GO:0005851; GO:0005085; GO:0016779; GO:0003743; GO:0021766; GO:0014003; GO:0009749; GO:0009408; GO:0043434; GO:0050852; GO:0006412; GO:0006413,,K03241,,Rattus norvegicus
Q5XI34,Ppp2r1a,rCG_22961,117281,"Protein phosphatase 2 (Formerly 2A), regulatory subunit A (PR 65), alpha isoform, isoform CRA_a",Q5XI34,GO:0000775; GO:0005737; GO:0005829; GO:0098978; GO:0005634; GO:0000159; GO:1990405; GO:0046982; GO:0019888; GO:0004722; GO:0007143; GO:0051754; GO:0051232; GO:0051306; GO:0070262; GO:2001241; GO:0065003; GO:1903538,,K03456,,Rattus norvegicus
Q63186,Eif2b4,,117019,Translation initiation factor eIF-2B subunit delta,Q63186,GO:0005737; GO:0005851; GO:0005085; GO:0003743; GO:0031369; GO:0021766; GO:0042552; GO:1905098; GO:0014003; GO:0001541; GO:0009749; GO:0009408; GO:0043434; GO:0050852; GO:0006413,,K03680,,Rattus norvegicus
Q07009,Capn2,,29154,Calpain-2 catalytic subunit,Q07009,GO:0042995; GO:0000785; GO:0005737; GO:0005829; GO:0030425; GO:0009897; GO:0005925; GO:0005794; GO:0005764; GO:0016020; GO:0045121; GO:0043025; GO:0005634; GO:0097038; GO:0005886; GO:0031143; GO:0005509; GO:0004198; GO:0008092; GO:0019899; GO:0046982; GO:0048266; GO:0001824; GO:0071230; GO:0035458; GO:0071222; GO:0007565; GO:0007520; GO:0010666; GO:1901741; GO:1901216; GO:2001247; GO:0016540; GO:0006508; GO:0051603; GO:0051493; GO:0032675; GO:0042542; GO:0001666,3.4.22.53,K03853,Q07009:Calpain catalytic(45|344)+EF-hand 1(572|605)+EF-hand 2(602|637)+EF-hand 3(667|700),Rattus norvegicus
Q561S0,Ndufa10,,316632; 678759,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Q561S0,GO:0005737; GO:0005759; GO:0005747; GO:0005739; GO:0006120; GO:0032981; GO:0042493,,K03954,,Rattus norvegicus
Q80WE0,Ndufa10,,316632; 678759,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",Q80WE0,GO:0005737; GO:0005759; GO:0005747; GO:0005739; GO:0006120; GO:0032981; GO:0042493,,K03954,,Rattus norvegicus
D3ZF13,Ndufab1,rCG_40178,293453,Acyl carrier protein,D3ZF13,GO:0005762; GO:0005747; GO:0005739; GO:0005654; GO:0000035; GO:0000036; GO:0032981; GO:0009249,,K03955,D3ZF13:Carrier(77|152),Rattus norvegicus
P08482,Chrm1,,25229,Muscarinic acetylcholine receptor M1,P08482,GO:0032279; GO:0043679; GO:0030054; GO:0098981; GO:0030425; GO:0098978; GO:0005887; GO:0099061; GO:0099056; GO:0016020; GO:0014069; GO:0098685; GO:0045202; GO:0016907; GO:0004930; GO:0004993; GO:0030594; GO:0099529; GO:0007197; GO:0007268; GO:0050890; GO:0007213; GO:0007187; GO:0007274; GO:0090316; GO:0043270; GO:0040012; GO:0046541,,K04129,,Rattus norvegicus
O88584,Lpar1,,116744,Lysophosphatidic acid receptor 1,O88584,GO:0009986; GO:0005737; GO:0043198; GO:0043197; GO:0030139; GO:0005768; GO:0005887; GO:0043005; GO:0043025; GO:0005886; GO:0004930; GO:0001965; GO:0035727; GO:0070915; GO:0030165; GO:0005543; GO:0000187; GO:0007202; GO:0007193; GO:0032060; GO:0007420; GO:0060326; GO:1904566; GO:0071453; GO:0021549; GO:0022038; GO:0007186; GO:0042552; GO:0043951; GO:0010977; GO:0022008; GO:0014003; GO:0021554; GO:0043065; GO:0010942; GO:0051482; GO:0060999; GO:0043123; GO:0043410; GO:0035025; GO:0071673; GO:0051496; GO:0008360,,K04289,,Rattus norvegicus
P56487,Lpar1,,116744,Lysophosphatidic acid receptor 1,P56487,GO:0009986; GO:0005737; GO:0043198; GO:0043197; GO:0030139; GO:0005768; GO:0005887; GO:0043005; GO:0043025; GO:0005886; GO:0004930; GO:0001965; GO:0035727; GO:0070915; GO:0030165; GO:0005543; GO:0000187; GO:0007202; GO:0007193; GO:0032060; GO:0007420; GO:0060326; GO:1904566; GO:0071453; GO:0021549; GO:0022038; GO:0007186; GO:0042552; GO:0043951; GO:0010977; GO:0022008; GO:0014003; GO:0021554; GO:0043065; GO:0010942; GO:0051482; GO:0060999; GO:0043123; GO:0043410; GO:0035025; GO:0071673; GO:0051496; GO:0008360,,K04289,,Rattus norvegicus
P61794,Lpar1,,116744,Lysophosphatidic acid receptor 1,P61794,GO:0009986; GO:0005737; GO:0043198; GO:0043197; GO:0030139; GO:0005768; GO:0005887; GO:0043005; GO:0043025; GO:0005886; GO:0004930; GO:0001965; GO:0035727; GO:0070915; GO:0030165; GO:0005543; GO:0000187; GO:0007202; GO:0007193; GO:0032060; GO:0007420; GO:0060326; GO:1904566; GO:0071453; GO:0021549; GO:0022038; GO:0007186; GO:0042552; GO:0043951; GO:0010977; GO:0022008; GO:0014003; GO:0021554; GO:0043065; GO:0010942; GO:0051482; GO:0060999; GO:0043123; GO:0043410; GO:0035025; GO:0071673; GO:0051496; GO:0008360,,K04289,,Rattus norvegicus
P70420,Lpar1,,116744,Lysophosphatidic acid receptor 1,P70420,GO:0009986; GO:0005737; GO:0043198; GO:0043197; GO:0030139; GO:0005768; GO:0005887; GO:0043005; GO:0043025; GO:0005886; GO:0004930; GO:0001965; GO:0035727; GO:0070915; GO:0030165; GO:0005543; GO:0000187; GO:0007202; GO:0007193; GO:0032060; GO:0007420; GO:0060326; GO:1904566; GO:0071453; GO:0021549; GO:0022038; GO:0007186; GO:0042552; GO:0043951; GO:0010977; GO:0022008; GO:0014003; GO:0021554; GO:0043065; GO:0010942; GO:0051482; GO:0060999; GO:0043123; GO:0043410; GO:0035025; GO:0071673; GO:0051496; GO:0008360,,K04289,,Rattus norvegicus
Q5FWS2,Lpar1,,116744,Lysophosphatidic acid receptor 1,Q5FWS2,GO:0009986; GO:0005737; GO:0043198; GO:0043197; GO:0030139; GO:0005768; GO:0005887; GO:0043005; GO:0043025; GO:0005886; GO:0004930; GO:0001965; GO:0035727; GO:0070915; GO:0030165; GO:0005543; GO:0000187; GO:0007202; GO:0007193; GO:0032060; GO:0007420; GO:0060326; GO:1904566; GO:0071453; GO:0021549; GO:0022038; GO:0007186; GO:0042552; GO:0043951; GO:0010977; GO:0022008; GO:0014003; GO:0021554; GO:0043065; GO:0010942; GO:0051482; GO:0060999; GO:0043123; GO:0043410; GO:0035025; GO:0071673; GO:0051496; GO:0008360,,K04289,,Rattus norvegicus
Q61130,Lpar1,,116744,Lysophosphatidic acid receptor 1,Q61130,GO:0009986; GO:0005737; GO:0043198; GO:0043197; GO:0030139; GO:0005768; GO:0005887; GO:0043005; GO:0043025; GO:0005886; GO:0004930; GO:0001965; GO:0035727; GO:0070915; GO:0030165; GO:0005543; GO:0000187; GO:0007202; GO:0007193; GO:0032060; GO:0007420; GO:0060326; GO:1904566; GO:0071453; GO:0021549; GO:0022038; GO:0007186; GO:0042552; GO:0043951; GO:0010977; GO:0022008; GO:0014003; GO:0021554; GO:0043065; GO:0010942; GO:0051482; GO:0060999; GO:0043123; GO:0043410; GO:0035025; GO:0071673; GO:0051496; GO:0008360,,K04289,,Rattus norvegicus
Q9JKM5,S1pr5,,60399,Sphingosine 1-phosphate receptor 5,Q9JKM5,GO:0016021; GO:0005886; GO:0004930; GO:0038036; GO:0045664,,K04295,,Rattus norvegicus
Q9QY79,S1pr5,,60399,Sphingosine 1-phosphate receptor 5,Q9QY79,GO:0016021; GO:0005886; GO:0004930; GO:0038036; GO:0045664,,K04295,,Rattus norvegicus
O88469,Rasgrp1,,29434,RAS guanyl-releasing protein 1,O88469,GO:0005829; GO:0005789; GO:0000139; GO:0042629; GO:0005886; GO:0005509; GO:0019992; GO:0031210; GO:0001786; GO:0042803; GO:0017034; GO:0008270; GO:0090630; GO:0030154; GO:0001816; GO:0002437; GO:0043303; GO:0070374; GO:0032725; GO:1902715; GO:0046330; GO:0043406; GO:0032825; GO:0045954; GO:0046579; GO:0033089; GO:0032760; GO:0051259; GO:0014066; GO:0032252; GO:0007264; GO:0047496,,K04350,Q9R1K8|O88469:N-terminal Ras-GEF(53|176)+Ras-GEF(205|436)+EF-hand 1(470|505)+EF-hand 2(497|532),Rattus norvegicus
Q9R1K8,Rasgrp1,,29434,RAS guanyl-releasing protein 1,Q9R1K8,GO:0005829; GO:0005789; GO:0000139; GO:0042629; GO:0005886; GO:0005509; GO:0019992; GO:0031210; GO:0001786; GO:0042803; GO:0017034; GO:0008270; GO:0090630; GO:0030154; GO:0001816; GO:0002437; GO:0043303; GO:0070374; GO:0032725; GO:1902715; GO:0046330; GO:0043406; GO:0032825; GO:0045954; GO:0046579; GO:0033089; GO:0032760; GO:0051259; GO:0014066; GO:0032252; GO:0007264; GO:0047496,,K04350,Q9R1K8|O88469:N-terminal Ras-GEF(53|176)+Ras-GEF(205|436)+EF-hand 1(470|505)+EF-hand 2(497|532),Rattus norvegicus
P11345,Raf1,,24703,RAF proto-oncogene serine/threonine-protein kinase,P11345,GO:0005737; GO:0005829; GO:0005794; GO:0005739; GO:0016607; GO:0005886; GO:0031143; GO:0010856; GO:0008179; GO:0005524; GO:0042802; GO:0004709; GO:0046872; GO:0031434; GO:0046982; GO:0004674; GO:0017016; GO:0007190; GO:0030154; GO:0071550; GO:0060324; GO:0007507; GO:0035773; GO:0045104; GO:0035556; GO:0000165; GO:0008285; GO:1902042; GO:0031333; GO:0048011; GO:0033138; GO:0045944; GO:0006468; GO:0001666; GO:0035994; GO:0035019; GO:0048538; GO:0030878,2.7.11.1,K04366,P11345:RBD(56|131)+Protein kinase(349|609),Rattus norvegicus
A0JN15,Map2k2,,58960,Dual specificity mitogen-activated protein kinase kinase 2,A0JN15,GO:0005938; GO:0005737; GO:0005829; GO:0005769; GO:0005925; GO:0005794; GO:0005770; GO:0016020; GO:0005739; GO:0005634; GO:0005524; GO:0004708; GO:0046872; GO:0060090; GO:0004674; GO:0004712; GO:0004713; GO:0000187; GO:0032147; GO:0060502; GO:0070371; GO:0060324; GO:0007507; GO:0010629; GO:0050772; GO:2000147; GO:0006468; GO:0048679; GO:2000641; GO:0090170; GO:0032872; GO:0023014; GO:0031098; GO:0048538; GO:0030878; GO:0060440,2.7.12.2,K04369,P36506|A0JN15:Protein kinase(72|369),Rattus norvegicus
P36506,Map2k2,,58960,Dual specificity mitogen-activated protein kinase kinase 2,P36506,GO:0005938; GO:0005737; GO:0005829; GO:0005769; GO:0005925; GO:0005794; GO:0005770; GO:0016020; GO:0005739; GO:0005634; GO:0005524; GO:0004708; GO:0046872; GO:0060090; GO:0004674; GO:0004712; GO:0004713; GO:0000187; GO:0032147; GO:0060502; GO:0070371; GO:0060324; GO:0007507; GO:0010629; GO:0050772; GO:2000147; GO:0006468; GO:0048679; GO:2000641; GO:0090170; GO:0032872; GO:0023014; GO:0031098; GO:0048538; GO:0030878; GO:0060440,2.7.12.2,K04369,P36506|A0JN15:Protein kinase(72|369),Rattus norvegicus
Q5U204,Lamtor3,,362045,Ragulator complex protein LAMTOR3,Q5U204,GO:0071986; GO:0005085; GO:0019209; GO:0060090; GO:0000186; GO:0034613; GO:0071230; GO:0032008,,K04370,,Rattus norvegicus
Q63768,Crk,,54245,Adapter molecule crk,Q63768,GO:0015629; GO:0005829; GO:0045121; GO:0005886; GO:0032991; GO:0008092; GO:0019899; GO:0046875; GO:0005159; GO:0001784; GO:0030674; GO:0019904; GO:0043621; GO:1990782; GO:0097110; GO:0042169; GO:0017124; GO:0005070; GO:0090630; GO:0007257; GO:0060326; GO:1990859; GO:1990314; GO:1990090; GO:0071732; GO:0071560; GO:0098749; GO:0021987; GO:0016358; GO:0048013; GO:0030010; GO:0035685; GO:0021766; GO:0006629; GO:2000146; GO:0045953; GO:0061045; GO:0001764; GO:0014911; GO:1900026; GO:0038026; GO:0032956; GO:0033628; GO:0008360; GO:0051270; GO:0050773; GO:0043087; GO:0043393; GO:0035020; GO:2000404; GO:0061847; GO:0035728; GO:0042542; GO:1901652; GO:0001878,,K04438,Q63768:SH2(13|118)+SH3 1(132|192)+SH3 2(235|296),Rattus norvegicus
P47196,Akt1,,24185,RAC-alpha serine/threonine-protein kinase,P47196,GO:0005911; GO:0036064; GO:0005737; GO:0005829; GO:0005739; GO:0005654; GO:0005634; GO:0005886; GO:0032991; GO:0005819; GO:0031982; GO:0071889; GO:0005524; GO:0005516; GO:0019899; GO:0032794; GO:0030235; GO:0005547; GO:0043325; GO:0042803; GO:0004672; GO:0019901; GO:0005080; GO:0051721; GO:0004674; GO:0004712; GO:0006924; GO:0007568; GO:0008637; GO:0008643; GO:0002042; GO:0030030; GO:0071276; GO:0006974; GO:0071364; GO:0097011; GO:0071456; GO:0032869; GO:0071260; GO:1990090; GO:0071407; GO:0140052; GO:0071380; GO:0034614; GO:0071356; GO:0035924; GO:0007173; GO:0072655; GO:0097194; GO:0007281; GO:0042593; GO:0006006; GO:0005978; GO:0060709; GO:0030212; GO:0007249; GO:0006954; GO:0008286; GO:0048009; GO:0035655; GO:0035556; GO:0060716; GO:0031663; GO:0072656; GO:0001893; GO:0043066; GO:0010507; GO:0045792; GO:0043154; GO:0031999; GO:0010629; GO:0046329; GO:1903038; GO:0010748; GO:2000402; GO:0032091; GO:0006469; GO:0031397; GO:0090201; GO:0038061; GO:0001649; GO:0018105; GO:0018107; GO:0032287; GO:0014065; GO:0016310; GO:0043065; GO:0043536; GO:0030307; GO:0032270; GO:0045737; GO:0051091; GO:0032079; GO:0001938; GO:0045600; GO:0010763; GO:1900087; GO:0046326; GO:0045725; GO:1903721; GO:0046889; GO:0010918; GO:0045429; GO:0051000; GO:0046622; GO:0033138; GO:0032436; GO:2000010; GO:1900182; GO:1903078; GO:0048661; GO:0010765; GO:0045944; GO:0045907; GO:0030163; GO:0006606; GO:0043491; GO:0006468; GO:0016567; GO:0042981; GO:0030334; GO:0031641; GO:0010975; GO:0032880; GO:0006417; GO:0034405; GO:0032094; GO:0060416; GO:1990418; GO:0006979; GO:0070141; GO:0007165; GO:0021510; GO:0051146; GO:0006412,2.7.11.1,K04456,P47196:PH(5|108)+Protein kinase(150|408)+AGC-kinase C-terminal(409|480),Rattus norvegicus
Q3MHT2,Nfs1,rCG_37411,100911034; 84594,"Cysteine desulfurase, mitochondrial",Q3MHT2,GO:0031071; GO:0030170; GO:0044571,,K04487,Q3MHT2:Aminotran_5(62|423),Rattus norvegicus
Q9EQH5,Ctbp2,,81717,C-terminal-binding protein 2,Q9EQH5,GO:0030054; GO:0098982; GO:0098978; GO:0005634; GO:0098684; GO:0098831; GO:0099523; GO:0017053; GO:0003682; GO:0051287; GO:0016616; GO:0019901; GO:0044877; GO:0042974; GO:0098882; GO:0003713; GO:0003714; GO:1990830; GO:0045892; GO:0035563; GO:0048386; GO:0045944; GO:0016081; GO:0050872,,K04496,,Rattus norvegicus
D4ABM3,Daam1,rCG_61929,314212,Dishevelled associated activator of morphogenesis 1 (Predicted),D4ABM3,GO:0036064; GO:0005829; GO:0031514; GO:0005886; GO:0001725; GO:0003779; GO:0042802; GO:0017048; GO:0030036,,K04512,D4ABM3:GBD/FH3(45|420)+FH2(500|899)+DAD(917|948),Rattus norvegicus
P08592,App,,54226,Amyloid-beta A4 protein,P08592,GO:0045177; GO:0097449; GO:0030424; GO:0009986; GO:0005911; GO:0035253; GO:0005905; GO:0030134; GO:0005737; GO:0043198; GO:0043197; GO:0005769; GO:0005615; GO:0005794; GO:0005798; GO:0030426; GO:1990812; GO:1990761; GO:0016021; GO:0044304; GO:0045121; GO:0031594; GO:0043005; GO:0005641; GO:0043204; GO:0048471; GO:0005886; GO:0048786; GO:0043235; GO:0055037; GO:0005791; GO:0005790; GO:0051233; GO:0043195; GO:0003677; GO:0019899; GO:0070851; GO:0008201; GO:0042802; GO:0016504; GO:0051425; GO:0004867; GO:0030546; GO:0046914; GO:0000187; GO:0008344; GO:1990000; GO:0019731; GO:0019732; GO:0061844; GO:0002265; GO:0008088; GO:0016199; GO:0007409; GO:0007155; GO:0006878; GO:1904646; GO:0071320; GO:0071280; GO:0071287; GO:1990090; GO:0071874; GO:0008203; GO:0050890; GO:0048669; GO:0050829; GO:0050830; GO:0016358; GO:0006897; GO:0030198; GO:0030900; GO:0045087; GO:0035235; GO:0007626; GO:0007617; GO:0014005; GO:0090647; GO:0098815; GO:0006378; GO:0008285; GO:0010629; GO:1900272; GO:0045665; GO:0050885; GO:0051402; GO:0031175; GO:1990535; GO:0016322; GO:0007219; GO:1905908; GO:1902004; GO:0061890; GO:0045080; GO:0070374; GO:0010971; GO:0045821; GO:0050725; GO:0045410; GO:0046330; GO:1900273; GO:1903980; GO:0045931; GO:0051092; GO:1901224; GO:0033138; GO:0010800; GO:0032092; GO:0051247; GO:2000406; GO:0045944; GO:0042535; GO:0006468; GO:0007176; GO:0048169; GO:0040014; GO:1905606; GO:1905945; GO:0150003; GO:0050803; GO:0006417; GO:0070555; GO:0010288; GO:0006979; GO:0009314; GO:0001878; GO:0051563; GO:0001967; GO:0051124; GO:0032640; GO:0008542,,K04520,P08592|Q547B7:E1(28|189)+BPTI/Kunitz inhibitor(291|341)+E2(374|565),Rattus norvegicus
