UniqueId,ReactionCounts,EnzymeCounts,CommonName,SuperPathway,GeneObjects
P2-PWY,2,1,2'-(5'-phosphoribosyl)-3'-dephospho-CoA biosynthesis I (citrate lyase),False,XOC_2066
PWY-4261,2,3,glycerol degradation I,False,XOC_0318; XOC_4553; XOC_4554
PWY-7082,4,3,ammonia oxidation IV (autotrophic ammonia oxidizers),False,XOC_2037; XOC_2038; XOC_2039
KDO-LIPASYN-PWY,2,2,(KDO)<sub>2</sub>-lipid A biosynthesis I,False,XOC_3728; XOC_4122
TYRSYN,3,3,tyrosine biosynthesis I,False,XOC_0156; XOC_1743; XOC_2877
PWY-5436,2,2,threonine degradation IV,False,XOC_0933; XOC_4210
PWY0-1325,2,2,superpathway of asparagine biosynthesis,True,XOC_2999; XOC_3054
PWY-6543,2,1,4-aminobenzoate biosynthesis,False,XOC_1178
LEUSYN-PWY,6,4,leucine biosynthesis,False,XOC_0982; XOC_3717; XOC_3720; XOC_3721
ASPARTATE-DEG1-PWY,1,2,aspartate degradation I,False,XOC_0156; XOC_3762
PWY-4381,3,9,fatty acid biosynthesis initiation I,False,XOC_0329; XOC_0417; XOC_1172; XOC_1174; XOC_1882; XOC_2363; XOC_3086; XOC_4157; XOC_4159
BETSYN-PWY,2,2,glycine betaine biosynthesis I (Gram-negative bacteria),False,XOC_0770; XOC_0771
PWY-6464,2,1,polyvinyl alcohol degradation,False,XOC_0353
NONOXIPENT-PWY,5,4,pentose phosphate pathway (non-oxidative branch),False,XOC_0954; XOC_3624; XOC_3668; XOC_4214
PWY-6124,5,5,inosine-5'-phosphate biosynthesis II,False,XOC_1758; XOC_2910; XOC_2911; XOC_4172; XOC_4216
GLUDEG-II-PWY,4,9,glutamate degradation VII (to butanoate),True,XOC_0366; XOC_1788; XOC_1811; XOC_2238; XOC_2241; XOC_2424; XOC_3155; XOC_3193; XOC_3194
HOMOSER-METSYN-PWY,5,8,methionine biosynthesis I,False,XOC_1782; XOC_1783; XOC_1784; XOC_1785; XOC_1786; XOC_3218; XOC_3870; XOC_4351
PWY-7003,11,12,glycerol degradation to butanol,False,XOC_0216; XOC_0280; XOC_1100; XOC_1243; XOC_1554; XOC_2794; XOC_2940; XOC_3155; XOC_3587; XOC_3589; XOC_3592; XOC_3839
GLUCOSE1PMETAB-PWY,6,6,glucose and glucose-1-phosphate degradation,False,XOC_0624; XOC_0939; XOC_2608; XOC_3255; XOC_3326; XOC_4230
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,4,8,protocatechuate degradation II (ortho-cleavage pathway),False,XOC_0929; XOC_1120; XOC_2275; XOC_4541; XOC_4542; XOC_4543; XOC_4544; XOC_4545
PWY0-1317,2,1,L-lactaldehyde degradation (aerobic),False,XOC_0160
PWY-5345,5,20,superpathway of methionine biosynthesis (by sulfhydrylation),True,XOC_0156; XOC_1782; XOC_1783; XOC_1784; XOC_1785; XOC_1786; XOC_2197; XOC_2728; XOC_2959; XOC_3216; XOC_3217; XOC_3219; XOC_3568; XOC_3569; XOC_3570; XOC_3571; XOC_3572; XOC_3573; XOC_3762; XOC_4351
PWY-5989,5,7,stearate biosynthesis II (bacteria and plants),False,XOC_0409; XOC_0417; XOC_0437; XOC_1175; XOC_2362; XOC_3890; XOC_3947
PWY-4984,5,6,urea cycle,False,XOC_2251; XOC_2253; XOC_2744; XOC_2750; XOC_2751; XOC_4304
PWY-2301,2,1,<i>myo</i>-inositol biosynthesis,False,XOC_2117
TRESYN-PWY,2,2,trehalose biosynthesis I,False,XOC_3487; XOC_3489
PWY-6028,2,0,acetoin degradation,False,
PWY-1881,1,1,formate oxidation to CO<sub>2</sub>,False,XOC_1992
GLUTSYNIII-PWY,1,2,glutamate biosynthesis III,False,XOC_0134; XOC_0135
FERMENTATION-PWY,16,15,mixed acid fermentation,False,XOC_0592; XOC_0827; XOC_0872; XOC_0933; XOC_1121; XOC_1303; XOC_1763; XOC_2270; XOC_2273; XOC_2602; XOC_2934; XOC_3019; XOC_3587; XOC_3645; XOC_3735
PWY-6613,2,2,"tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate",False,XOC_1451; XOC_2681
HEMESYN2-PWY,4,5,heme biosynthesis from uroporphyrinogen-III II,False,XOC_0065; XOC_0432; XOC_1387; XOC_3657; XOC_4481
PWY-6268,1,2,adenosylcobalamin salvage from cobalamin,False,XOC_0920; XOC_3397
PWY-6122,5,6,5-aminoimidazole ribonucleotide biosynthesis II,False,XOC_1105; XOC_1303; XOC_1451; XOC_1454; XOC_3809; XOC_4173
PWY0-181,5,1,pyrimidine deoxyribonucleotides salvage,False,XOC_4651
PYRIDNUCSYN-PWY,6,4,NAD biosynthesis I (from aspartate),False,XOC_1669; XOC_2602; XOC_2913; XOC_3501
GLUT-REDOX-PWY,2,1,glutathione redox reactions II,False,XOC_1702
PWY-6963,2,4,ammonia assimilation cycle I,False,XOC_0134; XOC_0135; XOC_0293; XOC_1999
PWY-841,6,14,purine nucleotides <i>de novo</i> biosynthesis II,True,XOC_1105; XOC_1213; XOC_1451; XOC_1454; XOC_1758; XOC_2679; XOC_2680; XOC_2910; XOC_2911; XOC_3809; XOC_4172; XOC_4173; XOC_4216; XOC_4487
PWY-6612,3,8,superpathway of tetrahydrofolate biosynthesis,True,XOC_0214; XOC_0551; XOC_0746; XOC_0911; XOC_1102; XOC_1178; XOC_2168; XOC_2780
TREHALOSESYN-PWY,2,2,trehalose biosynthesis III,False,XOC_3487; XOC_3489
THIOREDOX-PWY,2,1,thioredoxin pathway,False,XOC_2411
PWY-6443,7,1,"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)",False,XOC_0306
PWY0-1275,2,1,lipoate biosynthesis and incorporation II,False,XOC_0727
PWY-6578,2,1,7-keto-8-aminopelargonate biosynthesis III,False,XOC_4512
PWY-6614,3,3,tetrahydrofolate biosynthesis,False,XOC_0911; XOC_1102; XOC_2780
FASYN-ELONG-PWY,5,10,fatty acid elongation -- saturated,False,XOC_0329; XOC_0409; XOC_0417; XOC_1172; XOC_1175; XOC_1882; XOC_2362; XOC_2363; XOC_3081; XOC_3947
PWY-6894,2,2,thiamin diphosphate biosynthesis I (E. coli),False,XOC_0818; XOC_3672
METHIONINE-DEG1-PWY,3,2,methionine degradation I (to homocysteine),False,XOC_0870; XOC_0878
GALDEG-PWY,2,1,galactose degradation II,False,XOC_0862
PWY-5360,1,2,superpathway of tetrathionate reduction (<i>Salmonella typhimurium</i>),False,XOC_3570; XOC_3573
PWY-6620,2,1,guanine and guanosine salvage I,False,XOC_3171
PLPSAL-PWY,5,2,pyridoxal 5'-phosphate salvage pathway,False,XOC_1391; XOC_1742
PWY0-1466,2,2,trehalose degradation VI (periplasmic),False,XOC_0659; XOC_3425
PWY-2201,12,13,folate transformations I,False,XOC_0806; XOC_0857; XOC_1274; XOC_1782; XOC_1783; XOC_1784; XOC_1785; XOC_1786; XOC_2681; XOC_3666; XOC_4210; XOC_4356; XOC_4360
PWY-5298,3,2,lysine degradation VI,False,XOC_1952; XOC_2193
NADPHOS-DEPHOS-PWY,3,5,NAD phosphorylation and dephosphorylation,False,XOC_0971; XOC_0977; XOC_0978; XOC_1824; XOC_4644
TRNA-CHARGING-PWY,20,22,tRNA charging,False,XOC_0524; XOC_0946; XOC_1606; XOC_1666; XOC_1839; XOC_1858; XOC_1862; XOC_1863; XOC_2213; XOC_2262; XOC_2754; XOC_2770; XOC_2873; XOC_3108; XOC_3364; XOC_3462; XOC_3820; XOC_3829; XOC_4234; XOC_4300; XOC_4492; XOC_4494
BSUBPOLYAMSYN-PWY,2,2,spermidine biosynthesis I,False,XOC_4201; XOC_4242
PWY-5314,2,0,lysine degradation VIII,False,
HISTSYN-PWY,10,10,histidine biosynthesis,False,XOC_2215; XOC_2216; XOC_2217; XOC_2218; XOC_2219; XOC_2220; XOC_2222; XOC_3680; XOC_3681; XOC_3682
DETOX1-PWY,2,8,superoxide radicals degradation,False,XOC_0298; XOC_0299; XOC_1265; XOC_2116; XOC_2312; XOC_2909; XOC_4290; XOC_4325
PWY-5647,7,2,2-nitrobenzoate degradation I,False,XOC_0933; XOC_1833
ALADEG-PWY,2,2,alanine degradation I,False,XOC_1701; XOC_3958
PWY-1622,13,13,formaldehyde assimilation I (serine pathway),False,XOC_0216; XOC_0280; XOC_0806; XOC_0872; XOC_1100; XOC_1243; XOC_1554; XOC_2794; XOC_2960; XOC_3504; XOC_4210; XOC_4629; XOC_4672
ARGSYNBSUB-PWY,9,9,arginine biosynthesis II (acetyl cycle),False,XOC_2251; XOC_2253; XOC_2744; XOC_2745; XOC_2746; XOC_2747; XOC_2750; XOC_2751; XOC_3688
PWY-6892,6,2,thiazole biosynthesis I (E. coli),False,XOC_1472; XOC_1883
PWY3O-210,1,1,glutamate degradation IX (via 4-aminobutyrate),False,XOC_2171
KDO-NAGLIPASYN-PWY,7,13,superpathway of (KDO)<SUB>2</SUB>-lipid A biosynthesis,True,XOC_0850; XOC_1110; XOC_1443; XOC_1444; XOC_2587; XOC_2588; XOC_2796; XOC_3080; XOC_3082; XOC_3083; XOC_3727; XOC_3728; XOC_4122
ENTNER-DOUDOROFF-PWY,2,2,Entner-Doudoroff pathway I,False,XOC_2610; XOC_2611
GLUAMCAT-PWY,2,1,<i>N</i>-acetylglucosamine degradation I,False,XOC_0763
PWY-6151,5,7,<i>S</i>-adenosyl-L-methionine cycle I,True,XOC_0878; XOC_1782; XOC_1783; XOC_1784; XOC_1785; XOC_1786; XOC_4351
PANTO-PWY,4,4,phosphopantothenate biosynthesis I,False,XOC_2169; XOC_2170; XOC_4094; XOC_4312
SAM-PWY,1,1,S-adenosyl-L-methionine biosynthesis,False,XOC_0878
COBALSYN-PWY,6,6,adenosylcobalamin salvage from cobinamide I,False,XOC_0920; XOC_1100; XOC_3392; XOC_3394; XOC_3396; XOC_3397
PWY-6517,4,1,<i>N</i>-acetylglucosamine degradation II,True,XOC_0763
PWY-6952,2,4,glycerophosphodiester degradation,False,XOC_0318; XOC_1077; XOC_1199; XOC_4681
ARGSYN-PWY,5,10,arginine biosynthesis I,True,XOC_2251; XOC_2253; XOC_2744; XOC_2745; XOC_2746; XOC_2747; XOC_2748; XOC_2750; XOC_2751; XOC_3688
PWY-6126,8,15,adenosine nucleotides <i>de novo</i> biosynthesis,False,XOC_0454; XOC_0455; XOC_1213; XOC_1758; XOC_2349; XOC_2427; XOC_3699; XOC_3914; XOC_3915; XOC_3916; XOC_3917; XOC_3918; XOC_3919; XOC_3920; XOC_3921
PWY-4341,1,2,glutamate biosynthesis V,False,XOC_0134; XOC_0135
PENTOSE-P-PWY,2,8,pentose phosphate pathway,True,XOC_0442; XOC_0738; XOC_0954; XOC_2607; XOC_2609; XOC_3624; XOC_3668; XOC_4214
PWY-7184,9,7,pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I,False,XOC_0454; XOC_0455; XOC_0909; XOC_1749; XOC_2427; XOC_4231; XOC_4308
PYRUVOX-PWY,1,1,pyruvate oxidation pathway,False,XOC_0320
PWY-6708,8,6,ubiquinol-8 biosynthesis (prokaryotic),False,XOC_0340; XOC_0704; XOC_0922; XOC_0923; XOC_2125; XOC_2774
PWY-5188,6,6,tetrapyrrole biosynthesis I (from glutamate),False,XOC_0312; XOC_0682; XOC_0998; XOC_1606; XOC_3674; XOC_4340
PWY-6891,7,3,thiazole biosynthesis II (Bacillus),False,XOC_1472; XOC_1883; XOC_1906
LACTOSEUTIL-PWY,3,3,lactose degradation II,False,XOC_2832; XOC_3201; XOC_3273
PWY-3001,4,15,isoleucine biosynthesis I,True,XOC_0156; XOC_0982; XOC_2197; XOC_2198; XOC_2208; XOC_2959; XOC_3216; XOC_3217; XOC_3713; XOC_3714; XOC_3715; XOC_3716; XOC_3762; XOC_4521; XOC_4569
THRESYN-PWY,3,8,threonine biosynthesis,True,XOC_0156; XOC_2197; XOC_2198; XOC_2208; XOC_2959; XOC_3216; XOC_3217; XOC_3762
PWY-5988,1,4,wound-induced proteolysis I,False,XOC_0676; XOC_0707; XOC_3817; XOC_4287
PWY-5507,14,9,adenosylcobalamin biosynthesis I (early cobalt insertion),True,XOC_0920; XOC_1100; XOC_2454; XOC_3392; XOC_3394; XOC_3396; XOC_3397; XOC_3580; XOC_4222
CENTFERM-PWY,7,8,pyruvate fermentation to butanoate,False,XOC_1788; XOC_1811; XOC_2238; XOC_2241; XOC_2424; XOC_3155; XOC_3193; XOC_3194
PWY-1269,4,4,CMP-KDO biosynthesis I,False,XOC_1443; XOC_1444; XOC_2587; XOC_2796
ANAGLYCOLYSIS-PWY,10,16,glycolysis III (glucokinase),False,XOC_0216; XOC_0280; XOC_1100; XOC_1243; XOC_1554; XOC_2172; XOC_2608; XOC_2794; XOC_2940; XOC_3255; XOC_3326; XOC_3585; XOC_3587; XOC_3589; XOC_3592; XOC_3700
PWY0-1319,4,3,CDP-diacylglycerol biosynthesis II,False,XOC_0318; XOC_3075; XOC_4636
CYSTSYN-PWY,2,3,cysteine biosynthesis I,False,XOC_2071; XOC_3581; XOC_3893
PWY-6755,6,4,<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I,False,XOC_1852; XOC_2226; XOC_2228; XOC_2718
PWY-5148,1,1,acyl-CoA hydrolysis,False,XOC_0900
PWY-6317,6,2,galactose degradation I (Leloir pathway),False,XOC_3425; XOC_3948
FAO-PWY,7,17,fatty acid &beta;-oxidation I,False,XOC_0306; XOC_0417; XOC_1885; XOC_2238; XOC_2241; XOC_2267; XOC_2423; XOC_2424; XOC_3003; XOC_3189; XOC_3193; XOC_3194; XOC_3195; XOC_3235; XOC_3609; XOC_4546; XOC_4591
1CMET2-PWY,12,17,formylTHF biosynthesis I,False,XOC_0806; XOC_0857; XOC_0909; XOC_0911; XOC_1102; XOC_1274; XOC_1749; XOC_1782; XOC_1783; XOC_1784; XOC_1785; XOC_1786; XOC_2681; XOC_3666; XOC_4210; XOC_4356; XOC_4360
PWY0-1021,1,1,alanine biosynthesis III,False,XOC_1472
PWY4FS-8,3,5,phosphatidylglycerol biosynthesis II (non-plastidic),True,XOC_0318; XOC_2184; XOC_2583; XOC_3075; XOC_4636
PWY-5970,1,1,fatty acids biosynthesis (yeast),False,XOC_0417
PHOSLIPSYN-PWY,4,12,phospholipid biosynthesis I,True,XOC_0016; XOC_0205; XOC_0282; XOC_0318; XOC_0388; XOC_2184; XOC_2583; XOC_2656; XOC_2964; XOC_3075; XOC_3827; XOC_4636
PWY0-381,2,6,glycerol and glycerophosphodiester degradation,True,XOC_0318; XOC_1077; XOC_1199; XOC_4553; XOC_4554; XOC_4681
PWY-5655,2,7,tryptophan degradation IX,True,XOC_0494; XOC_0933; XOC_1830; XOC_1831; XOC_1833; XOC_2718; XOC_3385
CHOLINE-BETAINE-ANA-PWY,2,2,choline degradation I,False,XOC_0770; XOC_0771
PWY0-1353,2,10,succinate to cytochrome <i>bd</i> oxidase electron transfer,False,XOC_1426; XOC_1427; XOC_2600; XOC_2602; XOC_2604; XOC_2733; XOC_2734; XOC_3457; XOC_4006; XOC_4007
PWY-7185,7,3,UTP and CTP dephosphorylation I,False,XOC_0425; XOC_2797; XOC_4644
GLYCLEAV-PWY,3,2,glycine cleavage,False,XOC_2877; XOC_3246
PANTOSYN-PWY,3,8,pantothenate and coenzyme A biosynthesis I,True,XOC_1941; XOC_2169; XOC_2170; XOC_2171; XOC_3515; XOC_4094; XOC_4232; XOC_4312
ARG-GLU-PWY,2,1,arginine degradation VII (arginase 3 pathway),False,XOC_4304
ASPARAGINE-DEG1-PWY,1,1,asparagine degradation I,False,XOC_0985
PWY-6700,4,4,queuosine biosynthesis,False,XOC_0589; XOC_1956; XOC_1957; XOC_2091
PWY-6336,5,1,protocatechuate degradation III (<I>para</I>-cleavage pathway),False,XOC_0933
PYRIDOXSYN-PWY,8,6,pyridoxal 5'-phosphate biosynthesis I,False,XOC_0014; XOC_1391; XOC_1883; XOC_2232; XOC_2878; XOC_3592
PWY-5344,2,7,homocysteine biosynthesis,False,XOC_1782; XOC_1783; XOC_1784; XOC_1785; XOC_1786; XOC_2728; XOC_3219
PWY0-845,2,7,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,True,XOC_0014; XOC_1391; XOC_1742; XOC_1883; XOC_2232; XOC_2878; XOC_3592
BIOTIN-BIOSYNTHESIS-PWY,2,9,biotin biosynthesis I,True,XOC_0409; XOC_1175; XOC_2015; XOC_2362; XOC_3253; XOC_3884; XOC_3947; XOC_4511; XOC_4512
PWY0-1314,1,1,fructose degradation,False,XOC_1974
BGALACT-PWY,1,2,lactose degradation III,False,XOC_3201; XOC_3273
PWY-1801,3,6,formaldehyde oxidation II (glutathione-dependent),False,XOC_0372; XOC_0794; XOC_0796; XOC_0797; XOC_1793; XOC_4010
SERSYN-PWY,3,3,serine biosynthesis,False,XOC_0060; XOC_2232; XOC_2878
GLYSYN-THR-PWY,1,1,glycine biosynthesis IV,False,XOC_4210
SULFATE-CYS-PWY,3,12,superpathway of sulfate assimilation and cysteine biosynthesis,True,XOC_0060; XOC_2071; XOC_2232; XOC_2878; XOC_3568; XOC_3569; XOC_3570; XOC_3571; XOC_3572; XOC_3573; XOC_3581; XOC_3893
PWY-2661,3,5,trehalose biosynthesis V,False,XOC_0249; XOC_0250; XOC_4411; XOC_4413; XOC_4415
GLUTAMINEFUM-PWY,1,2,glutamine degradation II,False,XOC_0134; XOC_0135
AST-PWY,5,2,arginine degradation II (AST pathway),False,XOC_0933; XOC_3688
