A,catalog,counts
Metabolism,K01595  ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31],2
Metabolism,K00024  mdh; malate dehydrogenase [EC:1.1.1.37],2
Metabolism,"K01676  E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]",1
Metabolism,"K01679  E4.2.1.2B, fumC; fumarate hydratase, class II [EC:4.2.1.2]",2
Metabolism,"K00239  sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]",2
Metabolism,"K00240  sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]",2
Metabolism,"K00241  sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit",2
Metabolism,"K00242  sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit",2
Metabolism,K01902  sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5],2
Metabolism,K01903  sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5],2
Metabolism,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]",1
Metabolism,"K00031  IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]",2
Metabolism,"K01681  ACO, acnA; aconitate hydratase [EC:4.2.1.3]",2
Metabolism,K01682  acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99],1
Metabolism,K01962  accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2],2
Metabolism,"K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein",2
Metabolism,"K01961  accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",2
Metabolism,K01963  accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2],2
Metabolism,K01847  MUT; methylmalonyl-CoA mutase [EC:5.4.99.2],1
Metabolism,K01491  folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9],2
Metabolism,"K00297  metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]",1
Metabolism,K13788  pta; phosphate acetyltransferase [EC:2.3.1.8],1
Metabolism,K00925  ackA; acetate kinase [EC:2.7.2.1],1
Metabolism,"K00121  frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]",2
Metabolism,"K01070  frmB, ESD, fghA; S-formylglutathione hydrolase [EC:3.1.2.12]",1
Metabolism,"K00600  glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]",2
Metabolism,"K01689  ENO, eno; enolase [EC:4.2.1.11]",2
Metabolism,K01595  ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31],2
Metabolism,K00024  mdh; malate dehydrogenase [EC:1.1.1.37],2
Metabolism,"K01624  FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",2
Metabolism,"K03841  FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]",1
Metabolism,"K21071  pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]",1
Metabolism,K00925  ackA; acetate kinase [EC:2.7.2.1],1
Metabolism,K13788  pta; phosphate acetyltransferase [EC:2.3.1.8],1
Metabolism,"K01007  pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]",2
Metabolism,"K15633  gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]",2
Metabolism,"K00058  serA, PHGDH; D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95]",1
Metabolism,"K00831  serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]",2
Metabolism,"K01079  serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]",1
Metabolism,K02203  thrH; phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39],1
Metabolism,"K02575  NRT, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter",1
Metabolism,K00372  nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.4],1
Metabolism,K00362  nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15],1
Metabolism,"K00459  ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]",2
Metabolism,K15371  GDH2; glutamate dehydrogenase [EC:1.4.1.2],1
Metabolism,"K00261  GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]",1
Metabolism,"K00262  E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]",1
Metabolism,"K01915  glnA, GLUL; glutamine synthetase [EC:6.3.1.2]",1
Metabolism,K00264  GLT1; glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14],1
Metabolism,K00265  gltB; glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14],2
Metabolism,K00266  gltD; glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14],1
Metabolism,"K02048  cysP, sbp; sulfate transport system substrate-binding protein",1
Metabolism,K02046  cysU; sulfate transport system permease protein,1
Metabolism,K02047  cysW; sulfate transport system permease protein,1
Metabolism,K02045  cysA; sulfate transport system ATP-binding protein [EC:3.6.3.25],1
Metabolism,K15551  tauA; taurine transport system substrate-binding protein,1
Metabolism,K15552  tauC; taurine transport system permease protein,1
Metabolism,K10831  tauB; taurine transport system ATP-binding protein [EC:3.6.3.36],1
Metabolism,K03119  tauD; taurine dioxygenase [EC:1.14.11.17],1
Metabolism,K15553  ssuA; sulfonate transport system substrate-binding protein,1
Metabolism,K15554  ssuC; sulfonate transport system permease protein,1
Metabolism,K15555  ssuB; sulfonate transport system ATP-binding protein [EC:3.6.3.-],1
Metabolism,K04091  ssuD; alkanesulfonate monooxygenase [EC:1.14.14.5],2
Metabolism,K00299  ssuE; FMN reductase [EC:1.5.1.38],1
Metabolism,K00956  cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4],1
Metabolism,K00957  cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4],1
Metabolism,"K01082  cysQ, MET22, BPNT1; 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]",1
Metabolism,K00390  cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10],1
Metabolism,K00380  cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2],1
Metabolism,K00381  cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2],1
Metabolism,"K01011  TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]",1
Metabolism,K02439  glpE; thiosulfate sulfurtransferase [EC:2.8.1.1],1
Metabolism,K00640  cysE; serine O-acetyltransferase [EC:2.3.1.30],1
Metabolism,K01738  cysK; cysteine synthase A [EC:2.5.1.47],1
Metabolism,K12339  cysM; cysteine synthase B [EC:2.5.1.47],1
Metabolism,K10764  metZ; O-succinylhomoserine sulfhydrylase [EC:2.5.1.-],1
Metabolism,K17228  sfnG; FMNH2-dependent dimethyl sulfone monooxygenase,1
Metabolism,K17218  sqr; sulfide:quinone oxidoreductase [EC:1.8.5.4],1
Metabolism,K01962  accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2],2
Metabolism,"K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein",2
Metabolism,"K01961  accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",2
Metabolism,K01963  accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2],2
Metabolism,"K11263  bccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]",1
Metabolism,K00645  fabD; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39],3
Metabolism,K00648  fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180],1
Metabolism,K00647  fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41],1
Metabolism,K09458  fabF; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179],1
Metabolism,K00059  fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],3
Metabolism,K02372  fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59],2
Metabolism,K00208  fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10],1
Metabolism,"K00209  fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]",2
Metabolism,"K01897  ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]",1
Metabolism,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]",1
Metabolism,"K00632  fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]",1
Metabolism,K01825  fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8],1
Metabolism,K01782  fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3],2
Metabolism,"K01692  paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]",1
Metabolism,K06445  fadE; acyl-CoA dehydrogenase [EC:1.3.99.-],1
Metabolism,"K00252  GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]",1
Metabolism,"K01897  ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]",1
Metabolism,K00496  alkB1_2; alkane 1-monooxygenase [EC:1.14.15.3],1
Metabolism,K00529  hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3],1
Metabolism,K05297  E1.18.1.1; rubredoxin-NAD+ reductase [EC:1.18.1.1],2
Metabolism,"K00121  frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]",2
Metabolism,K13954  yiaY; alcohol dehydrogenase [EC:1.1.1.1],1
Metabolism,K00128  ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],1
Metabolism,"K01640  E4.1.3.4, HMGCL, hmgL; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]",1
Metabolism,"K01028  E2.8.3.5A, scoA; 3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]",1
Metabolism,"K01029  E2.8.3.5B, scoB; 3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]",2
Metabolism,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]",1
Metabolism,"K00019  E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]",1
Metabolism,"K01130  E3.1.6.1, aslA; arylsulfatase [EC:3.1.6.1]",1
Metabolism,"K00865  glxK, garK; glycerate 2-kinase [EC:2.7.1.165]",1
Metabolism,K00128  ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],1
Metabolism,"K00864  glpK, GK; glycerol kinase [EC:2.7.1.30]",2
Metabolism,K00631  plsB; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15],1
Metabolism,K03621  plsX; glycerol-3-phosphate acyltransferase PlsX [EC:2.3.1.15],1
Metabolism,K08591  plsY; glycerol-3-phosphate acyltransferase PlsY [EC:2.3.1.15],1
Metabolism,K00655  plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51],1
Metabolism,"K00901  dgkA, DGK; diacylglycerol kinase (ATP) [EC:2.7.1.107]",1
Metabolism,K01046  E3.1.1.3; triacylglycerol lipase [EC:3.1.1.3],1
Metabolism,K00057  gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94],2
Metabolism,"K00111  glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]",1
Metabolism,K00631  plsB; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15],1
Metabolism,K03621  plsX; glycerol-3-phosphate acyltransferase PlsX [EC:2.3.1.15],1
Metabolism,K08591  plsY; glycerol-3-phosphate acyltransferase PlsY [EC:2.3.1.15],1
Metabolism,K00655  plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51],1
Metabolism,"K00901  dgkA, DGK; diacylglycerol kinase (ATP) [EC:2.7.1.107]",1
Metabolism,K01114  plcC; phospholipase C [EC:3.1.4.3],1
Metabolism,K01058  pldA; phospholipase A1 [EC:3.1.1.32 3.1.1.4],1
Metabolism,"K01126  E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]",1
Metabolism,K03735  eutB; ethanolamine ammonia-lyase large subunit [EC:4.3.1.7],1
Metabolism,K03736  eutC; ethanolamine ammonia-lyase small subunit [EC:4.3.1.7],1
Metabolism,"K00981  E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase [EC:2.7.7.41]",2
Metabolism,"K17103  CHO1, pssA; CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]",2
Metabolism,"K01613  psd, PISD; phosphatidylserine decarboxylase [EC:4.1.1.65]",2
Metabolism,"K00995  pgsA, PGS1; CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]",2
Metabolism,K01095  pgpA; phosphatidylglycerophosphatase A [EC:3.1.3.27],2
Metabolism,K01096  pgpB; phosphatidylglycerophosphatase B [EC:3.1.3.27 3.1.3.81 3.1.3.4 3.6.1.27],1
Metabolism,K06131  clsA_B; cardiolipin synthase A/B [EC:2.7.8.-],2
Metabolism,K06132  clsC; cardiolipin synthase C [EC:2.7.8.-],1
Metabolism,K01058  pldA; phospholipase A1 [EC:3.1.1.32 3.1.1.4],1
Metabolism,K01114  plcC; phospholipase C [EC:3.1.4.3],1
Metabolism,"K01130  E3.1.6.1, aslA; arylsulfatase [EC:3.1.6.1]",1
Metabolism,K01058  pldA; phospholipase A1 [EC:3.1.1.32 3.1.1.4],1
Metabolism,K01058  pldA; phospholipase A1 [EC:3.1.1.32 3.1.1.4],1
Metabolism,K00508  E1.14.19.3; linoleoyl-CoA desaturase [EC:1.14.19.3],1
Metabolism,K01058  pldA; phospholipase A1 [EC:3.1.1.32 3.1.1.4],1
Metabolism,"K00632  fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]",1
Metabolism,K00059  fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],3
Metabolism,"K00507  SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]",2
Metabolism,K01825  fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8],1
Metabolism,K01782  fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3],2
Metabolism,K10804  tesA; acyl-CoA thioesterase I [EC:3.1.2.- 3.1.1.5],1
Metabolism,K10805  tesB; acyl-CoA thioesterase II [EC:3.1.2.-],1
Metabolism,K10806  yciA; acyl-CoA thioesterase YciA [EC:3.1.2.-],1
Metabolism,K01515  nudF; ADP-ribose pyrophosphatase [EC:3.6.1.13],1
Metabolism,K08312  nudE; ADP-ribose diphosphatase [EC:3.6.1.-],1
Metabolism,K01835  pgm; phosphoglucomutase [EC:5.4.2.2],1
Metabolism,K15778  pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2],2
Metabolism,"K00948  PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]",2
Metabolism,"K00764  purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]",2
Metabolism,K01945  purD; phosphoribosylamine--glycine ligase [EC:6.3.4.13],2
Metabolism,K11175  purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2],2
Metabolism,K08289  purT; phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2],1
Metabolism,"K01952  purL, PFAS; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]",3
Metabolism,K01933  purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1],2
Metabolism,K01589  purK; 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18],1
Metabolism,K01588  purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18],2
Metabolism,K01923  purC; phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6],2
Metabolism,"K01756  purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]",2
Metabolism,K00602  purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10],2
Metabolism,K01081  E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5],1
Metabolism,K03787  surE; 5'-nucleotidase [EC:3.1.3.5],2
Metabolism,K20881  yrfG; 5'-nucleotidase [EC:3.1.3.5],1
Metabolism,K03815  xapA; xanthosine phosphorylase [EC:2.4.2.-],1
Metabolism,"K00760  hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]",2
Metabolism,"K00088  IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]",2
Metabolism,"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]",2
Metabolism,K02428  rdgB; XTP/dITP diphosphohydrolase [EC:3.6.1.66],1
Metabolism,K03816  xpt; xanthine phosphoribosyltransferase [EC:2.4.2.22],1
Metabolism,K13481  xdhA; xanthine dehydrogenase small subunit [EC:1.17.1.4],1
Metabolism,K13482  xdhB; xanthine dehydrogenase large subunit [EC:1.17.1.4],1
Metabolism,"K01951  guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]",1
Metabolism,"K01487  E3.5.4.3, guaD; guanine deaminase [EC:3.5.4.3]",1
Metabolism,"K00942  E2.7.4.8, gmk; guanylate kinase [EC:2.7.4.8]",2
Metabolism,"K00873  PK, pyk; pyruvate kinase [EC:2.7.1.40]",2
Metabolism,"K00525  E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]",2
Metabolism,"K00526  E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]",2
Metabolism,K01129  dgt; dGTPase [EC:3.1.5.1],1
Metabolism,K03040  rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6],2
Metabolism,K03043  rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6],2
Metabolism,K03046  rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6],2
Metabolism,K03060  rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6],2
Metabolism,"K02335  DPO1, polA; DNA polymerase I [EC:2.7.7.7]",2
Metabolism,"K02337  DPO3A1, dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]",2
Metabolism,"K02338  DPO3B, dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]",2
Metabolism,"K02343  DPO3G, dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]",2
Metabolism,"K02340  DPO3D1, holA; DNA polymerase III subunit delta [EC:2.7.7.7]",2
Metabolism,"K02341  DPO3D2, holB; DNA polymerase III subunit delta' [EC:2.7.7.7]",2
Metabolism,"K02342  DPO3E, dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]",2
Metabolism,K14159  rnhA-dnaQ; ribonuclease HI / DNA polymerase III subunit epsilon [EC:3.1.26.4 2.7.7.7],1
Metabolism,"K02339  DPO3C, holC; DNA polymerase III subunit chi [EC:2.7.7.7]",1
Metabolism,"K01139  spoT, HDDC3; guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase [EC:3.1.7.2]",1
Metabolism,"K01524  ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]",1
Metabolism,K00951  relA; GTP pyrophosphokinase [EC:2.7.6.5],1
Metabolism,K01768  E4.6.1.1; adenylate cyclase [EC:4.6.1.1],1
Metabolism,"K01939  purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]",3
Metabolism,"K01488  add, ADA; adenosine deaminase [EC:3.5.4.4]",1
Metabolism,K21053  ade; adenine deaminase [EC:3.5.4.2],1
Metabolism,"K00939  adk, AK; adenylate kinase [EC:2.7.4.3]",2
Metabolism,"K00962  pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]",3
Metabolism,"K03651  cpdA; 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]",1
Metabolism,K01525  apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41],2
Metabolism,K00956  cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4],1
Metabolism,K00957  cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4],1
Metabolism,K16839  hpxO; FAD-dependent urate hydroxylase [EC:1.14.13.113],1
Metabolism,"K07127  uraH, pucM, hiuH; 5-hydroxyisourate hydrolase [EC:3.5.2.17]",1
Metabolism,K16840  hpxQ; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97],1
Metabolism,K16841  hpxA; allantoin racemase [EC:5.1.99.3],1
Metabolism,K16842  hpxB; allantoinase [EC:3.5.2.5],1
Metabolism,"K01477  alc, ALLC; allantoicase [EC:3.5.3.4]",1
Metabolism,K01483  allA; ureidoglycolate lyase [EC:4.3.2.3],1
Metabolism,K01428  ureC; urease subunit alpha [EC:3.5.1.5],1
Metabolism,K01429  ureB; urease subunit beta [EC:3.5.1.5],1
Metabolism,K01430  ureA; urease subunit gamma [EC:3.5.1.5],1
Metabolism,"K01955  carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]",2
Metabolism,"K01956  carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]",2
Metabolism,"K00609  pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]",2
Metabolism,"K01465  URA4, pyrC; dihydroorotase [EC:3.5.2.3]",2
Metabolism,"K00254  DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]",2
Metabolism,K00762  pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10],2
Metabolism,K01591  pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23],2
Metabolism,K09903  pyrH; uridylate kinase [EC:2.7.4.22],2
Metabolism,"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]",2
Metabolism,"K00962  pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]",3
Metabolism,"K01937  pyrG, CTPS; CTP synthase [EC:6.3.4.2]",2
Metabolism,K00945  cmk; CMP/dCMP kinase [EC:2.7.4.25],2
Metabolism,K03040  rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6],2
Metabolism,K03043  rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6],2
Metabolism,K03046  rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6],2
Metabolism,K03060  rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6],2
Metabolism,"K02335  DPO1, polA; DNA polymerase I [EC:2.7.7.7]",2
Metabolism,"K02337  DPO3A1, dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]",2
Metabolism,"K02338  DPO3B, dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]",2
Metabolism,"K02343  DPO3G, dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]",2
Metabolism,"K02340  DPO3D1, holA; DNA polymerase III subunit delta [EC:2.7.7.7]",2
Metabolism,"K02341  DPO3D2, holB; DNA polymerase III subunit delta' [EC:2.7.7.7]",2
Metabolism,"K02342  DPO3E, dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]",2
Metabolism,K14159  rnhA-dnaQ; ribonuclease HI / DNA polymerase III subunit epsilon [EC:3.1.26.4 2.7.7.7],1
Metabolism,"K02339  DPO3C, holC; DNA polymerase III subunit chi [EC:2.7.7.7]",1
Metabolism,K01494  dcd; dCTP deaminase [EC:3.5.4.13],2
Metabolism,K01081  E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5],1
Metabolism,K03787  surE; 5'-nucleotidase [EC:3.1.3.5],2
Metabolism,K20881  yrfG; 5'-nucleotidase [EC:3.1.3.5],1
Metabolism,"K00761  upp, UPRT; uracil phosphoribosyltransferase [EC:2.4.2.9]",1
Metabolism,K09018  rutA; pyrimidine oxygenase [EC:1.14.99.46],1
Metabolism,K09024  rutF; flavin reductase [EC:1.5.1.-],2
Metabolism,K09020  rutB; ureidoacrylate peracid hydrolase [EC:3.5.1.110],1
Metabolism,K09021  rutC; aminoacrylate peracid reductase,1
Metabolism,K09023  rutD; aminoacrylate hydrolase [EC:3.5.1.-],1
Metabolism,K16066  ydfG; 3-hydroxy acid dehydrogenase / malonic semialdehyde reductase [EC:1.1.1.381 1.1.1.-],1
Metabolism,K09019  rutE; 3-hydroxypropanoate dehydrogenase [EC:1.1.1.-],1
Metabolism,K00384  trxB; thioredoxin reductase (NADPH) [EC:1.8.1.9],2
Metabolism,"K00525  E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]",2
Metabolism,"K00526  E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]",2
Metabolism,"K01520  dut, DUT; dUTP pyrophosphatase [EC:3.6.1.23]",3
Metabolism,"K00560  thyA, TYMS; thymidylate synthase [EC:2.1.1.45]",2
Metabolism,"K00943  tmk, DTYMK; dTMP kinase [EC:2.7.4.9]",2
Metabolism,K00812  aspB; aspartate aminotransferase [EC:2.6.1.1],2
Metabolism,K00278  nadB; L-aspartate oxidase [EC:1.4.3.16],2
Metabolism,K01779  racD; aspartate racemase [EC:5.1.1.13],1
Metabolism,"K01424  E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]",1
Metabolism,"K05597  aspQ, ansB, ansA; glutamin-(asparagin-)ase [EC:3.5.1.38]",1
Metabolism,K14260  alaA; alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2],1
Metabolism,K00259  ald; alanine dehydrogenase [EC:1.4.1.1],1
Metabolism,K01744  aspA; aspartate ammonia-lyase [EC:4.3.1.1],1
Metabolism,"K01940  argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]",1
Metabolism,"K01755  argH, ASL; argininosuccinate lyase [EC:4.3.2.1]",1
Metabolism,"K01939  purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]",3
Metabolism,"K01756  purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]",2
Metabolism,"K00609  pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]",2
