locus_tag,geneName,product
XC_0752,,transcriptional regulator lacI family
XC_0753,,glucosamine-fructose-6-phosphate aminotransferase
XC_0754,,N-acetylglucosamine-6-phosphate deacetylase
XC_0755,,nisin-resistance protein
XC_0756,,TonB-dependent receptor
XC_0757,,tRNA nucleotidyltransferase
XC_0758,,soluble lytic murein transglycosylase
XC_0759,,TonB-dependent receptor
XC_0760,,choline dehydrogenase
XC_0761,,betaine aldehyde dehydrogenase
XC_0762,,high-affinity choline transport
XC_0763,,conserved hypothetical protein
XC_0764,,thiol:disulfide interchange protein
XC_0765,,disulfide oxidoreductase
XC_0766,,cytochrome C4
XC_0767,,GTP-binding protein
XC_0768,,glutamate-cysteine ligase precursor
XC_0769,,two-component system sensor protein
XC_0770,,two-component system regulatory protein
XC_0771,,conserved hypothetical protein
XC_0772,,putative malic acid transport protein
XC_0773,,transcriptional regulator
XC_0774,,conserved hypothetical protein
XC_0775,,alcohol dehydrogenase C
XC_0776,,conserved hypothetical protein
XC_0777,,esterase
XC_0778,,transcriptional regulator
XC_0779,,oxidoreductase
XC_0780,,conserved hypothetical protein
XC_0781,,conserved hypothetical protein
XC_0782,,conserved hypothetical protein
XC_0783,,cellulase S
XC_0784,,cellulase S
XC_0788,,conserved hypothetical protein
XC_0789,,conserved hypothetical protein
XC_0790,,conserved hypothetical protein
XC_0791,,conserved hypothetical protein
XC_0792,,conserved hypothetical protein
XC_0793,,conserved hypothetical protein
XC_0794,,conserved hypothetical protein
XC_0795,,conserved hypothetical protein
XC_0796,,glutaredoxin-like protein
XC_0797,,acetylxylan esterase
XC_0798,,conserved hypothetical protein
XC_0799,,conserved hypothetical protein
XC_0800,,aminotransferase
XC_0801,,conserved hypothetical protein
XC_0802,,integral membrane nucleotide protein
XC_0803,,conserved hypothetical protein
XC_0804,,NonF-related protein
XC_0805,,amylosucrase or alpha amylase
XC_0806,,TonB-dependent receptor
XC_0807,,sugar transporter
XC_0808,,transcriptional regulator
XC_0809,,acetoacetyl-coA reductase
XC_0810,,Mg++ citrate complex transporter
XC_0811,,porin O
XC_0812,,two-component system regulatory protein
XC_0813,,two-component system sensor protein
XC_0814,,periplasmic iron-binding protein
XC_0815,,hypothetical protein
XC_0816,,transcriptional regulator luxR/uhpA family
XC_0817,,hypothetical protein
XC_0818,,sensor histidine kinase
XC_0819,,polyphosphate-selective porin O
XC_0820,,C4-dicarboxylate transport protein
XC_0821,,NADP-dependent malic enzyme
XC_0822,,"alpha-1,2-mannosidase"
XC_0823,,conserved hypothetical protein
XC_0824,,glycosyl transferase
XC_0825,,membrane protein
XC_0826,,lipid A biosynthesis lauroyl acyltransferase
XC_0827,,3-deoxy-D-manno-octulosonic acid transferase
XC_0828,TolC,TolC protein
XC_0829,,L-isoaspartate protein carboxylmethyltransferase
XC_0830,,transcriptional regulator
XC_0831,,conserved hypothetical protein
XC_0832,,transcriptional regulator lysR family
XC_0833,,3-isopropylmalate dehydratase large subunit
XC_0834,,3-isopropylmalate dehydratase small subunit
XC_0835,,methyltransferase in menaquinone/biotin biosynthesis
XC_0836,,3-isopropylmalate dehydrogenase
XC_0837,,2-isopropylmalate synthase
XC_0838,,threonine dehydratase catabolic
XC_0839,,acetolactate synthase isozyme II small subunit
XC_0840,,acetolactate synthase isozyme II large subunit
XC_0841,,ketol-acid reductoisomerase
XC_0842,,gamma-glutamyltranspeptidase
XC_0843,,chemotaxis protein
XC_0844,,prolyl oligopeptidase family protein
XC_0845,,conserved hypothetical protein
XC_0846,,thiamine biosynthesis protein
XC_0847,,conserved hypothetical protein
XC_0848,,transcriptional regulator
XC_0849,,TonB-dependent receptor
XC_0850,,response regulator
XC_0851,,inorganic pyrophosphatase
XC_0852,,conserved hypothetical protein
XC_0853,,H+ translocating pyrophosphate synthase
XC_0854,,conserved hypothetical protein
XC_0855,,conserved hypothetical protein
XC_0856,,conserved hypothetical protein
XC_0857,,conserved hypothetical protein
XC_0858,IS1477,IS1477 transposase
XC_0859,,IS1477 transposase ORFA
XC_0860,,conserved hypothetical protein
XC_0861,,conserved hypothetical protein
XC_0863,,conserved hypothetical protein
XC_0864,VirB6,VirB6 protein
XC_0865,,conserved hypothetical protein
XC_0866,,conserved hypothetical protein
XC_0867,,conserved hypothetical protein
XC_0868,VirB6,VirB6 protein
XC_0869,IS1478,IS1478 transposase
XC_0870,,conserved hypothetical protein
XC_0871,,conserved hypothetical protein
XC_0872,,6-phosphofructokinase
XC_0873,,adenylate kinase
XC_0874,,UDP-N-acetylmuramate-L-alanine ligase
XC_0875,,conserved hypothetical protein
XC_0876,,conserved hypothetical protein
XC_0877,,conserved hypothetical protein
XC_0878,,conserved hypothetical protein
XC_0879,,short chain dehydrogenase
XC_0880,,conserved hypothetical protein
XC_0881,,ion transporter
XC_0882,,acetylornithine aminotransferase
XC_0883,,conserved hypothetical protein
XC_0884,,conserved hypothetical protein
XC_0885,,TonB-dependent receptor
XC_0886,,flavin monoamine oxidase-related protein
XC_0887,,cytochrome C6
XC_0888,TdcF,TdcF protein
XC_0889,,histidinol-phosphate aminotransferase
XC_0890,,electron transfer protein azurin I
XC_0891,,transcriptional regulator
XC_0892,,"glutamate-1-semialdehyde 2,1-aminomutase"
XC_0893,Oar,Oar protein
XC_0894,Oar,Oar protein
XC_0895,,thiamin-phosphate pyrophosphorylase
XC_0896,,rubredoxin
XC_0897,,conserved hypothetical protein
XC_0898,,conserved hypothetical protein
XC_0899,,ribose-5-phosphate isomerase A
XC_0900,,conserved hypothetical protein
XC_0901,,conserved hypothetical protein
XC_0902,,conserved hypothetical protein
XC_0903,,conserved hypothetical protein
XC_0904,,conserved hypothetical protein
XC_0905,,aminopeptidase P
XC_0906,IS1480,IS1480 transposase
XC_0907,,beta-lactamase
XC_0908,,endonuclease
XC_0909,IS1480,IS1480 transposase
XC_0910,,molybdate-binding periplasmic protein
XC_0911,,molybdate transport permease protein
XC_0912,,ATP-binding component of molybdate transport
XC_0913,,conserved hypothetical protein
XC_0914,,conserved hypothetical protein
XC_0915,,TonB-like protein
XC_0916,,transcriptional regulator blaI family
XC_0917,,conserved hypothetical protein
XC_0918,,conserved hypothetical protein
XC_0919,,TonB-dependent receptor
XC_0920,,conserved hypothetical protein
XC_0921,,conserved hypothetical protein
XC_0922,,reductase
XC_0923,,transcriptional regulator
XC_0924,,outer membrane receptor for ferric iron uptake
XC_0925,,outer membrane receptor for ferric iron uptake
XC_0926,IS1404,IS1404 transposase
XC_0927,IS1404,IS1404 transposase
XC_0928,,proline imino-peptidase
XC_0929,,transketolase 1
XC_0930,,proton glutamate symport protein
XC_0931,,conserved hypothetical protein
XC_0932,,conserved hypothetical protein
XC_0933,,conserved hypothetical protein
XC_0934,,conserved hypothetical protein
XC_0935,,conserved hypothetical protein
XC_0936,,methanol dehydrogenase regulatory protein
XC_0937,,fimbrial assembly protein
XC_0938,,fimbrial assembly protein
XC_0939,,fimbrial assembly membrane protein
XC_0940,,fimbrial assembly membrane protein
XC_0941,,fimbrial assembly membrane protein
XC_0942,,penicillin-binding protein 1A
XC_0943,,conserved hypothetical protein
XC_0944,,citrate synthase
XC_0945,L31,50S ribosomal protein L31
XC_0946,,inosine-uridine preferring nucleoside hydrolase
XC_0947,,ATP-dependent DNA helicase
XC_0948,,translation initiation inhibitor
XC_0949,,D-galactarate dehydratase
XC_0950,porin,porin
XC_0951,,glucarate hydratase
XC_0952,,glucarate transporter
XC_0953,,ketoglutarate semialdehyde dehydrogenase
XC_0954,,5-dehydro-4-deoxyglucarate dehydratase
XC_0955,,transcriptional regulator
XC_0956,,pentaphosphate guanosine-3'-pyrophosphohydrolase
XC_0957,,RNA polymerase omega subunit
XC_0958,,guanylate kinase
XC_0959,,conserved hypothetical protein
XC_0960,,ribonuclease PH
XC_0961,,conserved hypothetical protein
XC_0962,,Ham1 like protein
XC_0963,,oxidoreductase
XC_0964,,conserved hypothetical protein
XC_0965,,conserved hypothetical protein
XC_0966,,proline dipeptidase
XC_0967,,conserved hypothetical protein
XC_0968,IS1480,IS1480 transposase
XC_0969,,outer membrane protein
XC_0970,,outer membrane protein
XC_0971,,conserved hypothetical protein
XC_0972,,glyceraldehyde-3-phosphate dehydrogenase
XC_0973,,conserved hypothetical protein
XC_0974,,conserved hypothetical protein
XC_0975,,conserved hypothetical protein
XC_0976,,phosphoglycerate kinase
XC_0977,,indigoidine synthesis like protein
XC_0978,,pyruvate kinase type II
XC_0979,,fructose-bisphosphate aldolase
XC_0980,,conserved hypothetical protein
XC_0981,,conserved hypothetical protein
XC_0982,,cysteine synthase
XC_0983,,siroheme synthase
XC_0984,,transcriptional regulator lysR family
XC_0985,,conserved hypothetical protein
XC_0987,,sensor histidine kinase
XC_0986,,conserved hypothetical protein
XC_0988,,TonB-dependent receptor
XC_0989,,conserved hypothetical protein
XC_0990,,3'-phosphoadenosine 5'-phosphosulfate reductase
XC_0991,,NADPH-sulfite reductase iron-sulfur protein
XC_0992,,NADPH-sulfite reductase flavoprotein subunit
XC_0993,,ATP sulfurylase small subunit
XC_0994,,ATP sulfurylase/adenylylsulfate kinase
XC_0995,,RND efflux membrane fusion protein
XC_0996,,acriflavin resistance protein
XC_0997,,aminopeptidase N
XC_0998,,acetyltransferase
XC_0999,,sodium/proton-dependent alanine carrier protein
XC_1000,,tRNA/rRNA methyltransferase
XC_1001,,carboxylesterase
XC_1002,,alpha-glucosidase
XC_1003,,glycosyl hydrolase
XC_1004,,TonB-dependent receptor
XC_1005,,"1,4-beta-cellobiosidase"
XC_1006,,transcriptional regulator lacI family
XC_1007,,aminopeptidase
XC_1008,,aminopeptidase
XC_1009,,large-conductance mechanosensitive channel
XC_1010,,fumarylacetoacetate hydrolase
XC_1011,,conserved hypothetical protein
XC_1012,,conserved hypothetical protein
XC_1013,,sulfur deprivation response regulator
XC_1014,,DNA mismatch repair protein
XC_1015,,thiamine biosynthesis protein
XC_1016,,conserved hypothetical protein
XC_1017,,lipase/esterase
XC_4336,,tRNA-Gly
XC_1018,,phage-related integrase
XC_1019,,conserved hypothetical protein
XC_1020,,conserved hypothetical protein
XC_1021,,conserved hypothetical protein
XC_1022,bphR,regulatory protein bphR
XC_1023,,conserved hypothetical protein
XC_1025,IS1404,IS1404 transposase
XC_1026,IS1404,IS1404 transposase
XC_1027,VirB6,VirB6 protein
XC_1028,,conserved hypothetical protein
XC_1029,,conserved hypothetical protein
XC_1030,,conserved hypothetical protein
XC_1032,ISxcc1,ISxcc1 transposase
XC_1034,ISxcc1,ISxcc1 transposase
XC_1035,,conserved hypothetical protein
XC_1036,,conserved hypothetical protein
XC_1037,,conserved hypothetical protein
XC_1038,,conserved hypothetical protein
XC_1039,,conserved hypothetical protein
XC_1040,,conserved hypothetical protein
XC_1041,,conserved hypothetical protein
XC_1042,,conserved hypothetical protein
XC_1044,,conserved hypothetical protein
XC_1045,,conserved hypothetical protein
XC_1046,,virulence regulator
XC_1047,,glycogen debranching enzyme
XC_1048,,ribosomal protein S6 modification protein
XC_1049,,two-component system regulatory protein
XC_1050,,two-component system sensor protein
XC_1051,,conserved hypothetical protein
XC_1052,,conserved hypothetical protein
XC_1053,,conserved hypothetical protein
XC_1054,IS1478,IS1478 transposase
XC_1055,,conserved hypothetical protein
XC_1056,,type IV pre-pilin leader peptidase
XC_1057,,fimbrial assembly protein
XC_1058,pilin,pilin
XC_1059,pilin,pilin
XC_1060,,pilus biogenesis protein
XC_1061,,two-component system regulatory protein
XC_1062,,two-component system sensor protein
XC_1063,,succinyl-CoA synthetase beta subunit
XC_1064,,succinyl-CoA synthetase alpha subunit
XC_1065,,hypothetical protein
XC_1066,,conserved hypothetical protein
XC_1067,,NH3-dependent NAD synthetase
XC_1068,,conserved hypothetical protein
XC_1069,,competence lipoprotein
XC_1070,,ribosomal large subunit pseudouridine synthase D
XC_1071,,conserved hypothetical protein
XC_1072,,conserved hypothetical protein
XC_1073,,conserved hypothetical protein
XC_1074,,chemotaxis protein
XC_1075,,glucose dehydrogenase
XC_1076,,trehalose-6-phosphate synthase
XC_1077,,conserved hypothetical protein
XC_1078,,trehalose-6-phosphate phosphatase
XC_1079,,ferric enterobactin receptor
XC_1080,,conserved hypothetical protein
XC_1081,,conserved hypothetical protein
XC_1082,,conserved hypothetical protein
XC_1083,,conserved hypothetical protein
XC_1084,,conserved hypothetical protein
XC_1085,,glutathione transferase
XC_1086,,conserved hypothetical protein
XC_1087,,ABC transporter ATP-binding subunit
XC_1088,,ATP-dependent Clp protease subunit
XC_1089,,conserved hypothetical protein
XC_1090,,homocysteine synthase
XC_1091,,outer membrane receptor for transport of vitamin B
XC_1092,,conserved hypothetical protein
XC_1093,,conserved hypothetical protein
XC_1094,,cob(I)alamin adenolsyltransferase
XC_1095,,"cobyrinic acid a,c-diamide synthase"
XC_1096,,cobalamin biosynthesis protein
XC_1097,,cobyric acid synthase
XC_1098,,adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase
XC_1099,,nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase
XC_1100,,conserved hypothetical protein
XC_1101,,cobalamin synthase
XC_1102,,transcriptional regulator araC family
XC_1103,,diaminopimelate decarboxylase
XC_1104,,iron transporter
XC_1105,,transport protein
XC_1106,,conserved hypothetical protein
XC_1107,,conserved hypothetical protein
XC_1108,,citrate-dependent iron transporter
XC_1109,,4-hydroxy-2-oxovalerate aldolase
XC_1110,,cation:proton antiporter
XC_1111,,cytochrome P450 hydroxylase
XC_1112,,ferric enterobactin receptor
XC_1113,,ferric enterobactin receptor
XC_1114,,conserved hypothetical protein
XC_1115,,ferric enterobactin receptor
XC_1116,,ABC transporter ATP-binding protein
XC_1117,,conserved hypothetical protein
XC_1118,,transcriptional activator ampR family
XC_1119,,beta lactamase
XC_1120,,xylanase
XC_1121,,phospholipase C
XC_1122,,TonB-dependent receptor
XC_1123,,"alpha,alpha-trehalose-phosphate synthase"
XC_1124,,transmembrane transport protein
XC_1125,,conserved hypothetical protein
XC_1126,,conserved hypothetical protein
XC_1127,,conserved hypothetical protein
XC_1128,,aspartyl-tRNA synthetase
XC_1129,,acetyltransferase
XC_1130,,conserved hypothetical protein
XC_1131,,conserved hypothetical protein
XC_1132,,"holliday junction resolvase, endodeoxyribonuclease"
XC_1133,,"holliday junction binding protein, DNA helicase"
XC_1134,,potassium uptake protein
XC_1135,,hypothetical protein
XC_1136,,"holliday junction binding protein, DNA helicase"
XC_1137,,conserved hypothetical protein
XC_1138,TolQ,TolQ protein
XC_1139,TolR,TolR protein
XC_1140,TolA,TolA protein
XC_1141,TolB,TolB protein
XC_1142,,outer membrane protein P6 precursor
XC_1143,,conserved hypothetical protein
XC_1144,,radical activating enzyme
XC_1145,,transcriptional regulator
XC_4337,,tRNA-Lys
XC_1146,,conserved hypothetical protein
XC_1147,,hypothetical protein
XC_1148,,conserved hypothetical protein
XC_1149,,two-component system sensor protein
XC_1150,,two-component system regulatory protein
XC_1151,,conserved hypothetical protein
XC_1152,,chloride channel
XC_1153,,transcriptional regulator lysR family
XC_1154,,membrane transport protein
XC_1155,,conserved hypothetical protein
XC_1156,,hypothetical protein
XC_1157,,conserved hypothetical protein
XC_1158,,pseudouridylate synthase
XC_1159,,conserved hypothetical protein
XC_1160,,response regulator
XC_1161,,conserved hypothetical protein
XC_1162,,DNA helicase
XC_1163,,DNA-binding related protein
XC_1164,,ATP dependent RNA helicase
XC_1165,,TonB-dependent receptor
XC_1166,,glucose kinase
XC_1167,,conserved hypothetical protein
XC_1168,,conserved hypothetical protein
XC_1169,PqqE,PqqE protein
XC_1170,,PqqC/D protein
XC_1171,PqqC,PqqC protein
XC_1172,,pyrroloquinoline quinone biosynthesis protein G
XC_1173,,ATP:GTP 3'-pyrophosphotranferase
XC_1174,,conserved hypothetical protein
XC_1175,,glycosyl transferase
XC_1176,,penicillin-binding protein 1B
XC_1177,,conserved hypothetical protein
XC_1178,,ATP-dependent helicase
XC_1179,,conserved hypothetical protein
XC_1180,,dinitrogenase reductase activating glycohydrolase
XC_1181,TonB,TonB protein
XC_1182,,glutathione synthetase
XC_1183,pilus,pilus protein
XC_1184,PilH,PilH protein
XC_1185,,pilus biogenesis protein
XC_1186,,pilus biogenesis protein
XC_1187,PilL,PilL protein
XC_1188,,conserved hypothetical protein
XC_1190,,conserved hypothetical protein
XC_1191,,ribosomal protein alanine acetyltransferase
XC_1192,,antifreeze glycopeptide AFGP related protein
XC_1193,,RNA polymerase sigma-70 factor
XC_1194,,conserved hypothetical protein
XC_1195,,asparaginase
XC_1196,,copper homeostasis protein
XC_1197,,cytochrome P450 hydroxylase
XC_1198,,sulfotransferase
XC_1199,,conserved hypothetical protein
XC_1200,,conserved hypothetical protein
XC_1201,RebB,RebB protein
XC_1202,,conserved hypothetical protein
XC_1203,,conserved hypothetical protein
XC_1204,HsdR,HsdR protein
XC_1205,,type I restriction enzyme (specificity chain) homolog
XC_1206,,DNA-damage-inducible protein d
XC_1207,,type I restriction enzyme M protein
XC_1208,,conserved hypothetical protein
XC_1209,,conserved hypothetical protein
XC_1210,,conserved hypothetical protein
XC_1211,ISxac3,ISxac3 transposase
XC_1212,ISxac3,ISxac3 transposase
XC_1213,,virulence protein
XC_1214,,beta-galactosidase
XC_1215,,conserved hypothetical protein
XC_1216,,conserved hypothetical protein
XC_1217,,"glucan 1,4-beta-glucosidase"
XC_1218,,beta-mannosidase
XC_1219,,beta-hexosaminidase
XC_1220,,conserved hypothetical protein
XC_1221,,alpha-L-fucosidase
XC_1222,,TonB-dependent receptor
XC_1223,,glucose kinase
XC_1224,,conserved hypothetical protein
XC_1225,,adenosylmethionine-8-amino-7-oxononanoate aminotransferase
XC_1226,,ADP compounds hydrolase
XC_1227,,sulfite synthesis pathway protein
XC_1228,,conserved hypothetical protein
XC_1229,,conserved hypothetical protein
XC_1230,,conserved hypothetical protein
XC_1231,,conserved hypothetical protein
XC_1232,,glycine cleavage T protein
XC_1233,,glycine cleavage H protein
XC_1234,,histone H1
XC_1235,,beta-lactamase
XC_1236,,conserved hypothetical protein
XC_1237,,conserved hypothetical protein
XC_1238,,acyl-CoA dehydrogenase
XC_1239,,conserved hypothetical protein
XC_1240,,transcriptional regulator
XC_1241,,TonB-dependent receptor
XC_1242,,conserved hypothetical protein
XC_1243,,heat shock protein
XC_1244,,monofunctional biosynthetic peptidoglycan transglycosylase
XC_1245,,glucosyl transferase
XC_1246,,conserved hypothetical protein
XC_1247,,conserved hypothetical protein
XC_1248,,hemolysin III
XC_1249,,peptide chain release factor 3
XC_1250,,conserved hypothetical protein
XC_1251,,homoserine O-acetyltransferase
XC_1252,,cystathionine gamma-synthase
XC_1253,,homoserine dehydrogenase
XC_1254,,hydrolase
XC_1255,,L-serine dehydratase
XC_1256,,conserved hypothetical protein
XC_1257,,conserved hypothetical protein
XC_1258,,cytochrome B561
XC_1259,,conserved hypothetical protein
XC_1260,,histidine kinase/response regulator hybrid protein
XC_1261,,histidine kinase/response regulator hybrid protein
XC_1262,,histidine kinase/response regulator hybrid protein
XC_1263,,MFS transporter
XC_1264,,hypothetical protein
XC_1265,,uroporphyrinogen decarboxylase
XC_1266,,conserved hypothetical protein
XC_1267,,pyridoxamine 5'-phosphate oxidase
XC_1268,,3-dehydroquinate synthase
XC_1269,,shikimate kinase
XC_1270,,pyridoxamine 5'-phosphate oxidase
XC_1271,,conserved hypothetical protein
XC_1272,,conserved hypothetical protein
XC_1273,,potassium channel related protein
XC_1274,,conserved hypothetical protein
XC_1275,,conserved hypothetical protein
XC_1276,,conserved hypothetical protein
XC_1277,,synthetase/amidase
XC_1278,,hypothetical protein
XC_1279,,MFS transporter
XC_1280,,transcriptional regulator soxR family
XC_1281,,conserved hypothetical protein
XC_1282,,peptidase
XC_1283,,hypothetical protein
XC_1284,,TonB-dependent receptor
XC_1285,,conserved hypothetical protein
XC_1286,,conserved hypothetical protein
XC_1287,,tryptophan halogenase
XC_1288,,conserved hypothetical protein
XC_1289,,conserved hypothetical protein
XC_1290,,protein-glutamate methylesterase (CheB)
XC_1291,,endoproteinase Arg-C
XC_1292,,endoproteinase Arg-C
XC_1293,,amino acid transporter
XC_1294,,hypothetical protein
XC_1295,,transcriptional regulator ahyR/asaR family
XC_1296,,proline imino-peptidase
XC_1297,,hypothetical protein
XC_1298,,pectate lyase II
XC_1299,,amino acid transporter
XC_1300,,"quinol oxidase, subunit I"
XC_1301,,"quinol oxidase, subunit II"
XC_1302,,conserved hypothetical protein
XC_1303,,Mg++ transporter
XC_1304,,phosphotransferase system enzyme I
XC_1305,,phosphotransferase system HPr enzyme
XC_1306,,conserved hypothetical protein
XC_1307,,conserved hypothetical protein
XC_1308,,HPr kinase/phosphatase
XC_1309,,nitrogen regulatory IIA protein
XC_1310,,sigma-54 modulation protein
XC_1311,,RNA polymerase sigma-54 factor
XC_1312,,ABC transporter ATP-binding protein
XC_1313,,conserved hypothetical protein
XC_1314,,conserved hypothetical protein
XC_1315,,conserved hypothetical protein
XC_1316,,polysialic acid capsule expression protein
XC_1317,,conserved hypothetical protein
XC_1318,,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
XC_1319,,conserved hypothetical protein
XC_1320,,conserved hypothetical protein
XC_1321,,conserved hypothetical protein
XC_1322,,5'-phosphoribosylglycinamide transformylase
XC_1323,,conserved hypothetical protein
XC_1324,,phosphoribosylformylglycinamide cyclo-ligase
XC_1325,,conserved hypothetical protein
XC_1326,,permease
XC_1327,,replication related protein
XC_1328,,nucleotidyl transferase
XC_1329,,conserved hypothetical protein
XC_1330,,conserved hypothetical protein
XC_1331,,succinyl-diaminopimelate desuccinylase
XC_1332,,DNA transport competence protein
XC_1333,,conserved hypothetical protein
XC_1334,,sulfite reductase
XC_1335,,thiamine biosynthesis lipoprotein ApbE precursor
XC_1336,,conserved hypothetical protein
XC_1337,,conserved hypothetical protein
XC_1338,,conserved hypothetical protein
XC_1339,,conserved hypothetical protein
XC_1340,,conserved hypothetical protein
XC_1341,,TonB-dependent receptor
XC_1342,,"benzene 1,2-dioxygenase, ferredoxin protein"
XC_1343,,acetyltransferase
XC_1344,,cysteine desulfurase
XC_1345,,ABC transporter permease
XC_1346,,ABC transporter ATP-binding protein
XC_1347,,ABC transporter permease
XC_1348,,conserved hypothetical protein
XC_1349,,conserved hypothetical protein
XC_1350,,protease
XC_1351,,conserved hypothetical protein
XC_1352,,conserved hypothetical protein
XC_1353,,conserved hypothetical protein
XC_1354,,peptidase
XC_1355,,histone-like protein
XC_1356,,pyrroline-5-carboxylate reductase
XC_1357,,conserved hypothetical protein
XC_1358,,twitching motility protein
XC_1359,,twitching motility protein
XC_1360,,conserved hypothetical protein
XC_1361,,conserved hypothetical protein
XC_1362,,conserved hypothetical protein
XC_1363,,DNA-3-methyladenine glycosylase I
XC_1364,,conserved hypothetical protein
XC_1365,,transcriptional regulator
XC_1366,,conserved hypothetical protein
XC_1367,,aspartate carbamoyltransferase
XC_1368,,osmotically inducible protein
XC_1369,,conserved hypothetical protein
XC_1370,,conserved hypothetical protein
XC_1371,,conserved hypothetical protein
XC_1372,,diaminopimelate decarboxylase
XC_1373,,conserved hypothetical protein
XC_1374,,conserved hypothetical protein
XC_1375,,UDP-N-acetylmuramoylalanine-D-glutamate ligase
XC_1376,,conserved hypothetical protein
XC_1377,,octaprenyl-diphosphate synthase
XC_1378,,single-stranded DNA binding protein
XC_1379,,conserved hypothetical protein
XC_1380,,McrB-related protein
XC_1381,,conserved hypothetical protein
XC_1382,,sensor histidine kinase
XC_1383,,response regulator
XC_1384,,alcohol dehydrogenase
XC_1385,,oxidoreductase
XC_1386,,oxidoreductase
XC_1387,,oxidoreductase
XC_1388,,conserved hypothetical protein
XC_1389,,conserved hypothetical protein
XC_1390,,hypothetical protein
XC_1391,,conserved hypothetical protein
XC_1392,,conserved hypothetical protein
XC_1394,,phospholipase A1
XC_1395,,accessory protein
XC_1396,,hydrolase
XC_1397,,conserved hypothetical protein
XC_1398,,carbon starvation protein A
XC_1399,pirin,pirin
XC_1400,,conserved hypothetical protein
XC_1401,,conserved hypothetical protein
XC_1402,,pirin-related protein
XC_1403,,endonuclease V
XC_1404,,phosphoglycerate mutase
XC_1405,,conserved hypothetical protein
XC_1406,,metallopeptidase
XC_1407,IS1479,IS1479 transposase
XC_1408,,cardiolipin synthase
XC_1409,,protein-glutamate methylesterase
XC_1410,,response regulator for chemotaxis
XC_1411,,response regulator
XC_1412,,chemotaxis protein
XC_1413,,chemotaxis protein
XC_1414,kinase,chemotaxis histidine protein kinase
XC_1415,,conserved hypothetical protein
XC_1416,,transcription-repair coupling factor
XC_1417,,conserved hypothetical protein
XC_1418,,conserved hypothetical protein
XC_1419,,two-component system regulatory protein
XC_1420,,hypothetical protein
XC_1421,,two-component system sensor protein
XC_1422,,cysteine protease
XC_1423,,inner membrane protein
XC_1424,,conserved hypothetical protein
XC_1425,,conserved hypothetical protein
XC_1426,,conserved hypothetical protein
XC_1427,,nitrilase
XC_1428,,conserved hypothetical protein
XC_1429,,glutamyl-tRNA synthetase
XC_1430,,transcriptional regulator fur family
XC_1431,,transcriptional regulator
XC_1432,,multidrug resistance protein
XC_1433,,multidrug-efflux transporter
XC_1434,,outer membrane protein
XC_1435,,transcriptional regulator
XC_1436,,oxidoreductase
XC_1437,,transcriptional regulator lysR family
XC_1438,,conserved hypothetical protein
XC_1439,,transcriptional regulator
XC_1440,,hypothetical protein
XC_1441,,conserved hypothetical protein
XC_1442,,extracellular serine protease
XC_1443,,transcriptional regulator lysR family
XC_1444,,MFS transporter
XC_1445,,oxidoreductase
XC_1446,,oxidoreductase
XC_1447,,extracellular serine protease
XC_1448,,conserved hypothetical protein
XC_1449,,extracellular serine protease
XC_1450,,extracellular serine protease
XC_1451,,TonB-dependent receptor
XC_1452,,formate dehydrogenase related protein
XC_1453,,conserved hypothetical protein
XC_1454,,cytochrome D oxidase subunit A
XC_1455,,cytochrome D oxidase subunit B
XC_1456,,transmembrane transport protein
XC_1457,,transcriptional regulator
XC_1458,,hypothetical protein
XC_1459,,outer membrane hemin receptor
XC_1460,,conserved hypothetical protein
XC_1461,,conserved hypothetical protein
XC_1462,,chloride channel
XC_1463,,phosphodiesterase-nucleotide pyrophosphatase
XC_1464,,6-O-methylguanine-DNA methyltransferase
XC_1465,Ada,DNA methylation and regulatory protein Ada
XC_1466,,conserved hypothetical protein
XC_1467,,conserved hypothetical protein
XC_1468,,conserved hypothetical protein
XC_1469,,inner membrane protein
XC_1470,,putative monooxygenase NMA2164
XC_1471,,conserved hypothetical protein
XC_1472,,conserved hypothetical protein
XC_1473,,conserved hypothetical protein
XC_1474,,RNA polymerase ECF-type sigma factor
XC_1475,,ATP-dependent RNA helicase
XC_1476,,conserved hypothetical protein
XC_1477,,pseudouridylate synthase
XC_1478,IS1478,IS1478 transposase
XC_1479,,conserved hypothetical protein
XC_1480,,s-adenosylmethionine:2-demethylmenaquinone methyltransferase
XC_1481,,beta-lactamase
XC_1482,,beta-lactamase
XC_1483,,cation:proton antiporter
XC_1484,,ABC transporter ATP-binding protein
XC_1485,,conserved hypothetical protein
XC_1486,,conserved hypothetical protein
XC_1487,,conserved hypothetical protein
XC_1488,,conserved hypothetical protein
XC_1489,,transcriptional regulator
XC_1490,,transcriptional regulator
XC_1491,,conserved hypothetical protein
XC_1492,,peptidyl-prolyl cis-trans isomerase
XC_1493,,conserved hypothetical protein
XC_1494,,conserved hypothetical protein
XC_1495,,thioredoxin
XC_1496,,conserved hypothetical protein
XC_1497,,leucyl-tRNA synthetase
XC_1498,,lipoprotein
XC_1499,,DNA polymerase III delta subunit
XC_1500,,nicotinate-nucleotide adenylyltransferase
XC_1501,,conserved hypothetical protein
XC_1502,,conserved hypothetical protein
XC_1503,,conserved hypothetical protein
XC_1504,,TonB-like protein
